GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001MA,B19101I_001EA,B19101I_002EA,B19101I_002MA,B19101I_003EA,B19101I_003MA,B19101I_004EA,B19101I_004MA,B19101I_005MA,B19101I_005EA,B19101I_006MA,B19101I_006EA,B19101I_007MA,B19101I_007EA,B19101I_008MA,B19101I_008EA,B19101I_009MA,B19101I_009EA,B19101I_010MA,B19101I_010EA,B19101I_011MA,B19101I_011EA,B19101I_012MA,B19101I_012EA,B19101I_013EA,B19101I_013MA,B19101I_014EA,B19101I_014MA,B19101I_015EA,B19101I_015MA,B19101I_016MA,B19101I_016EA,B19101I_017MA,B19101I_017EA,state
0400000US08,251811,5124,13205,2158,7557,1624,6788,1638,10034,1620,11207,2337,11810,2081,14066,2626,12507,1908,13672,2185,21610,2157,29165,3056,40826,3406,20919,2442,13540,1805,13817,1968,11088,2137,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,98205,3295,6831,1650,2861,847,2296,813,7188,1693,6622,1350,5367,1449,6140,1343,5189,1437,4042,1251,9102,1525,13278,2309,11471,1734,7225,1313,3749,1144,4422,1115,2422,865,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,32406,2040,2839,755,1057,446,1781,697,1652,611,1298,571,3412,1121,3041,801,1928,751,2121,849,1891,800,3607,1053,2887,736,1455,598,1406,688,1154,655,877,571,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,49654,2878,3474,1369,2184,1048,2586,1027,3451,1290,3400,1035,3223,1283,2976,1037,1884,708,1740,690,3345,1031,5684,954,5951,1417,3743,1167,2498,901,1712,735,1803,589,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,461821,6729,18705,2576,10065,1701,15896,1962,24525,2617,23618,2691,30867,3036,24850,2805,25117,2797,20530,2533,40646,2980,55611,3921,61224,3794,42350,3041,26465,2385,25217,2382,16135,1752,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38855,2163,1891,699,1559,745,2279,838,1845,835,1315,611,3338,799,2749,788,2452,675,1938,566,2903,971,4511,996,5384,1173,2642,904,1371,496,1812,644,866,399,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,12339,1228,463,406,533,393,574,492,817,663,389,323,1329,779,498,373,718,486,417,340,788,405,1249,570,1212,600,829,543,1183,620,653,461,687,377,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,49670,2671,3037,1017,1136,495,3226,1098,2630,902,3961,1205,2549,1045,3711,1091,3177,1004,3447,1202,4842,1276,5903,1561,5640,1409,3193,978,1492,647,954,367,772,555,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20057,1531,916,642,211,197,837,551,656,401,1377,881,1165,617,580,347,787,479,1310,599,1782,943,3398,1130,2842,929,1470,724,267,196,1405,692,1054,663,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,57919,2683,2340,644,2242,812,1737,702,2916,800,4078,1171,3873,1045,3416,849,3437,842,2953,1026,5304,1176,6214,1197,7677,1649,3986,903,2813,967,2676,714,2257,622,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
