GEO_ID,C17015_001E,C17015_001M,C17015_002E,C17015_002M,C17015_003E,C17015_003M,C17015_004E,C17015_004M,C17015_005E,C17015_005M,C17015_006E,C17015_006M,C17015_007E,C17015_007M,C17015_008E,C17015_008M,C17015_009E,C17015_009M,C17015_010E,C17015_010M,C17015_011E,C17015_011M,C17015_012E,C17015_012M,C17015_013E,C17015_013M,C17015_014E,C17015_014M,C17015_015E,C17015_015M,NAME,C17015_001EA,C17015_001MA,C17015_002EA,C17015_002MA,C17015_003EA,C17015_003MA,C17015_004EA,C17015_004MA,C17015_005EA,C17015_005MA,C17015_006EA,C17015_006MA,C17015_007EA,C17015_007MA,C17015_008MA,C17015_008EA,C17015_009MA,C17015_009EA,C17015_010EA,C17015_010MA,C17015_011EA,C17015_011MA,C17015_012EA,C17015_012MA,C17015_013EA,C17015_013MA,C17015_014EA,C17015_014MA,C17015_015EA,C17015_015MA,state
0400000US08,1372705,11369,85547,4645,14022,1888,2118,748,11904,1721,71525,4225,10962,1723,60563,4137,1287158,12066,323970,6903,24347,2217,299623,6634,963188,11283,28808,2944,934380,11034,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,156585,6413,28985,2408,4733,1007,24252,2368,127600,5712,16662,2007,110938,5400,1526591,12372,459509,7595,33319,3150,426190,7168,1067082,11911,42850,3031,1024232,11956,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,143499,6052,33622,2667,9004,1523,24618,2644,109877,5440,24454,2689,85423,4815,995428,11461,335473,6969,29522,2356,305951,6731,659955,10215,31371,2976,628584,10065,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,150690,6789,33439,2796,8509,1415,24930,2569,117251,6191,23012,2797,94239,5791,954157,12371,298542,6340,29555,2799,268987,5987,655615,11016,33994,3317,621621,10459,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,264678,8286,50373,3374,10484,1405,39889,3364,214305,7572,33696,2935,180609,7074,2854423,16905,786898,9641,70319,3895,716579,9720,2067525,14987,86193,3760,1981332,14502,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,57311,3654,9055,1383,1692,704,7363,1214,48256,3305,7005,1225,41251,3032,743018,8166,215489,4434,17107,1490,198382,4316,527529,6564,17349,2102,510180,6849,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,16178,1948,3874,1016,1022,700,2852,807,12304,1929,3961,1136,8343,1429,325574,5975,105539,3635,7220,1097,98319,3406,220035,5589,10058,1397,209977,5516,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,97453,5721,24633,2986,4894,1303,19739,2626,72820,5290,14050,2304,58770,4603,671681,9873,232777,5244,21156,2067,211621,5253,438904,9079,19473,2311,419431,8662,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,20026,2424,3516,801,375,291,3141,735,16510,2193,2295,951,14215,2016,218373,5852,79638,2919,6863,1281,72775,2677,138735,4606,5542,1001,133193,4519,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,79752,4368,13907,1612,2939,790,10968,1397,65845,4131,13662,1752,52183,3691,1317075,9514,351976,4999,25324,2097,326652,4934,965099,9276,37614,2534,927485,9216,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,5250,20411,2093,4950,1032,1042,552,3908,862,15461,1974,2576,580,12885,1853,245232,5528,80919,2753,5261,900,75658,2773,164313,5453,5946,1217,158367,5172,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,6065,25166,2433,5796,981,1450,500,4346,915,19370,2209,4295,1352,15075,1940,317376,5824,110895,2919,9145,1194,101750,2789,206481,4892,10209,1592,196272,4998,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,20703,266430,10873,52624,3617,9165,1567,43459,3642,213806,10049,30974,3018,182832,9222,2355865,20602,737796,9388,58118,3773,679678,9551,1618069,18811,60992,4118,1557077,19324,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
