GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002EA,B19082_002MA,B19082_003EA,B19082_003MA,B19082_004EA,B19082_004MA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US08,3.53,0.07,9.16,0.12,15.01,0.14,22.98,0.19,49.32,0.41,21.57,0.52,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3.63,0.07,9.29,0.11,15.20,0.14,23.15,0.20,48.73,0.41,21.58,0.53,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3.12,0.09,8.48,0.14,14.42,0.19,22.90,0.27,51.08,0.58,23.02,0.70,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.86,0.08,7.76,0.15,13.87,0.18,23.31,0.26,52.20,0.54,22.77,0.73,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3.03,0.05,8.32,0.07,14.27,0.09,22.60,0.12,51.79,0.27,23.49,0.31,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3.77,0.09,9.53,0.15,15.48,0.17,23.33,0.20,47.90,0.48,20.72,0.59,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,3.53,0.15,9.07,0.23,15.26,0.30,23.29,0.33,48.84,0.79,21.12,0.81,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,3.25,0.10,8.40,0.17,14.07,0.25,22.32,0.33,51.97,0.73,24.03,0.86,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,3.36,0.18,9.01,0.27,15.19,0.36,23.11,0.41,49.33,0.97,21.43,1.11,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3.61,0.07,9.19,0.10,15.12,0.11,23.06,0.16,49.02,0.33,21.78,0.40,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,3.58,0.19,9.24,0.24,15.19,0.31,22.93,0.45,49.07,0.96,21.64,1.24,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,3.47,0.14,9.08,0.23,15.26,0.26,23.56,0.28,48.62,0.67,20.66,0.70,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,3.35,0.07,8.57,0.11,14.18,0.13,22.42,0.16,51.48,0.40,23.37,0.48,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3.09,0.05,8.42,0.09,14.29,0.13,22.65,0.19,51.55,0.36,23.13,0.49,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,3.70,0.24,9.93,0.32,15.73,0.35,23.54,0.40,47.10,0.94,19.36,0.95,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,2.90,0.07,8.10,0.12,14.37,0.19,23.19,0.25,51.44,0.50,22.95,0.62,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,3.53,0.25,9.30,0.35,15.49,0.44,23.61,0.58,48.07,1.38,21.12,1.79,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,3.36,0.11,9.00,0.18,14.59,0.23,22.57,0.33,50.48,0.70,23.15,0.88,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,3.28,0.14,8.46,0.19,14.36,0.27,23.14,0.35,50.76,0.78,22.19,0.93,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,3.39,0.08,8.83,0.13,14.63,0.15,22.73,0.20,50.42,0.47,22.79,0.57,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,3.75,0.07,9.37,0.11,15.24,0.13,23.05,0.18,48.59,0.40,21.67,0.55,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,1.70,0.10,7.04,0.18,12.73,0.27,22.09,0.41,56.44,0.81,26.79,1.21,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,3.14,0.06,8.55,0.11,14.49,0.13,22.90,0.17,50.92,0.39,22.31,0.49,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
