GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001MA,C18107_001EA,C18107_002MA,C18107_002EA,C18107_003MA,C18107_003EA,C18107_004MA,C18107_004EA,C18107_005EA,C18107_005MA,C18107_006EA,C18107_006MA,C18107_007MA,C18107_007EA,C18107_008MA,C18107_008EA,C18107_009MA,C18107_009EA,C18107_010MA,C18107_010EA,C18107_011MA,C18107_011EA,C18107_012MA,C18107_012EA,C18107_013MA,C18107_013EA,C18107_014EA,C18107_014MA,C18107_015MA,C18107_015EA,state
0400000US08,4338977,3285,2146882,4171,1782326,3924,42667,3913,1739659,6161,364556,1466,30958,2752,333598,3176,2192095,3138,1763021,3248,54955,3508,1708066,4428,429074,1808,57478,2940,371596,3225,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5029321,3026,2431767,4054,1982096,4104,76055,4560,1906041,6273,449671,2582,43722,2845,405949,3912,2597554,3576,2031337,3429,92039,4689,1939298,6136,566217,2122,83857,4457,482360,5006,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3382618,2716,1626596,3589,1310960,3442,73264,4430,1237696,5800,315636,1680,38936,2846,276700,3193,1756022,3041,1362142,3601,82614,4394,1279528,5448,393880,2043,74705,3493,319175,3860,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3460242,2363,1632513,3583,1325886,3709,67937,6240,1257949,6847,306627,2448,37486,3095,269141,3652,1827729,3735,1435471,4030,62694,4523,1372777,6496,392258,2581,69167,4236,323091,4907,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9711977,2922,4687293,4327,3841568,4091,115906,6335,3725662,7559,845725,2427,83426,3556,762299,4173,5024684,4115,3944873,3698,133691,5514,3811182,6393,1079811,3233,178752,6024,901059,7121,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2381781,2322,1165635,2797,933168,2756,28272,2655,904896,3634,232467,1499,19057,1920,213410,2203,1216146,2545,932908,2421,32928,2704,899980,3591,283238,1719,38318,2890,244920,3098,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1081635,1437,529459,1860,420384,1780,14825,1986,405559,2750,109075,974,9369,1473,99706,1563,552176,1654,424316,1501,17325,2232,406991,2908,127860,1097,13473,1584,114387,1744,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2258158,2833,1084627,3569,862769,3611,48448,4018,814321,4971,221858,1991,29385,2374,192473,2686,1173531,3023,904497,3141,51631,3648,852866,4518,269034,1977,51736,2865,217298,2929,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,749477,1180,354014,1597,274255,1542,12324,2047,261931,2462,79759,817,6584,1261,73175,1579,395463,833,298335,724,11557,1911,286778,1986,97128,703,12939,1653,84189,1782,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4253432,2182,2096160,3228,1702533,2858,50890,3291,1651643,3676,393627,1810,35847,2571,357780,2999,2157272,2526,1692547,2916,52700,2621,1639847,3292,464725,2044,60139,3231,404586,3545,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
