GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001EA,B12002I_001MA,B12002I_002EA,B12002I_002MA,B12002I_003EA,B12002I_003MA,B12002I_004EA,B12002I_004MA,B12002I_005EA,B12002I_005MA,B12002I_006MA,B12002I_006EA,B12002I_007MA,B12002I_007EA,B12002I_008MA,B12002I_008EA,B12002I_009MA,B12002I_009EA,B12002I_010MA,B12002I_010EA,B12002I_011MA,B12002I_011EA,B12002I_012MA,B12002I_012EA,B12002I_013MA,B12002I_013EA,state
0400000US08,903061,1916,459848,2316,198189,5511,200198,6305,10466,2035,8185,1342,42810,3337,443213,1783,157575,5206,198251,6113,16245,2288,22630,2473,48512,4217,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,323763,2127,167118,2287,73533,3553,74326,3373,4730,1762,1441,744,13088,1804,156645,2145,63972,2681,68054,3019,3838,1122,5927,972,14854,2137,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,108353,2348,59230,2060,26554,2395,26422,2231,2590,835,338,289,3326,842,49123,1739,16960,1801,22193,2010,2572,1122,2106,740,5292,1118,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,172995,2926,92331,2774,38510,3619,41413,2851,2284,817,1428,804,8696,2015,80664,2111,28871,2864,37218,2447,2605,917,5423,1267,6547,1472,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1617935,1952,829594,2152,381339,5858,373668,7192,16416,2398,14372,1985,43799,3286,788341,1822,321458,6000,345237,6988,24307,2755,33918,2973,63421,3838,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,127807,1902,64899,1812,28909,2111,29179,2473,997,525,1421,708,4393,1021,62908,1643,24477,2093,26020,2224,3401,1209,1912,744,7098,1331,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,39293,758,20849,714,11652,1176,7531,1168,525,428,255,258,886,496,18444,755,6258,996,7706,1197,381,348,918,514,3181,847,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,156321,2654,81064,2225,35033,3090,39005,2645,1971,831,878,662,4177,1111,75257,1843,29571,2425,36812,2126,2562,885,1861,844,4451,1207,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,64017,306,33258,598,15106,1330,15920,1549,971,554,171,189,1090,672,30759,630,12560,1200,14422,1369,872,608,975,487,1930,917,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,211110,1700,110004,1821,52676,2685,45410,2460,2371,825,1034,456,8513,1442,101106,1430,44657,2621,42847,2415,3384,1058,1856,565,8362,1249,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
