GEO_ID,B25013_001E,B25013_001M,B25013_002E,B25013_002M,B25013_003E,B25013_003M,B25013_004E,B25013_004M,B25013_005E,B25013_005M,B25013_006E,B25013_006M,B25013_007E,B25013_007M,B25013_008E,B25013_008M,B25013_009E,B25013_009M,B25013_010E,B25013_010M,B25013_011E,B25013_011M,NAME,B25013_001MA,B25013_001EA,B25013_002MA,B25013_002EA,B25013_003MA,B25013_003EA,B25013_004MA,B25013_004EA,B25013_005EA,B25013_005MA,B25013_006EA,B25013_006MA,B25013_007EA,B25013_007MA,B25013_008MA,B25013_008EA,B25013_009EA,B25013_009MA,B25013_010EA,B25013_010MA,B25013_011EA,B25013_011MA,state
0400000US08,2176757,7548,1417981,9500,65798,3613,234860,8088,402797,9042,714526,10308,758776,10471,78305,5114,158898,8416,264440,9697,257133,7120,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,2599169,10447,1791749,12877,133875,5858,542516,11440,537283,11625,578075,12973,807420,11150,111043,5029,264406,7684,263451,7919,168520,6611,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1732713,8718,1167729,12565,118601,4405,347715,8917,342191,7923,359222,8241,564984,10983,87289,4749,175616,6981,199062,7932,103017,5489,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737220,10627,1137524,12385,115747,5569,349891,8225,327928,8755,343958,8382,599696,11233,103267,5909,206579,8155,182306,8985,107544,6092,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,4864864,12677,3210113,17405,219709,6219,719872,10799,953921,13996,1316611,15479,1654751,16516,210229,7932,432211,11075,512127,11039,500184,10451,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1267873,7772,903751,8439,46444,2664,247828,5641,311541,6699,297938,7991,364122,7753,38138,2706,111446,5407,128923,5219,85615,4352,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,531212,5670,378742,6605,15721,1896,86351,3810,111132,4257,165538,4281,152470,5181,14962,2135,44706,3396,47904,3542,44898,3001,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1156347,7393,760401,8395,78225,3734,229345,6106,231637,5862,221194,6544,395946,7521,58710,4021,128913,6241,139952,7001,68371,4432,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,367671,3933,261145,4466,16755,2000,73538,4506,70545,3728,100307,3879,106526,4571,14506,2204,37595,3391,29145,2421,25280,2830,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2194452,6925,1567939,9341,60614,2879,332770,6574,520680,7842,653875,8623,626513,8243,66229,3610,155366,6089,222672,7158,182246,5279,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,431421,4444,291018,4709,10307,1436,70563,3109,101816,4227,108332,3814,140403,5561,11010,1769,39452,3107,53819,3873,36122,3028,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,570307,5261,406226,6154,18034,1523,110327,4402,126146,5240,151719,4872,164081,5651,15533,2288,56007,4082,52881,3433,39660,2828,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,4011462,16617,2612904,19709,216408,8303,567057,12294,817091,12401,1012348,15467,1398558,16379,194910,8435,350274,10657,492192,10775,361182,10554,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3803012,14400,2426435,18052,203555,8110,559411,11515,672207,15020,991262,15108,1376577,15458,201604,8148,384552,13186,438661,12997,351760,11313,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,254551,3266,167108,3496,8542,1169,34357,2326,62015,3245,62194,3525,87443,3493,5817,1188,23780,2286,36652,2815,21194,2140,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
