GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,NAME,B16005F_001MA,B16005F_001EA,B16005F_002EA,B16005F_002MA,B16005F_003EA,B16005F_003MA,B16005F_004EA,B16005F_004MA,B16005F_005MA,B16005F_005EA,B16005F_006MA,B16005F_006EA,B16005F_007EA,B16005F_007MA,B16005F_008EA,B16005F_008MA,B16005F_009MA,B16005F_009EA,B16005F_010MA,B16005F_010EA,B16005F_011MA,B16005F_011EA,state
0400000US08,184517,12226,125843,9169,71427,7049,54416,5658,48083,5132,6333,1586,58674,6864,3801,1029,54873,6809,17680,3429,37193,5335,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,149969,10012,92765,7174,39101,5113,53664,5441,44823,4990,8841,2258,57204,5707,4108,1494,53096,5674,18928,3200,34168,4505,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,45918,5192,22557,3694,9313,2688,13244,2309,9538,1871,3706,1523,23361,3036,1410,572,21951,3053,5276,1012,16675,2782,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,58847,6996,27422,3732,14389,2898,13033,2465,10414,2154,2619,985,31425,5033,2267,866,29158,4910,8549,2052,20609,3844,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,663673,23661,376099,15220,87014,7105,289085,12786,253478,12567,35607,4325,287574,14488,12311,2546,275263,14132,85660,5437,189603,11812,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,28798,4683,13274,2619,5418,1508,7856,1896,6775,1797,1081,565,15524,3123,809,475,14715,3138,4394,1404,10321,2436,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,8291,2427,4572,1568,2104,883,2468,1300,2187,1218,281,236,3719,1503,86,98,3633,1501,1569,712,2064,1205,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,79335,6444,45571,5054,12769,3483,32802,3830,26754,3751,6048,1627,33764,3605,2368,944,31396,3538,11337,2736,20059,2571,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,18154,3893,9665,2220,2070,730,7595,1987,5957,1725,1638,917,8489,2301,583,391,7906,2220,3243,1603,4663,1765,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,94099,7012,47619,4069,15177,2191,32442,3693,29366,3722,3076,855,46480,4580,3479,707,43001,4520,13928,2140,29073,4178,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
