GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001MA,B18101A_001EA,B18101A_002EA,B18101A_002MA,B18101A_003MA,B18101A_003EA,B18101A_004MA,B18101A_004EA,B18101A_005MA,B18101A_005EA,B18101A_006MA,B18101A_006EA,B18101A_007MA,B18101A_007EA,B18101A_008MA,B18101A_008EA,B18101A_009MA,B18101A_009EA,B18101A_010MA,B18101A_010EA,state
0400000US08,4720426,16725,1009690,7555,31432,2708,978258,7888,2985344,11652,249715,9612,2735629,13865,725392,2958,224515,5678,500877,5780,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5465964,11593,1203866,6467,51528,4272,1152338,7449,3334161,6785,392162,9158,2941999,12341,927937,2198,321487,6699,606450,7070,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3811689,6366,823451,3428,51828,4149,771623,5022,2329414,4161,369993,9545,1959421,10156,658824,1701,260898,6156,397926,6385,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2828937,7596,599821,4596,31250,3871,568571,5523,1725250,5308,216517,9997,1508733,10023,503866,2138,189475,6443,314391,6874,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,9023893,26484,1897424,11623,64302,3767,1833122,11955,5568682,16970,463935,10570,5104747,18531,1557787,3924,490680,8037,1067107,8579,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2809061,5748,625275,3132,24725,1910,600550,3786,1682298,3776,156700,5857,1525598,7064,501488,1304,155824,4267,345664,4374,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1239550,3077,228056,1681,10098,1564,217958,2013,780932,2006,84447,4931,696485,5333,230562,713,70387,3346,160175,3479,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2268581,6884,490652,3541,29317,3131,461335,4080,1349138,4774,205632,6909,1143506,8617,428791,1786,178979,5230,249812,5303,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,651779,4776,120236,2316,4980,1530,115256,2585,387702,3366,41425,3281,346277,4544,143841,906,44533,2800,99308,2815,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4585781,8128,956116,4383,31489,2614,924627,4730,2819261,5038,235129,7545,2584132,8911,810404,1538,245899,5551,564505,5225,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
