GEO_ID,B01001I_001E,B01001I_001M,B01001I_002E,B01001I_002M,B01001I_003E,B01001I_003M,B01001I_004E,B01001I_004M,B01001I_005E,B01001I_005M,B01001I_006E,B01001I_006M,B01001I_007E,B01001I_007M,B01001I_008E,B01001I_008M,B01001I_009E,B01001I_009M,B01001I_010E,B01001I_010M,B01001I_011E,B01001I_011M,B01001I_012E,B01001I_012M,B01001I_013E,B01001I_013M,B01001I_014E,B01001I_014M,B01001I_015E,B01001I_015M,B01001I_016E,B01001I_016M,B01001I_017E,B01001I_017M,B01001I_018E,B01001I_018M,B01001I_019E,B01001I_019M,B01001I_020E,B01001I_020M,B01001I_021E,B01001I_021M,B01001I_022E,B01001I_022M,B01001I_023E,B01001I_023M,B01001I_024E,B01001I_024M,B01001I_025E,B01001I_025M,B01001I_026E,B01001I_026M,B01001I_027E,B01001I_027M,B01001I_028E,B01001I_028M,B01001I_029E,B01001I_029M,B01001I_030E,B01001I_030M,B01001I_031E,B01001I_031M,NAME,B01001I_001MA,B01001I_001EA,B01001I_002MA,B01001I_002EA,B01001I_003MA,B01001I_003EA,B01001I_004MA,B01001I_004EA,B01001I_005MA,B01001I_005EA,B01001I_006EA,B01001I_006MA,B01001I_007EA,B01001I_007MA,B01001I_008MA,B01001I_008EA,B01001I_009MA,B01001I_009EA,B01001I_010MA,B01001I_010EA,B01001I_011MA,B01001I_011EA,B01001I_012MA,B01001I_012EA,B01001I_013MA,B01001I_013EA,B01001I_014MA,B01001I_014EA,B01001I_015EA,B01001I_015MA,B01001I_016MA,B01001I_016EA,B01001I_017MA,B01001I_017EA,B01001I_018EA,B01001I_018MA,B01001I_019EA,B01001I_019MA,B01001I_020EA,B01001I_020MA,B01001I_021MA,B01001I_021EA,B01001I_022MA,B01001I_022EA,B01001I_023MA,B01001I_023EA,B01001I_024MA,B01001I_024EA,B01001I_025MA,B01001I_025EA,B01001I_026MA,B01001I_026EA,B01001I_027MA,B01001I_027EA,B01001I_028EA,B01001I_028MA,B01001I_029EA,B01001I_029MA,B01001I_030EA,B01001I_030MA,B01001I_031MA,B01001I_031EA,state
0400000US30,41605,885,21151,1689,2103,833,2638,676,2473,755,966,432,1227,602,1701,648,1065,471,1152,519,2879,937,2143,950,1643,523,816,509,179,119,166,219,20454,1686,2457,826,1292,453,2248,596,880,462,499,322,1323,569,1520,592,2344,1128,3124,1021,1777,802,1715,572,907,489,368,270,0,172,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,22411,627,12007,823,939,291,881,444,685,258,794,338,479,447,2072,773,735,387,1008,443,1466,581,1640,670,784,375,346,228,178,149,0,170,10404,683,642,258,875,284,898,361,431,282,423,313,803,429,704,347,1281,405,992,382,854,434,1077,356,780,390,410,243,234,192,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,995529,373,513867,4799,54231,3151,53694,3806,60152,3879,29645,2203,18571,2390,42965,2819,35714,2251,38834,2835,82046,2876,55094,2600,27646,1963,10492,1561,3351,984,1432,766,481662,4866,50109,2821,52987,3581,52345,3538,27858,2458,17911,2298,39829,2291,33250,2093,33689,2295,75907,3250,50324,2653,27693,1852,11946,1517,5345,1400,2469,905,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1021754,1889,531074,5077,49749,2438,54882,3693,58504,3936,28306,1684,20467,2473,43400,3091,38782,2705,41790,2819,88177,3667,59728,3018,28688,2116,12006,1958,5422,1256,1173,593,490680,4898,50036,2789,49465,3114,50343,3524,30414,2280,20165,1813,38622,2487,35461,2082,34317,2511,79314,3596,52876,2741,27885,1838,13233,2197,6496,1547,2053,998,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,53069,496,26906,915,2467,378,2377,798,2771,819,645,255,1393,528,2782,701,3340,668,975,402,2990,877,4066,1091,1751,647,812,375,537,273,0,157,26163,970,2771,499,2702,632,1818,687,2080,390,859,388,2026,488,2817,564,1499,594,4150,845,2515,724,1662,491,914,314,350,269,0,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,211485,2959,112109,3500,12959,2748,13654,1782,12048,1781,6582,1209,3585,1336,9555,1801,8800,1612,8753,1774,18307,2604,9106,1636,4616,858,3288,1287,544,233,312,271,99376,2705,11672,1759,10593,1874,11231,1855,4944,1163,2631,738,6964,1381,9424,1605,7805,1533,13458,1759,8967,1403,5524,1076,3423,888,1850,818,890,456,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,12450,575,6156,571,611,387,321,198,568,417,363,294,540,266,514,273,616,398,412,232,506,297,1148,550,315,197,242,182,0,157,0,157,6294,625,385,161,386,192,328,221,71,71,112,104,1095,584,532,235,742,392,681,349,623,327,566,340,532,308,241,239,0,157,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,881145,-555555555,447083,1460,38418,543,40493,2707,42619,2666,23500,842,14633,536,35440,539,38107,888,36023,896,65937,1166,54798,962,33323,969,15429,477,5543,1094,2820,900,434062,1461,36482,760,38372,2192,40992,2195,22471,625,14262,634,35803,784,35694,534,32336,739,63680,908,51634,916,33160,800,18301,502,8174,1019,2701,932,Nevada,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,25569,1724,13829,1580,1263,767,907,386,1189,639,848,646,507,219,1085,490,1037,554,963,431,2965,1155,910,482,1400,659,420,338,229,140,106,158,11740,1344,245,213,1165,432,1003,468,445,350,665,370,1749,779,929,482,788,539,1134,613,1174,543,880,449,922,428,443,305,198,260,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,429079,-555555555,222170,1942,24007,1056,22562,1932,25201,2042,11886,888,8931,976,19240,1171,18586,1350,17714,958,30448,1388,22299,949,13788,958,5542,557,1609,428,357,199,206909,1942,23459,1274,23160,1895,24174,1894,11968,757,7950,881,19059,1631,15909,1140,16119,1167,25800,1116,18432,1007,12808,806,5355,733,2160,479,556,316,Oklahoma,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,403833,556,207459,1813,21517,1260,21646,1667,22380,1645,10819,916,8234,1165,15582,1653,15840,1446,17596,1711,30633,1916,20613,1487,13411,1142,5693,877,2738,840,757,348,196374,1816,19051,1176,22186,2011,20876,2013,12520,1086,7748,1006,15682,1285,14625,1109,15007,1265,28189,1619,18637,1213,12437,1087,5231,706,3276,708,909,393,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,3154017,4708,1496407,4564,63215,2167,85555,3864,92073,3666,60878,2048,45711,2602,111514,2702,100782,1780,81072,2074,183717,2296,194752,1152,192765,891,161392,675,91095,2092,31886,2107,1657610,4401,60945,2062,80174,3510,86739,3743,57998,1961,43811,2316,109140,2733,103320,1415,89840,1552,206383,1814,220186,1220,228363,670,197112,611,124485,3228,49114,3178,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,812810,3129,419741,4362,42419,2300,37369,2827,36262,2720,20917,1796,15329,2090,36992,2376,31819,2018,35867,1962,71877,2441,45852,2190,28190,1620,11247,1623,4354,971,1247,697,393069,4030,36923,1734,33270,3104,35588,3117,19797,1824,13216,1648,33743,1932,29354,1411,30632,1854,65830,2353,42705,1923,28816,1603,13828,1322,6941,914,2426,623,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,27444,1653,16843,1622,1887,644,2364,866,1548,664,318,230,461,255,1666,662,2828,987,2554,853,908,433,850,497,1029,566,191,198,167,154,72,121,10601,1158,1148,532,691,476,621,415,409,246,219,175,1259,601,1460,541,1389,511,1205,436,1366,612,366,259,380,325,40,50,48,68,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,294502,3786,154172,3513,13613,1499,14591,1590,16671,2166,8231,1534,7264,1468,13093,1999,11673,1904,12147,1634,28048,2528,14037,1754,8986,1413,3564,875,2116,642,138,170,140330,3520,14364,1811,14937,2028,15193,1680,6463,1269,5084,1448,11904,1377,9759,1626,9587,1549,22825,1909,12549,1664,8666,1073,6462,1232,1684,741,853,538,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,556397,-555555555,286743,1928,25254,1220,26141,2006,31464,1910,15691,1099,9168,1161,28171,1631,25310,1392,22047,1525,40808,1982,33215,2006,16310,1035,7731,1199,4313,1120,1120,624,269654,1926,26031,1133,25504,2665,26484,2833,17376,1291,11296,1840,23092,2039,22125,1304,19431,1482,40671,1828,27488,1730,16864,887,7823,1100,4267,1091,1202,511,Oregon,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,57895,565,28478,1313,3100,743,1795,679,3535,943,1261,578,1473,694,834,450,2043,968,2933,883,4011,992,3429,848,1727,587,1674,705,548,450,115,147,29417,1266,2279,636,2955,872,2675,877,1422,655,1255,677,2539,1024,1723,672,1587,691,3497,894,3535,1034,3035,856,1921,788,517,345,477,370,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,15540142,-555555555,7818738,3062,642327,1224,632952,9980,719339,10197,392006,1098,263052,1513,662837,2100,693312,1580,617961,1421,1107193,2178,942717,1552,645013,1062,321038,1289,131950,3299,47041,3110,7721404,3062,614936,1344,620085,11060,681983,10994,379295,1016,254635,1594,639009,1911,643954,1150,562870,1335,1064958,1447,929753,1007,679404,978,380782,1254,190219,4052,79521,3944,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US28,87126,1796,49749,2299,4407,1079,3958,791,5812,1341,3290,821,3273,1024,3332,1058,5179,1202,4155,1145,7261,1796,4961,1052,1902,698,1294,557,613,454,312,376,37377,1655,3909,1154,3413,668,4192,837,1568,727,1250,556,3644,1142,2818,991,2823,1068,7126,1414,3219,866,1702,612,1001,618,521,398,191,199,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US09,589810,-555555555,292205,1027,23861,521,25778,1961,26447,1884,14913,433,11734,880,24342,783,24326,520,24072,1014,43843,1267,34361,1094,21938,684,10570,463,4784,603,1236,520,297605,1027,23416,508,24715,1951,27701,2005,14691,788,9666,456,23273,583,23021,833,22006,927,45771,984,36861,998,25435,651,12528,305,6844,721,1677,611,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US48,11368844,-555555555,5719063,4985,510343,3337,495317,11471,558154,11660,302986,3198,203571,3212,472076,5057,461426,3731,437711,3616,816741,5471,645484,4204,448511,2144,241315,2576,101242,3188,24186,2106,5649781,4980,493463,3574,480476,8885,528983,9273,293667,3280,194021,3896,442957,4611,432287,3539,399473,3372,787834,4016,655439,3972,475503,1952,278520,2464,128864,4185,58294,3465,Texas,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US24,628435,-555555555,324871,2082,33800,1243,29745,2597,31347,2698,15175,1160,10301,1076,23571,1419,23956,883,25387,812,56856,1432,40851,1331,21175,629,8473,652,3759,623,475,334,303564,2083,31259,1120,29872,2848,28275,2776,13948,1130,9320,949,22843,1599,21573,959,22810,819,48716,1631,33518,1576,22486,981,11423,1033,5250,1047,2271,762,Maryland,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
