GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003EA,B17020A_003MA,B17020A_004MA,B17020A_004EA,B17020A_005MA,B17020A_005EA,B17020A_006EA,B17020A_006MA,B17020A_007EA,B17020A_007MA,B17020A_008EA,B17020A_008MA,B17020A_009EA,B17020A_009MA,B17020A_010MA,B17020A_010EA,B17020A_011EA,B17020A_011MA,B17020A_012EA,B17020A_012MA,B17020A_013EA,B17020A_013MA,B17020A_014MA,B17020A_014EA,B17020A_015MA,B17020A_015EA,B17020A_016EA,B17020A_016MA,B17020A_017EA,B17020A_017MA,state
0400000US08,4695611,16241,408335,16569,32784,4175,39536,4568,32434,4194,227320,8729,53473,4761,14146,1740,8642,1458,4287276,22604,284383,6285,300314,7430,311483,7073,2435096,14229,703822,7207,184118,4040,68060,3981,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5386341,11994,584877,19529,55251,4415,51943,4601,53916,5127,323121,10731,69900,4137,21582,2538,9164,1804,4801464,20354,317185,6885,340144,7036,360137,6774,2580582,13160,854471,8001,255464,5231,93481,4494,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3765168,7107,586690,19865,57510,5281,60333,5494,47728,4076,318476,10459,73751,5062,20322,2170,8570,1573,3178478,20138,202458,5274,210480,6294,228062,6014,1714998,13123,590251,8151,176540,3440,55689,3515,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2815645,8111,358365,17164,35241,4532,31520,3960,24725,3328,200845,9970,46268,4080,14230,2225,5536,1313,2457280,17587,166009,5246,164909,6122,170046,5808,1317243,12510,454518,6373,137576,4237,46979,3725,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8941073,25928,834662,23545,71375,5229,71935,5807,74154,5747,454630,12662,108812,5545,34046,2544,19710,2432,8106411,36612,519983,7297,547182,10068,589828,11787,4427265,22447,1416183,9057,429547,5935,176423,5819,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2760739,6012,272631,12034,23427,2866,21034,2697,21599,2467,156401,6629,30192,2666,12517,1563,7461,1024,2488108,12195,174447,3211,183346,5200,191626,4336,1292184,8486,451266,4779,139759,3121,55480,2864,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1216879,3434,86537,6339,7351,1690,7260,1916,7680,1724,46625,3213,12644,1787,3360,797,1617,564,1130342,6482,59347,2352,65559,3383,75586,3473,619497,5055,225341,3982,60660,2452,24352,2256,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2244044,7006,312912,16141,33358,3452,28813,3523,26232,3421,168076,9587,41115,3081,10348,1850,4970,1113,1931132,16897,121062,4695,132935,4478,140568,5275,1011112,11561,361013,5077,126311,2989,38131,2888,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,644730,4744,58898,6272,3629,1249,4884,1395,4876,1450,32643,3785,9872,1885,2256,740,738,359,585832,7336,32299,1770,33844,2138,38295,2066,298753,5432,127327,2717,40870,1911,14444,1704,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4537631,8248,337356,10806,22542,3021,25207,3151,23290,2469,186103,6458,52975,3269,17582,1676,9657,1464,4200275,12964,282134,4394,285076,5382,305311,4970,2273067,9525,744641,6562,224752,3714,85294,3829,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
