GEO_ID,B17002_001E,B17002_001M,B17002_002E,B17002_002M,B17002_003E,B17002_003M,B17002_004E,B17002_004M,B17002_005E,B17002_005M,B17002_006E,B17002_006M,B17002_007E,B17002_007M,B17002_008E,B17002_008M,B17002_009E,B17002_009M,B17002_010E,B17002_010M,B17002_011E,B17002_011M,B17002_012E,B17002_012M,B17002_013E,B17002_013M,NAME,B17002_001MA,B17002_001EA,B17002_002MA,B17002_002EA,B17002_003EA,B17002_003MA,B17002_004EA,B17002_004MA,B17002_005EA,B17002_005MA,B17002_006EA,B17002_006MA,B17002_007MA,B17002_007EA,B17002_008EA,B17002_008MA,B17002_009EA,B17002_009MA,B17002_010EA,B17002_010MA,B17002_011MA,B17002_011EA,B17002_012MA,B17002_012EA,B17002_013EA,B17002_013MA,state
0400000US08,5577020,2234,255879,12214,126359,11202,155254,12385,181416,13077,188755,15246,230347,14202,91123,10561,148106,11271,856547,23652,785170,25001,632856,22380,1925208,29549,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6489261,4578,396763,18031,203653,13358,252222,13129,290464,16410,278171,15662,304620,13667,120081,10241,172854,12448,1168148,31882,1019351,25100,763547,27178,1519387,31290,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4326305,3844,325902,16763,200190,11993,204316,11464,208584,14317,218690,12123,213094,12157,85281,9632,127976,10293,740896,22240,632710,21850,439018,15188,929648,22840,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4529028,2896,365987,15673,217264,14746,260375,16752,269396,15546,229854,14881,238200,14839,86394,8839,144014,12168,709849,25084,564102,18585,414776,16557,1028817,27540,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12447271,3849,695247,22723,371920,15518,442080,20375,488742,21169,473130,22236,513090,20968,198976,13397,315327,16374,1930143,41972,1684836,34750,1327753,30179,4006027,37989,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3055939,1516,154683,8495,86918,7072,101903,7527,127847,8230,115872,7980,128549,9956,48366,4478,86420,7962,532203,16747,501960,14918,357577,12910,813641,19807,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1312006,1622,49395,5798,20142,3588,30683,4274,36157,4564,35708,4069,43875,5117,18024,3573,24596,4347,185548,10283,191202,11211,159820,9880,516856,14371,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2925448,2347,196541,11349,144221,11115,163742,11228,169669,9802,162172,10459,169033,12342,59651,8117,96175,8561,531638,18247,401083,13972,270636,14458,560887,18497,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,940786,1409,50635,5990,28527,4799,38080,5993,32410,5259,30201,5525,37312,6083,14848,4143,24340,4954,149144,9613,126899,10360,112871,7922,295519,10250,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5488344,2504,231376,11773,116908,8586,180793,10872,184638,12812,186300,10255,195650,11376,72473,6953,126105,8267,793737,21280,801253,18264,690321,17498,1908790,23055,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,1037462,1216,56235,5526,33726,4229,45153,4553,50540,5280,45752,6217,55763,5149,18116,3627,33515,4491,186428,9871,148903,8699,119628,7593,243703,9973,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1301941,1553,60264,6008,42583,4402,48694,4906,52676,5948,51449,5370,61026,6502,27537,4060,34413,4145,225828,11550,194357,9758,155936,10947,347178,11094,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,10100431,4443,622599,21330,351177,19467,444097,19495,482794,18207,467315,20476,498236,22246,210932,13937,319001,18895,1755116,36656,1397847,33027,1053139,29529,2498178,35878,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,10238658,5792,668662,27520,359477,23755,440503,22381,485481,22282,473339,21485,476560,24249,190746,14260,298590,20263,1690872,36821,1403908,32749,1016488,31975,2734032,44529,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,720869,846,37710,4115,16383,3630,24527,3957,21735,3606,26393,4652,28518,4695,12222,3562,14014,2565,115398,9825,97046,8020,86152,7281,240771,10478,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,4763828,2786,363398,15146,204314,12850,232710,14299,245399,14707,237588,16909,244062,14682,95481,9359,116728,9175,805162,24407,674195,22585,489364,20615,1055427,26429,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,601261,637,28406,3889,16286,3211,21321,2889,20067,2684,18901,2782,27922,3357,6146,1608,16332,2666,100776,6665,91046,5541,76680,6271,177378,7194,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,2991978,2471,174548,11125,90472,8173,122307,10016,134246,11834,136398,10518,145827,12536,54098,8949,96267,10763,570583,21792,434467,18463,297086,15891,735679,18155,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,1753476,2196,132751,9424,86151,8928,93286,7980,103595,10491,86683,9092,90051,8246,40952,5705,48299,5619,325103,15003,241852,13867,167350,11521,337403,13472,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
