GEO_ID,B27022_001E,B27022_001M,B27022_002E,B27022_002M,B27022_003E,B27022_003M,B27022_004E,B27022_004M,B27022_005E,B27022_005M,B27022_006E,B27022_006M,B27022_007E,B27022_007M,B27022_008E,B27022_008M,B27022_009E,B27022_009M,B27022_010E,B27022_010M,B27022_011E,B27022_011M,B27022_012E,B27022_012M,B27022_013E,B27022_013M,B27022_014E,B27022_014M,B27022_015E,B27022_015M,NAME,B27022_001MA,B27022_001EA,B27022_002MA,B27022_002EA,B27022_003MA,B27022_003EA,B27022_004EA,B27022_004MA,B27022_005MA,B27022_005EA,B27022_006EA,B27022_006MA,B27022_007MA,B27022_007EA,B27022_008MA,B27022_008EA,B27022_009MA,B27022_009EA,B27022_010MA,B27022_010EA,B27022_011MA,B27022_011EA,B27022_012MA,B27022_012EA,B27022_013MA,B27022_013EA,B27022_014EA,B27022_014MA,B27022_015EA,B27022_015MA,state
0400000US08,522391,7413,265288,5735,88251,5032,83823,4722,4428,1284,177037,6928,146383,6140,30654,4034,257103,4280,106952,5256,100840,5280,6112,1452,150151,5402,133484,4875,16667,2545,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,642413,8812,327421,6483,122830,5140,113364,4488,9466,2530,204591,7024,168700,6219,35891,3898,314992,5403,136412,4931,126125,4815,10287,1849,178580,6612,151117,6605,27463,3299,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,414331,6592,208890,4722,70199,3930,64736,3896,5463,1149,138691,5449,119168,5598,19523,2765,205441,4981,83848,4262,80437,3985,3411,1082,121593,5214,110937,5160,10656,1773,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,421043,6947,207993,5607,70983,4272,64885,4563,6098,1508,137010,6055,106660,6007,30350,4406,213050,4356,91205,5078,85522,5029,5683,1565,121845,5116,108068,4935,13777,2223,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1156647,9928,581862,6383,235783,6583,216782,6322,19001,2639,346079,8457,287101,8186,58978,3810,574785,6842,256892,5985,239610,5946,17282,2335,317893,7762,278687,7076,39206,3782,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,301481,5169,152836,3935,61400,3562,57362,3501,4038,1472,91436,4344,80680,4213,10756,1800,148645,3478,69020,3623,65120,3168,3900,1169,79625,3813,73656,3746,5969,1471,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,121941,3403,62974,2374,24588,2034,22682,1873,1906,755,38386,2875,32756,2695,5630,1226,58967,2191,25266,2184,24524,2119,742,344,33701,2443,30665,2366,3036,1094,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,275496,6568,140213,4675,47445,3952,42997,3820,4448,1081,92768,5174,70898,4784,21870,3090,135283,4053,52417,3957,48597,3808,3820,1070,82866,4383,70891,4161,11975,1883,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,81739,2726,40833,1620,17362,2014,16128,1854,1234,707,23471,2134,20669,2132,2802,1263,40906,2237,19677,2094,18843,2080,834,459,21229,2026,19384,2053,1845,841,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,493074,5544,251483,4144,95238,4353,90633,4200,4605,1164,156245,4970,138876,4860,17369,2197,241591,3246,111513,4320,108009,4015,3504,1112,130078,3968,122805,3961,7273,1233,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
