GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001EA,B15010_001MA,B15010_002EA,B15010_002MA,B15010_003EA,B15010_003MA,B15010_004EA,B15010_004MA,B15010_005EA,B15010_005MA,B15010_006EA,B15010_006MA,B15010_007MA,B15010_007EA,B15010_008EA,B15010_008MA,B15010_009EA,B15010_009MA,B15010_010EA,B15010_010MA,B15010_011EA,B15010_011MA,B15010_012EA,B15010_012MA,B15010_013EA,B15010_013MA,B15010_014EA,B15010_014MA,B15010_015EA,B15010_015MA,B15010_016EA,B15010_016MA,state
0400000US08,1625549,16434,79693,4201,121341,5232,57848,3656,83311,4707,127810,5664,146258,5173,14324,1627,134391,4351,318325,9166,150445,6301,68846,4166,78865,4902,71894,3887,73444,3844,98754,4469,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1211066,20496,47774,3971,71936,3767,37804,3683,43696,3299,60876,4155,84868,5241,5621,1110,152205,5877,252170,8852,189124,6158,34793,2886,68038,4435,35659,2833,45730,3514,80772,4946,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,753785,13036,27367,2537,48462,3992,20981,2091,33168,3173,40384,2925,43166,3016,5334,1121,88149,4483,146397,6304,127336,6031,28728,2445,36208,3068,22434,2373,32944,2528,52727,3790,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,758653,13151,22377,2903,46271,3202,22269,2400,29747,2794,38402,3648,47456,3918,4742,1074,96877,6054,154250,6499,116803,6353,20223,2447,56933,4662,27500,2940,22342,2585,52461,4187,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3052684,24472,147721,5190,171113,6376,86947,4300,146369,6344,220446,7927,219533,7335,22378,2466,289736,7762,660387,14789,378700,10689,119274,5276,139951,5321,133113,5311,149319,5805,167697,7283,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,610540,11363,20240,2480,57118,3508,15766,2321,22018,2192,31428,2668,34937,2860,3032,804,59587,3163,126998,4593,114633,4868,19749,1903,26369,2555,19731,1960,18857,1743,40077,2741,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,357579,7419,19398,2218,24335,2350,11876,1514,19726,2366,23757,2289,33568,2874,2503,628,30906,2864,69875,3644,39958,2977,20940,2165,17298,1815,15466,1746,9021,1350,18952,1900,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,471275,11367,16556,2156,40597,3002,14640,2054,18840,2365,22550,2310,24012,2665,3505,1155,53798,4186,98097,4998,83366,4757,15735,2198,19735,2097,16732,2863,14128,2130,28984,2943,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,212992,6726,8648,1726,14160,1927,8659,1355,9403,1599,15579,2062,14180,1537,2140,770,19920,2542,45830,3525,31932,3434,6774,1074,9837,1527,6137,1283,5269,1135,14524,1471,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1398128,12536,58936,3589,99234,4307,34770,2787,70906,3889,111614,5359,91291,4372,9484,1413,136798,4890,281157,7463,185252,4999,55034,2956,59764,3065,55659,3384,60561,3726,87668,3981,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,233405,6163,5920,990,27912,2376,7932,1506,8976,1354,14246,1465,12696,1615,1060,404,27763,2821,36288,2954,40107,2593,9342,1384,11632,1581,9329,1495,7400,1447,12802,1806,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
