GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001MA,B05003H_001EA,B05003H_002MA,B05003H_002EA,B05003H_003MA,B05003H_003EA,B05003H_004MA,B05003H_004EA,B05003H_005MA,B05003H_005EA,B05003H_006EA,B05003H_006MA,B05003H_007MA,B05003H_007EA,B05003H_008MA,B05003H_008EA,B05003H_009MA,B05003H_009EA,B05003H_010MA,B05003H_010EA,B05003H_011MA,B05003H_011EA,B05003H_012MA,B05003H_012EA,B05003H_013MA,B05003H_013EA,B05003H_014MA,B05003H_014EA,B05003H_015MA,B05003H_015EA,B05003H_016MA,B05003H_016EA,B05003H_017EA,B05003H_017MA,B05003H_018MA,B05003H_018EA,B05003H_019MA,B05003H_019EA,B05003H_020MA,B05003H_020EA,B05003H_021MA,B05003H_021EA,B05003H_022MA,B05003H_022EA,B05003H_023MA,B05003H_023EA,state
0400000US08,3859171,2530,1937659,1860,362410,1644,359592,1804,2818,1081,529,320,2289,1055,1575249,993,1525812,3757,49437,3796,28527,2798,20910,2536,1921512,2452,344856,1646,342156,1899,2700,823,629,440,2071,783,1576656,1813,1517274,4191,59382,3699,38355,3262,21027,2468,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5266285,4452,2591500,3300,569050,2165,567079,2187,1971,760,701,379,1270,640,2022450,2194,1995318,4762,27132,3827,16314,2098,10818,2691,2674785,2938,537375,2210,535828,2479,1547,841,499,470,1048,695,2137410,1441,2107503,3647,29907,3066,18235,2470,11672,1766,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3776055,2079,1852491,2794,406022,2284,404256,2583,1766,913,826,588,940,599,1446469,1378,1431758,2082,14711,1907,8313,1318,6398,1370,1923564,2201,384303,1976,383596,2042,707,441,192,294,515,318,1539261,1162,1520726,2602,18535,2206,10144,1493,8391,1549,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2720774,2746,1338727,2429,284477,2431,283339,2458,1138,550,412,381,726,378,1054250,752,1038260,3288,15990,3190,7852,2028,8138,2153,1382047,2856,269656,2578,268228,2721,1428,749,615,485,813,542,1112391,896,1098620,2336,13771,2076,7526,1451,6245,1291,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7760732,3669,3816589,2360,750539,1449,742416,2340,8123,1757,2705,990,5418,1373,3066050,2086,2857158,8325,208892,7992,135171,5608,73721,5266,3944143,2792,708846,1546,700712,2273,8134,1646,1914,648,6220,1636,3235297,1859,3003604,7007,231693,6639,160056,5753,71637,4900,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2695583,2165,1333402,1413,291728,1416,291112,1544,616,518,145,224,471,429,1041674,888,1026656,2267,15018,2020,7959,1575,7059,1416,1362181,2202,275368,1642,274632,1683,736,712,80,97,656,711,1086813,1011,1073175,2281,13638,2055,8740,1715,4898,1081,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1217767,1255,600980,1457,111484,839,110847,1035,637,662,31,51,606,648,489496,1064,473796,2366,15700,2128,11018,1916,4682,1143,616787,986,106085,888,105755,946,330,352,330,352,0,192,510702,383,492321,2782,18381,2686,13068,2084,5313,1396,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2174167,1149,1066597,1629,226078,1587,225628,1586,450,313,111,152,339,265,840519,481,834529,1443,5990,1310,3289,934,2701,847,1107570,1681,215871,1554,215290,1523,581,319,105,129,476,289,891699,553,882369,1791,9330,1771,4950,1089,4380,1310,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,598105,652,289321,336,50392,274,50180,383,212,267,212,267,0,200,238929,185,234711,888,4218,907,3262,825,956,378,308784,390,48710,105,48642,155,68,113,0,200,68,113,260074,373,252579,1466,7495,1363,4952,1024,2543,849,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4455388,2053,2211442,1485,457477,593,455032,1187,2445,1056,1001,672,1444,722,1753965,1040,1721432,2923,32533,2783,20428,2277,12105,1559,2243946,1059,435709,566,433238,1097,2471,803,796,473,1675,686,1808237,821,1770609,3194,37628,3115,24546,2397,13082,1980,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
