GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001MA,C24080_001EA,C24080_002MA,C24080_002EA,C24080_003MA,C24080_003EA,C24080_004EA,C24080_004MA,C24080_005MA,C24080_005EA,C24080_006MA,C24080_006EA,C24080_007MA,C24080_007EA,C24080_008MA,C24080_008EA,C24080_009MA,C24080_009EA,C24080_010MA,C24080_010EA,C24080_011MA,C24080_011EA,C24080_012MA,C24080_012EA,C24080_013MA,C24080_013EA,C24080_014MA,C24080_014EA,C24080_015EA,C24080_015MA,C24080_016MA,C24080_016EA,C24080_017MA,C24080_017EA,C24080_018MA,C24080_018EA,C24080_019MA,C24080_019EA,state
0400000US08,2982794,18123,1594353,11806,1231192,13978,1133814,13710,97378,5267,78337,4533,84144,4818,51284,3805,48364,3832,101032,4738,1388441,11922,938266,12745,884773,13436,53493,3888,156164,5920,115052,5337,66516,4237,31085,2949,81358,4281,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,3238769,17111,1698000,10899,1371556,12641,1309202,12719,62354,3952,90945,4874,74409,4556,47442,3302,26056,2302,87592,4809,1540769,12750,1088755,13603,1061145,13677,27610,2542,202622,6374,95338,5118,70420,4257,23625,2842,60009,3776,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1995789,14195,1043858,8963,812811,9539,774079,9943,38732,3050,46204,3957,44060,3251,49243,3733,22800,2496,68740,4434,951931,10748,648764,9951,633434,10146,15330,1664,104918,5180,60426,3841,79319,4527,19495,2061,39009,2992,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2015672,17879,1029182,10608,794880,11106,746816,11096,48064,4316,37762,3267,56611,4432,37235,3279,22221,2445,80473,5239,986490,12652,681666,11305,657894,11738,23772,2507,82372,5015,77129,5521,74555,5347,21979,2387,48789,4073,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6294086,22560,3291779,13601,2611102,17340,2442655,17085,168447,5921,186622,6768,177252,6839,91229,4324,54287,4212,171287,6887,3002307,15055,2101676,15990,2032486,15636,69190,3675,362545,8946,229559,6866,132424,6046,47511,4210,128592,5917,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1615999,9976,845207,6194,654159,6884,612414,6942,41745,2554,39702,2360,38202,2553,36951,2535,14595,1787,61598,3206,770792,7692,511551,7382,495053,7201,16498,2163,95727,4438,60051,3718,53009,3214,11155,1320,39299,2725,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,729001,7362,379821,4660,285154,4964,268836,5103,16318,1573,28226,3009,18383,2009,9288,1343,10407,1674,28363,2309,349180,5201,225152,5263,217442,5313,7710,1425,54906,3945,30585,2422,12331,1579,6616,1260,19590,1980,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1317275,12542,689487,9576,515541,10832,484063,10484,31478,2823,33767,3114,29731,2890,34177,3149,15674,2601,60597,4240,627788,7893,422841,8192,407150,8308,15691,1989,63102,4282,39151,3447,61224,4417,10927,1711,30543,3162,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,458434,6653,232197,4340,174358,5366,160213,5542,14145,2066,12872,1854,6027,1463,18475,2295,7077,1263,13388,1778,226237,4529,155598,5076,149907,4793,5691,1263,24994,2502,6416,1252,28186,2530,3317,774,7726,1435,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2973535,12514,1535294,8881,1185449,9582,1107324,9996,78125,3700,109083,4407,77502,3711,48403,3213,20980,1786,93877,3488,1438241,8894,950285,9920,916160,10288,34125,2243,230607,6295,110895,4475,65589,3006,17646,1750,63219,2814,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
