GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001MA,C21001I_001EA,C21001I_002MA,C21001I_002EA,C21001I_003EA,C21001I_003MA,C21001I_004EA,C21001I_004MA,C21001I_005EA,C21001I_005MA,C21001I_006MA,C21001I_006EA,C21001I_007MA,C21001I_007EA,C21001I_008MA,C21001I_008EA,C21001I_009MA,C21001I_009EA,C21001I_010MA,C21001I_010EA,C21001I_011MA,C21001I_011EA,C21001I_012MA,C21001I_012EA,C21001I_013EA,C21001I_013MA,C21001I_014EA,C21001I_014MA,C21001I_015EA,C21001I_015MA,state
0400000US08,832172,1528,421063,2265,382727,2214,23097,2954,359630,3375,38336,994,12274,1569,26062,1504,411109,1569,364325,1782,4771,1390,359554,2473,46784,1193,536,320,46248,1229,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,296460,1656,154307,1849,144551,1850,5829,1166,138722,1959,9756,1075,2154,654,7602,1049,142153,1731,131911,1798,573,335,131338,1819,10242,799,445,321,9797,850,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,99783,2143,53436,2103,50190,2070,3081,962,47109,2246,3246,821,502,298,2744,772,46347,1622,42187,1601,494,379,41693,1630,4160,1033,90,110,4070,1047,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,162666,2474,86810,2684,77937,2537,3158,958,74779,2612,8873,1374,1924,878,6949,1278,75856,2014,65687,2105,750,425,64937,2153,10169,1225,69,108,10100,1235,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1497532,1891,767208,1975,703317,2008,19500,2421,683817,3097,63891,994,7587,1318,56304,1565,730324,1603,656719,1790,2277,852,654442,1861,73605,1033,138,116,73467,1040,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,116340,1461,58348,1524,55305,1509,2230,782,53075,1691,3043,786,969,498,2074,612,57992,1465,54708,1611,735,511,53973,1612,3284,920,0,163,3284,920,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,36100,850,18876,718,17584,769,857,471,16727,814,1292,421,204,230,1088,404,17224,710,15516,745,240,224,15276,796,1708,444,0,192,1708,444,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,141611,2060,73519,1886,69510,2080,2047,913,67463,1718,4009,924,1085,517,2924,750,68092,1355,64555,1346,271,234,64284,1393,3537,708,0,201,3537,708,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,58918,235,30307,563,28298,649,1247,618,27051,766,2009,407,337,335,1672,384,28611,540,26426,428,420,442,26006,591,2185,411,0,200,2185,411,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,192250,1164,100131,1452,95318,1321,3650,1016,91668,1504,4813,694,1498,455,3315,650,92119,1170,86349,1462,890,420,85459,1481,5770,744,149,220,5621,776,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,26386,1300,12866,1551,11705,1521,1502,828,10203,1456,1161,561,487,331,674,456,13520,1266,12245,1182,387,395,11858,1273,1275,517,111,174,1164,500,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,15919,879,8361,771,7837,797,709,443,7128,878,524,277,171,136,353,248,7558,665,6134,623,136,159,5998,627,1424,489,8,17,1416,491,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,597528,2978,300569,3509,285294,3535,13586,2159,271708,3569,15275,1758,3691,818,11584,1634,296959,2905,277199,3384,4305,1350,272894,3595,19760,1919,499,355,19261,1928,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,645088,2780,335251,3361,316650,3383,15605,2988,301045,4697,18601,1959,4147,1055,14454,1716,309837,3264,288055,3432,3366,915,284689,3441,21782,1882,90,154,21692,1870,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,32974,930,16661,1221,15312,1243,3375,1155,11937,1446,1349,466,329,299,1020,390,16313,904,15049,909,510,315,14539,937,1264,333,184,236,1080,252,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,126784,2782,66076,2889,61932,2745,4029,1048,57903,2591,4144,1323,1224,717,2920,1002,60708,1688,54545,1832,1046,731,53499,1841,6163,1082,0,201,6163,1082,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,9417,584,4293,561,4051,508,114,98,3937,491,242,182,0,157,242,182,5124,693,4351,668,76,128,4275,687,773,376,73,120,700,370,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
