GEO_ID,B12007_001E,B12007_001M,B12007_002E,B12007_002M,NAME,B12007_001MA,B12007_001EA,B12007_002MA,B12007_002EA,state
0400000US08,29.9,0.4,27.9,0.4,Colorado,null,null,null,null,08
0400000US18,28.8,0.4,27.1,0.4,Indiana,null,null,null,null,18
0400000US21,28.1,0.5,26.6,0.5,Kentucky,null,null,null,null,21
0400000US22,30.0,0.4,28.1,0.7,Louisiana,null,null,null,null,22
0400000US17,30.6,0.2,29.1,0.2,Illinois,null,null,null,null,17
0400000US19,28.3,0.5,26.4,0.3,Iowa,null,null,null,null,19
0400000US33,31.2,0.7,29.1,0.6,New Hampshire,null,null,null,null,33
0400000US05,27.4,0.6,26.6,0.6,Arkansas,null,null,null,null,05
0400000US10,30.5,0.6,29.5,1.1,Delaware,null,null,null,null,10
0400000US27,29.9,0.3,27.7,0.4,Minnesota,null,null,null,null,27
0400000US30,29.0,1.2,26.2,0.6,Montana,null,null,null,null,30
0400000US23,29.6,0.4,28.8,0.7,Maine,null,null,null,null,23
0400000US37,29.5,0.3,28.1,0.3,North Carolina,null,null,null,null,37
0400000US13,30.0,0.3,28.0,0.4,Georgia,null,null,null,null,13
0400000US02,29.2,0.7,26.3,0.8,Alaska,null,null,null,null,02
0400000US01,28.8,0.4,26.8,0.5,Alabama,null,null,null,null,01
0400000US50,30.5,0.8,28.6,1.4,Vermont,null,null,null,null,50
0400000US32,30.2,0.4,28.3,0.6,Nevada,null,null,null,null,32
0400000US54,29.2,0.8,26.9,0.9,West Virginia,null,null,null,null,54
0400000US40,27.8,0.5,26.4,0.4,Oklahoma,null,null,null,null,40
0400000US55,29.7,0.3,27.8,0.3,Wisconsin,null,null,null,null,55
0400000US72,32.3,1.0,31.4,1.0,Puerto Rico,null,null,null,null,72
0400000US51,29.9,0.3,27.9,0.4,Virginia,null,null,null,null,51
0400000US38,28.9,1.5,26.7,1.0,North Dakota,null,null,null,null,38
0400000US45,29.9,0.5,28.2,0.6,South Carolina,null,null,null,null,45
0400000US41,29.9,0.5,27.8,0.6,Oregon,null,null,null,null,41
0400000US56,29.3,1.2,26.0,1.0,Wyoming,null,null,null,null,56
0400000US06,30.9,0.2,29.3,0.2,California,null,null,null,null,06
0400000US28,27.6,0.9,27.3,0.7,Mississippi,null,null,null,null,28
0400000US09,30.9,0.4,29.6,0.4,Connecticut,null,null,null,null,09
0400000US48,29.2,0.2,27.3,0.3,Texas,null,null,null,null,48
0400000US24,30.6,0.3,29.3,0.4,Maryland,null,null,null,null,24
0400000US12,31.0,0.3,29.2,0.2,Florida,null,null,null,null,12
0400000US25,31.0,0.3,29.9,0.3,Massachusetts,null,null,null,null,25
0400000US11,31.8,0.7,31.0,0.9,District of Columbia,null,null,null,null,11
0400000US49,26.8,0.6,24.8,0.3,Utah,null,null,null,null,49
0400000US36,31.0,0.2,29.8,0.2,New York,null,null,null,null,36
0400000US34,30.9,0.3,29.3,0.3,New Jersey,null,null,null,null,34
0400000US39,29.9,0.2,28.4,0.3,Ohio,null,null,null,null,39
0400000US29,28.6,0.5,26.9,0.4,Missouri,null,null,null,null,29
0400000US42,30.6,0.2,28.9,0.3,Pennsylvania,null,null,null,null,42
0400000US26,30.1,0.2,28.3,0.3,Michigan,null,null,null,null,26
0400000US31,28.0,0.8,26.4,0.4,Nebraska,null,null,null,null,31
0400000US16,26.9,0.9,26.7,1.3,Idaho,null,null,null,null,16
0400000US35,29.8,0.7,27.2,0.9,New Mexico,null,null,null,null,35
0400000US15,29.9,0.9,28.7,0.8,Hawaii,null,null,null,null,15
0400000US46,28.8,0.6,26.3,0.7,South Dakota,null,null,null,null,46
0400000US53,29.7,0.3,27.9,0.3,Washington,null,null,null,null,53
0400000US44,32.4,1.2,29.5,1.2,Rhode Island,null,null,null,null,44
0400000US04,30.0,0.3,27.6,0.5,Arizona,null,null,null,null,04
0400000US47,29.4,0.4,27.4,0.5,Tennessee,null,null,null,null,47
0400000US20,28.1,0.7,26.1,0.3,Kansas,null,null,null,null,20
