GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001MA,B21003_001EA,B21003_002MA,B21003_002EA,B21003_003MA,B21003_003EA,B21003_004MA,B21003_004EA,B21003_005MA,B21003_005EA,B21003_006MA,B21003_006EA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009MA,B21003_009EA,B21003_010MA,B21003_010EA,B21003_011MA,B21003_011EA,state
0400000US08,3880991,5130,365292,8118,13803,1908,71512,4074,135365,5180,144612,5281,3515699,8690,303313,10777,739287,16728,1000194,19382,1472905,15994,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4464812,5619,374762,8224,25779,2037,140545,5370,129685,5719,78753,4018,4090050,9501,466055,12459,1339296,17585,1154111,15917,1130588,19843,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3033149,4978,257913,7479,18752,1748,85498,4387,91582,4321,62081,4026,2775236,8827,382312,10089,904285,12714,799082,13483,689557,11874,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3116648,6793,243667,7197,16348,1717,83925,4890,89463,4831,53931,4258,2872981,9230,426211,13285,986763,18741,758720,15711,701287,12640,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,8699702,5736,550578,9504,32218,2594,167977,5414,205639,6822,144744,6131,8149124,11694,882564,15500,2100303,22325,2261539,21246,2904718,23394,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2103996,4266,182566,5318,11309,1573,63634,3284,65983,3335,41640,3273,1921430,6883,151340,6302,585590,9178,615965,9466,568535,11252,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,969857,1722,93015,3548,4550,844,27208,2308,30109,2023,31148,2265,876842,3707,61960,4151,241923,6266,247061,6821,325898,7634,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2019308,5362,185688,5714,13208,1680,62083,4250,67079,3556,43318,2790,1833620,7134,245778,8258,624525,11972,536778,11286,426539,10886,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,677074,1486,66356,3641,3297,959,22726,2302,20864,2092,19469,1775,610718,4072,65784,4660,202868,7643,149012,5424,193054,6428,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3807274,3811,291330,5749,14757,1426,90822,3551,106123,4124,79628,3307,3515944,6757,238048,6937,830416,12263,1129955,12476,1317525,12412,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
