B07009_008M,B07009_009E,B07009_009M,B07009_010E,B07009_010M,B07009_011E,B07009_011M,B07009_012E,B07009_012M,B07009_013E,B07009_013M,B07009_014E,B07009_014M,B07009_015E,B07009_015M,B07009_016E,B07009_016M,B07009_017E,B07009_017M,B07009_018E,B07009_018M,B07009_019E,B07009_019M,B07009_020E,B07009_020M,B07009_021E,B07009_021M,B07009_022E,B07009_022M,B07009_023E,B07009_023M,B07009_024E,B07009_024M,B07009_025E,B07009_025M,B07009_026E,B07009_026M,B07009_027E,B07009_027M,B07009_028E,B07009_028M,B07009_029E,B07009_029M,B07009_030E,B07009_030M,B07009_031E,B07009_031M,B07009_032E,B07009_032M,B07009_033E,B07009_033M,B07009_034E,B07009_034M,B07009_035E,B07009_035M,B07009_036E,B07009_036M,GEO_ID,B07009_001E,B07009_001M,B07009_002E,B07009_002M,B07009_003E,B07009_003M,B07009_004E,B07009_004M,B07009_005E,B07009_005M,B07009_006E,B07009_006M,B07009_007E,B07009_007M,B07009_008E,B07009_008MA,B07009_009MA,B07009_009EA,B07009_010MA,B07009_010EA,B07009_011EA,B07009_011MA,B07009_012MA,B07009_012EA,B07009_013EA,B07009_013MA,B07009_014MA,B07009_014EA,B07009_015MA,B07009_015EA,B07009_016MA,B07009_016EA,B07009_017MA,B07009_017EA,B07009_018MA,B07009_018EA,B07009_019MA,B07009_019EA,B07009_020MA,B07009_020EA,B07009_021EA,B07009_021MA,B07009_022EA,B07009_022MA,B07009_023MA,B07009_023EA,B07009_024MA,B07009_024EA,B07009_025MA,B07009_025EA,B07009_026MA,B07009_026EA,B07009_027MA,B07009_027EA,B07009_028MA,B07009_028EA,B07009_029MA,B07009_029EA,B07009_030MA,B07009_030EA,B07009_031EA,B07009_031MA,B07009_032EA,B07009_032MA,B07009_033EA,B07009_033MA,B07009_034MA,B07009_034EA,B07009_035EA,B07009_035MA,B07009_036MA,B07009_036EA,NAME,B07009_001MA,B07009_001EA,B07009_002MA,B07009_002EA,B07009_003MA,B07009_003EA,B07009_004MA,B07009_004EA,B07009_005MA,B07009_005EA,B07009_006MA,B07009_006EA,B07009_007MA,B07009_007EA,B07009_008EA,state
10616,689062,14829,959349,16061,840504,14523,514049,10660,272201,9756,17503,2614,60252,5339,80081,5348,74298,4292,40067,3658,176726,8920,13847,2308,36717,4430,58939,5352,44518,3616,22705,2505,151237,9702,6758,2050,23222,2849,41069,3925,49840,3744,30348,3821,21794,3161,3643,1317,3362,1144,5569,1541,4829,1181,4391,1283,0400000US08,3900287,4963,317116,10676,812615,16824,1145007,20486,1013989,14602,611560,11164,3278329,14571,275365,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
11027,1310523,18464,1127475,16618,672412,12392,386654,11211,318570,11136,42756,4537,104605,5942,95047,5619,55091,4399,21071,2677,130940,6928,19764,2376,41048,3004,36373,3428,22249,3421,11506,2460,82360,5889,6896,1457,20797,2807,22968,2501,17026,2509,14673,2183,18503,2886,1962,952,3067,1385,3090,1176,5033,1311,5351,1394,0400000US18,4467893,5468,491834,12470,1480040,18309,1284953,16754,771811,14407,439255,12510,3917520,16433,420456,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
9381,879373,13352,771411,12378,388643,8612,274463,8803,214376,8086,31340,3355,67458,4793,70489,4417,27411,3065,17678,2053,92904,6580,14192,1680,27811,3390,30402,3270,12508,1816,7991,1660,62190,5352,6330,1577,13753,2182,19940,2642,11847,1848,10320,2155,7940,1758,1088,517,2516,934,1412,612,1681,723,1243,654,0400000US21,3039414,5069,401064,10290,990911,13404,893654,13721,442090,9338,311695,9131,2662004,11564,348114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
11540,967777,17190,760430,15631,442651,10382,233237,7785,197310,10594,35891,3592,64994,6029,53108,5208,30344,3533,12973,1844,86081,6401,16812,2688,27467,3234,23867,3281,12097,2041,5838,1315,46033,3962,3599,1391,10121,2026,13763,2185,9889,1730,8661,1731,7087,1607,1130,582,1413,616,1581,570,1653,652,1310,614,0400000US22,3125733,6646,442559,13418,1071772,18924,852749,16829,496634,11075,262019,8250,2789222,12053,385127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
15642,2049614,23917,2212447,23283,1600169,17398,1072921,16974,605219,14542,67213,5624,149203,7161,168718,7426,137535,7239,82550,4654,191445,9231,23901,2721,44976,4035,56129,4734,43711,3746,22728,2108,117354,7429,4622,1179,19569,2439,25791,2805,37475,3583,29897,3697,42332,4110,4171,1374,5923,1522,6540,1402,14776,2281,10922,1851,0400000US17,8706376,5516,914782,15662,2269285,22474,2469625,22218,1833666,19837,1219018,17723,7750026,18743,814875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
5893,579797,9211,605278,8866,366418,8624,175191,6652,140080,6967,14521,2250,43000,3822,47306,4113,24545,2179,10708,1883,54514,4532,4542,829,16685,1969,18061,2188,10967,1769,4259,1045,35670,3436,2566,721,8560,1620,10439,1419,8954,1375,5151,1246,7590,1823,766,455,1227,428,1250,608,2558,1138,1789,796,0400000US19,2104792,4251,162649,6432,649269,9810,682334,9528,413442,8907,197098,7399,1866938,9811,140254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4147,240748,5922,248146,6524,193961,6237,124544,5157,52111,4612,4401,1080,15368,2165,14694,2121,10789,1650,6859,1569,21118,3244,1706,1106,6365,1683,5996,1651,4832,1008,2219,673,28682,3246,2076,849,5877,1199,8127,1646,6756,1373,5846,1311,3890,1158,779,663,844,561,494,358,944,656,829,506,0400000US33,970748,1700,66510,4177,269202,6894,277457,6815,217282,6339,140297,5438,864947,6518,57548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
7958,606817,13501,526015,11082,264310,7708,155566,7317,133468,8365,19145,2614,42827,3748,46300,4601,16214,2692,8982,1990,59875,5506,8851,1626,22067,3261,18182,2702,6062,1546,4713,1388,43728,4173,3897,1047,13396,2075,13213,2173,7853,1744,5369,1121,5594,1907,527,287,1760,838,1101,651,1983,1139,223,238,0400000US05,2021939,5228,258986,8253,686867,12671,604811,11937,296422,7793,174853,7469,1779274,12219,226566,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4466,207520,7643,152826,5745,111554,5535,78089,4425,35073,3335,3558,1102,10525,1812,10412,1915,6170,1141,4408,1168,6609,1572,836,528,1908,879,2062,890,717,528,1086,567,22785,3029,1461,707,5254,1189,6219,1525,5039,1205,4812,1383,2241,903,223,240,590,492,311,282,698,378,419,251,0400000US10,679700,997,69081,4750,225797,8197,171830,5832,124178,5383,88814,4457,612992,4912,63003,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
7267,822935,11649,1108439,11703,799142,11905,418634,9253,222927,9342,22153,2702,49066,3389,64922,4128,58572,3922,28214,2694,148182,7426,9481,1326,36062,3064,46649,4036,41220,3710,14770,1766,57072,4096,2581,724,10999,1754,14321,1783,17191,2128,11980,1636,15016,2108,1708,659,2225,687,2678,820,4725,1191,3680,998,0400000US27,3809229,3716,252805,7381,921287,12474,1237009,12671,920850,12643,477278,9573,3366032,11687,216882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
