GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001MA,B16009_001EA,B16009_002MA,B16009_002EA,B16009_003EA,B16009_003MA,B16009_004EA,B16009_004MA,B16009_005EA,B16009_005MA,B16009_006MA,B16009_006EA,B16009_007MA,B16009_007EA,B16009_008EA,B16009_008MA,B16009_009EA,B16009_009MA,B16009_010EA,B16009_010MA,B16009_011MA,B16009_011EA,B16009_012MA,B16009_012EA,B16009_013MA,B16009_013EA,B16009_014EA,B16009_014MA,B16009_015EA,B16009_015MA,B16009_016EA,B16009_016MA,B16009_017MA,B16009_017EA,B16009_018MA,B16009_018EA,B16009_019MA,B16009_019EA,B16009_020MA,B16009_020EA,B16009_021EA,B16009_021MA,B16009_022EA,B16009_022MA,B16009_023MA,B16009_023EA,B16009_024MA,B16009_024EA,B16009_025MA,B16009_025EA,B16009_026EA,B16009_026MA,B16009_027EA,B16009_027MA,state
0400000US08,5245210,3357,498184,16752,110179,8832,78540,6496,25366,4475,2558,1154,822,587,2893,1484,388005,11350,304209,9796,57496,6565,12163,2476,6740,1786,7397,1896,4747026,17073,812126,9597,660211,9568,116880,7199,17148,3144,12390,1714,5497,1931,3934900,11625,3324251,19333,410227,13538,93197,6242,77282,4641,29943,4156,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6081471,4396,771133,22098,193865,10136,168290,9088,17438,3474,2945,1918,3871,1912,1321,896,577268,14803,511427,14663,35819,4622,11189,2345,12545,3232,6288,2142,5310338,22625,929827,10603,836248,10553,56746,4776,22601,3358,10594,2054,3638,1416,4380511,15662,4020404,19156,182237,7128,100000,7515,58827,5170,19043,4161,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4060569,4091,665081,19749,160383,9380,145465,9271,7827,1814,2949,1760,1907,1329,2235,1542,504698,13972,473907,13621,15971,2361,5640,1890,5389,2130,3791,1440,3395488,18939,554799,8766,521557,8868,18616,3083,7749,1806,4832,1119,2045,886,2840689,14254,2691745,15251,69610,4052,40357,3580,26881,2889,12096,3236,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4231642,3633,757085,21175,196677,10316,182119,9886,10193,2762,799,476,769,529,2797,2097,560408,16591,511689,16401,24856,3646,13271,2494,5764,1644,4828,2089,3474557,21026,588676,10818,553734,10487,20876,2785,5466,1350,6765,1195,1835,1037,2885881,16539,2665078,19634,91027,4700,79684,5845,39519,3653,10573,3247,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11698211,3921,1376472,28174,324151,13862,224995,11432,79942,8149,8986,2245,3939,1224,6289,2272,1052321,19300,785956,14410,148771,9237,54676,5631,41453,4760,21465,4319,10321739,29061,1744770,14389,1325842,13611,284867,9996,80298,5618,37589,3308,16174,3175,8576969,19616,6587981,25121,1104050,15025,522300,14749,274654,7536,87984,7645,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2860409,2706,315258,12393,68976,5696,54853,4827,8800,1839,1760,1119,1412,898,2151,1566,246282,8837,212005,7388,14124,2360,6203,1962,9100,1721,4850,1874,2545151,13086,454998,6170,411867,5953,24967,2967,9329,2524,6036,1618,2799,1036,2090153,9445,1925392,10568,74061,3820,40389,4429,34790,3477,15521,2732,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1250677,1547,92225,5794,18835,3167,16123,2821,1480,878,669,597,189,217,374,352,73390,4167,64488,3951,3234,1247,2936,877,1754,985,978,591,1158452,5814,171921,3498,161612,3525,4173,1525,3095,963,2061,958,980,689,986531,4162,912294,5446,20404,2345,35658,3754,14673,2223,3502,1115,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2739903,3074,450874,17598,117139,8297,101791,7429,13774,2744,216,236,1358,741,0,201,333735,13422,305745,12966,19524,2762,3692,1645,3955,1609,819,514,2289029,17621,388202,8209,355514,7506,26311,3334,998,665,5379,1742,0,201,1900827,13529,1764752,14157,92265,4878,13920,2879,27190,2934,2700,1036,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,888156,971,107168,8388,27209,3966,19440,3286,6561,2231,731,680,477,555,0,200,79959,6344,69185,6005,6435,1640,2084,1612,2171,941,84,101,780988,8506,119013,4122,101451,4584,11098,1916,4392,1700,1586,674,486,425,661975,6324,580324,6547,40372,3211,20064,3154,16094,2598,5121,1620,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5138596,2645,486244,15185,106669,7364,67544,5932,12261,3000,1728,806,7962,2324,17174,3429,379575,9721,302412,8318,21281,3325,9593,2226,17997,2953,28292,4325,4652352,15268,823525,7213,718158,7205,46940,3687,14379,2332,24527,2936,19521,3809,3828827,10185,3422465,12607,126693,5038,79953,5745,122385,5143,77331,5773,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
