GEO_ID,C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,NAME,C15002C_001EA,C15002C_001MA,C15002C_002EA,C15002C_002MA,C15002C_003EA,C15002C_003MA,C15002C_004MA,C15002C_004EA,C15002C_005EA,C15002C_005MA,C15002C_006EA,C15002C_006MA,C15002C_007EA,C15002C_007MA,C15002C_008MA,C15002C_008EA,C15002C_009MA,C15002C_009EA,C15002C_010MA,C15002C_010EA,C15002C_011EA,C15002C_011MA,state
0400000US08,36763,3191,16385,2205,2853,777,5380,1195,5668,1224,2484,826,20378,2472,3195,917,5029,1416,7478,1531,4676,1154,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,9935,1688,4912,1162,528,337,1500,584,1879,721,1005,563,5023,1118,550,371,1407,758,1655,616,1411,556,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,6030,1540,3374,1070,770,594,731,437,1468,706,405,277,2656,1024,514,415,497,290,1237,645,408,283,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17011,2166,8841,1762,3564,1425,2619,849,1477,561,1181,635,8170,1512,2774,881,2118,865,2545,849,733,418,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,24002,2582,12419,1771,2796,835,3356,1049,4584,1096,1683,730,11583,1675,2390,872,2373,758,3822,983,2998,989,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,7233,1124,2962,788,583,424,878,301,1127,499,374,312,4271,884,536,320,1108,322,1825,641,802,392,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,2386,834,1167,518,125,116,769,421,201,238,72,85,1219,558,219,224,315,206,291,275,394,361,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,13560,1844,6612,1255,843,388,2177,712,2144,871,1448,609,6948,1361,822,473,2497,774,2984,988,645,404,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,3423,1007,1933,576,630,477,650,368,145,129,508,386,1490,617,363,205,452,470,489,315,186,193,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,34638,2356,16930,1549,3048,714,6224,964,6165,1016,1493,526,17708,1481,2775,562,5899,1079,6713,902,2321,611,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,36409,2106,17714,1631,2903,873,6598,1155,5912,1041,2301,731,18695,1236,3117,854,4770,1043,7269,1166,3539,815,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
