GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001EA,C17010A_001MA,C17010A_002EA,C17010A_002MA,C17010A_003EA,C17010A_003MA,C17010A_004EA,C17010A_004MA,C17010A_005EA,C17010A_005MA,C17010A_006MA,C17010A_006EA,C17010A_007MA,C17010A_007EA,C17010A_008MA,C17010A_008EA,C17010A_009EA,C17010A_009MA,C17010A_010EA,C17010A_010MA,C17010A_011EA,C17010A_011MA,C17010A_012EA,C17010A_012MA,C17010A_013EA,C17010A_013MA,C17010A_014EA,C17010A_014MA,C17010A_015EA,C17010A_015MA,C17010A_016EA,C17010A_016MA,C17010A_017EA,C17010A_017MA,state
0400000US08,1193536,11931,64843,4289,26861,2670,14082,2111,37982,3123,6854,1469,5431,1363,31128,2969,26502,2824,1128693,12267,924228,10724,379738,8124,204465,7889,72171,3933,39941,3189,132294,6342,71785,5141,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1454676,11619,109279,5324,43195,3097,23662,2405,66084,4650,12132,2057,9694,1975,53952,4150,47151,3779,1345397,11653,1086943,13000,413852,8507,258454,7747,91637,4644,53160,3436,166817,6288,95101,5682,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1020510,10522,117081,5255,50130,3629,28179,2627,66951,4477,10710,1590,7976,1387,56241,3976,46866,3712,903429,10518,730191,9865,282431,5672,173238,6577,58900,3630,31796,2788,114338,5473,58945,4195,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,741234,8827,64730,4321,26622,2791,12720,2036,38108,3610,7667,1574,4943,1369,30441,3046,26631,2839,676504,9052,551235,10122,214577,6372,125269,6363,43109,3752,23102,2756,82160,4710,42325,3713,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2356391,14647,144983,6004,59534,3910,31970,2850,85449,4739,14955,1998,10673,1706,70494,4696,59810,4320,2211408,14612,1810946,13621,716238,9793,400462,9181,135663,5365,67319,3727,264799,6852,140501,6368,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,746218,7759,46149,3313,16111,1838,7706,1297,30038,2605,4741,1049,3661,924,25297,2261,22086,2301,700069,7705,576580,8276,217897,5488,123489,4755,45876,3350,30126,2781,77613,3728,48088,3011,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,323168,5907,14027,1839,4293,889,2041,705,9734,1764,1614,706,1493,686,8120,1710,7043,1652,309141,5649,255844,5873,83123,4069,53297,3688,19268,2226,9743,1505,34029,2765,18807,2192,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,617232,9777,61312,4743,26866,2942,13866,2105,34446,3107,6578,1470,4575,1054,27868,2948,24400,2876,555920,8542,450972,8056,168708,5499,104948,5367,36519,3533,20200,2516,68429,3887,37347,2746,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,173776,4375,9794,1618,4577,1022,2341,805,5217,1231,1282,552,1009,485,3935,1147,3175,1062,163982,4368,133315,3849,43033,3015,30667,2819,9744,1682,5228,1306,20923,2109,9984,1373,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1214434,8409,49070,2879,21029,1702,9462,1352,28041,2551,4629,953,2971,754,23412,2158,20039,2168,1165364,8132,977646,8443,370753,6078,187718,5367,70239,3623,39392,2568,117479,4574,67133,3439,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,243475,5216,15730,1764,7599,1296,3335,851,8131,1300,1565,516,1403,461,6566,1265,6139,1240,227745,5333,192681,4683,68676,3118,35064,3014,13257,2064,8368,1858,21807,2139,12438,1823,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,328703,5622,22833,2266,8709,1366,3827,1036,14124,1957,2588,587,2119,640,11536,1854,10396,1801,305870,5495,250141,5510,80318,3325,55729,3789,19604,2295,10202,1465,36125,2950,19023,2478,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
