GEO_ID,B27001I_001E,B27001I_001M,B27001I_002E,B27001I_002M,B27001I_003E,B27001I_003M,B27001I_004E,B27001I_004M,B27001I_005E,B27001I_005M,B27001I_006E,B27001I_006M,B27001I_007E,B27001I_007M,B27001I_008E,B27001I_008M,B27001I_009E,B27001I_009M,B27001I_010E,B27001I_010M,B27001I_011E,B27001I_011M,B27001I_012E,B27001I_012M,B27001I_013E,B27001I_013M,B27001I_014E,B27001I_014M,B27001I_015E,B27001I_015M,B27001I_016E,B27001I_016M,B27001I_017E,B27001I_017M,B27001I_018E,B27001I_018M,B27001I_019E,B27001I_019M,B27001I_020E,B27001I_020M,B27001I_021E,B27001I_021M,B27001I_022E,B27001I_022M,B27001I_023E,B27001I_023M,B27001I_024E,B27001I_024M,B27001I_025E,B27001I_025M,B27001I_026E,B27001I_026M,B27001I_027E,B27001I_027M,B27001I_028E,B27001I_028M,NAME,B27001I_001EA,B27001I_001MA,B27001I_002EA,B27001I_002MA,B27001I_003EA,B27001I_003MA,B27001I_004MA,B27001I_004EA,B27001I_005MA,B27001I_005EA,B27001I_006EA,B27001I_006MA,B27001I_007EA,B27001I_007MA,B27001I_008EA,B27001I_008MA,B27001I_009MA,B27001I_009EA,B27001I_010MA,B27001I_010EA,B27001I_011EA,B27001I_011MA,B27001I_012EA,B27001I_012MA,B27001I_013EA,B27001I_013MA,B27001I_014MA,B27001I_014EA,B27001I_015MA,B27001I_015EA,B27001I_016MA,B27001I_016EA,B27001I_017EA,B27001I_017MA,B27001I_018EA,B27001I_018MA,B27001I_019MA,B27001I_019EA,B27001I_020MA,B27001I_020EA,B27001I_021EA,B27001I_021MA,B27001I_022EA,B27001I_022MA,B27001I_023EA,B27001I_023MA,B27001I_024EA,B27001I_024MA,B27001I_025EA,B27001I_025MA,B27001I_026MA,B27001I_026EA,B27001I_027MA,B27001I_027EA,B27001I_028MA,B27001I_028EA,state
0400000US08,1212400,2205,124812,3384,118321,3822,6491,1814,296133,4642,274776,5734,21357,3185,136176,3047,110445,3885,25731,3467,173097,4363,132464,5608,40633,4573,173787,3555,129296,4887,44491,4500,132817,2400,106383,3877,26434,3711,92546,1667,80624,2374,11922,2100,52033,1452,49264,1943,2769,1034,30999,1488,30041,1643,958,657,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,468062,1845,55533,2529,50718,3181,4815,1741,127855,2863,113958,4141,13897,2900,55492,2979,41611,2737,13881,2117,57644,2547,40608,2810,17036,2570,72721,2658,46441,3430,26280,3333,49582,2691,35886,2814,13696,1967,29391,1723,25871,1926,3520,972,11975,1129,11551,1095,424,303,7869,1151,7839,1143,30,45,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,157795,2543,20064,1359,18780,1383,1284,681,42988,2435,38909,2629,4079,1363,17976,2424,11489,2012,6487,1797,23650,2012,11882,1719,11768,1734,22518,1640,14749,1747,7769,1584,13703,1295,10149,1362,3554,1056,9757,1305,8582,1319,1175,669,4178,872,3746,803,432,336,2961,933,2590,876,371,366,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,232610,2491,28409,2458,24481,2268,3928,1686,50552,2696,43751,2931,6801,1407,23672,2552,15559,2164,8113,1559,34409,2779,16788,2254,17621,2304,33894,2852,19010,2573,14884,2184,26106,2669,17230,2177,8876,1885,16866,1433,13316,1396,3550,1027,12023,1834,11719,1826,304,362,6679,1222,6356,1177,323,332,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2191824,2418,220639,3355,212912,3979,7727,2058,531539,4433,504133,5545,27406,3680,243977,4727,193006,5366,50971,3824,298460,3719,226706,5652,71754,5715,327830,3043,235433,6846,92397,6389,262510,2657,207270,4739,55240,4186,171866,1321,145356,3023,26510,2789,87045,1375,82324,2275,4721,1739,47958,1385,46755,1462,1203,596,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,189631,1049,24408,1557,23847,1508,561,460,53756,2010,51148,2134,2608,857,24283,1961,20114,1955,4169,1054,23899,2343,18367,2277,5532,1204,26048,2253,19137,2180,6911,1294,19624,2016,15686,1727,3938,1141,11324,1374,10434,1444,890,402,4319,982,4270,975,49,87,1970,696,1970,696,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,51340,751,5220,763,4819,758,401,308,12501,1007,11846,1036,655,489,6475,871,4583,844,1892,714,7282,878,6108,1051,1174,570,8727,1305,7147,1368,1580,917,4651,1082,3988,959,663,426,3505,590,2822,734,683,392,1935,581,1935,581,0,192,1044,446,889,438,155,150,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,227716,1989,26332,1769,24227,1866,2105,775,65783,2672,56327,3419,9456,2941,28874,3035,19064,2702,9810,2373,32873,2732,20537,2508,12336,2132,30322,2175,18838,2033,11484,2209,23388,2180,16542,2044,6846,2187,12598,1336,10345,1203,2253,844,4825,1351,4360,1314,465,330,2721,824,2384,829,337,276,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,91131,342,10457,502,9837,713,620,414,23282,680,21380,1152,1902,985,10784,806,8517,967,2267,818,12679,1012,8873,1230,3806,987,12952,855,9310,913,3642,1016,10506,1022,7680,1141,2826,975,6314,551,5592,671,722,555,2388,618,2026,521,362,415,1769,606,1769,606,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,305046,928,36174,1816,34452,1872,1722,690,85199,2009,77010,2521,8189,2072,36254,2288,29248,2428,7006,1601,43208,2417,32088,2689,11120,1699,44952,2120,30446,2981,14506,2065,30202,1611,23561,1706,6641,1446,18674,1247,15811,1603,2863,1075,6804,1057,6697,1052,107,115,3579,794,3445,778,134,162,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
