GEO_ID,B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,NAME,B12504_001EA,B12504_001MA,B12504_002MA,B12504_002EA,B12504_003MA,B12504_003EA,B12504_004MA,B12504_004EA,B12504_005MA,B12504_005EA,B12504_006MA,B12504_006EA,B12504_007EA,B12504_007MA,B12504_008MA,B12504_008EA,B12504_009MA,B12504_009EA,state
0400000US08,17.7,0.3,17.7,0.3,18.2,0.3,10.0,1.4,13.8,1.3,17.7,0.3,18.1,0.3,9.8,1.5,16.1,2.4,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,19.8,0.3,19.8,0.3,20.3,0.4,13.4,2.1,11.0,1.2,19.8,0.3,20.3,0.4,11.2,1.1,13.4,0.9,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,19.8,0.3,19.9,0.4,20.6,0.4,14.4,1.5,13.1,1.3,19.7,0.3,20.5,0.4,12.1,2.4,12.7,1.0,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19.7,0.3,19.6,0.3,20.2,0.5,12.9,2.1,16.6,1.2,19.8,0.4,20.8,0.5,13.1,2.7,13.7,0.8,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,20.5,0.2,20.4,0.2,20.9,0.3,12.6,1.5,18.3,1.1,20.7,0.3,21.1,0.3,13.1,1.0,17.6,0.8,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,21.8,0.4,21.9,0.4,22.4,0.4,11.9,3.6,10.6,2.2,21.7,0.4,22.1,0.4,16.3,2.6,12.9,1.2,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,22.2,0.5,22.5,0.6,22.7,0.6,13.0,2.9,18.9,5.8,21.9,0.6,22.2,0.5,20.3,10.9,14.3,3.1,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,19.4,0.4,19.6,0.4,20.5,0.5,11.4,1.6,11.9,2.3,19.3,0.4,20.1,0.5,11.6,3.0,13.4,1.0,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,22.0,0.8,22.0,0.9,22.7,0.8,13.3,1.8,19.3,2.8,22.1,0.9,22.7,0.8,15.2,6.4,14.2,5.2,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,21.2,0.3,21.2,0.3,21.4,0.3,17.1,3.1,18.2,3.1,21.1,0.3,21.4,0.3,18.2,2.3,15.9,1.3,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,21.4,0.6,21.7,0.7,22.2,0.7,9.7,6.0,15.5,5.0,21.1,0.7,21.9,0.7,11.3,4.4,10.4,1.5,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
