GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001EA,B11004_001MA,B11004_002MA,B11004_002EA,B11004_003MA,B11004_003EA,B11004_004EA,B11004_004MA,B11004_005EA,B11004_005MA,B11004_006EA,B11004_006MA,B11004_007EA,B11004_007MA,B11004_008EA,B11004_008MA,B11004_009EA,B11004_009MA,B11004_010EA,B11004_010MA,B11004_011MA,B11004_011EA,B11004_012EA,B11004_012MA,B11004_013MA,B11004_013EA,B11004_014EA,B11004_014MA,B11004_015EA,B11004_015MA,B11004_016EA,B11004_016MA,B11004_017EA,B11004_017MA,B11004_018EA,B11004_018MA,B11004_019EA,B11004_019MA,B11004_020EA,B11004_020MA,state
0400000US08,1372705,11369,1068185,11174,461116,8242,110903,5134,97120,5798,253093,6944,607069,9392,304520,8126,98735,4680,56556,3800,13859,2455,8540,1665,34157,2928,42179,3499,205785,6985,128363,6212,22589,3238,25184,3161,80590,4978,77422,3851,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,1248277,14823,499349,10324,104841,5976,118488,5071,276020,8407,748928,11859,434899,11528,130027,6353,77391,5089,21832,2559,11027,1749,44532,4021,52636,4358,304872,9360,204568,8446,43827,3796,41890,4097,118851,6001,100304,5111,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,837979,10834,341520,6794,81841,3682,72313,4451,187366,5728,496459,8698,300948,8954,83684,4516,47925,3057,13557,1772,8285,1749,26083,2343,35759,3367,217264,7261,138502,5137,29849,3277,28300,2973,80353,4301,78762,4435,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,748604,11164,299347,8593,69678,4908,64466,4991,165203,6972,449257,8289,356243,8662,88289,4749,47803,4163,11186,1961,10450,2328,26167,3217,40486,3996,267954,7315,176210,6287,36244,3269,37346,3097,102620,5547,91744,4790,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,2293091,16141,962232,11257,228256,7400,196337,6983,537639,8905,1330859,12364,826010,13329,227200,7333,117281,5547,30330,3138,20032,2694,66919,4181,109919,5399,598810,11366,366697,11158,69504,5157,76726,5363,220467,7383,232113,6996,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,622142,8884,244789,6013,58414,3565,56160,4033,130215,4807,377353,6958,178187,5897,57143,3517,37908,3193,11691,1587,6591,1341,19626,2276,19235,2214,121044,4745,84977,4451,17228,2620,16380,2019,51369,3357,36067,2683,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,274309,6204,93960,4283,20134,2069,17394,1992,56432,3121,180349,4301,67443,4451,22189,2370,12017,1689,3230,755,1345,635,7442,1453,10172,1678,45254,3506,28398,2857,5102,1481,4901,1336,18395,2638,16856,1755,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,553461,9588,218131,6412,45245,3084,50637,3663,122249,4785,335330,7694,215673,8207,57646,4373,33160,3249,9634,1805,5118,1428,18408,2613,24486,3056,158027,6514,104149,5770,22453,2921,24046,2897,57650,4113,53878,3214,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,173834,5109,61860,3988,12240,1475,12792,2106,36828,2795,111974,3601,64565,3933,18223,2363,10033,1825,2152,823,1981,817,5900,1324,8190,1347,46342,2931,28272,2314,4811,1348,4928,1198,18533,2182,18070,2278,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,1103111,10378,451530,7154,108248,4376,100751,4366,242531,5874,651581,8035,293716,6749,96300,4470,56092,3182,14548,1918,9160,1418,32384,2613,40208,2721,197416,5561,131992,4522,29505,2741,23143,1955,79344,3714,65424,3048,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
