GEO_ID,C23002D_001E,C23002D_001M,C23002D_002E,C23002D_002M,C23002D_003E,C23002D_003M,C23002D_004E,C23002D_004M,C23002D_005E,C23002D_005M,C23002D_006E,C23002D_006M,C23002D_007E,C23002D_007M,C23002D_008E,C23002D_008M,C23002D_009E,C23002D_009M,C23002D_010E,C23002D_010M,C23002D_011E,C23002D_011M,C23002D_012E,C23002D_012M,C23002D_013E,C23002D_013M,C23002D_014E,C23002D_014M,C23002D_015E,C23002D_015M,C23002D_016E,C23002D_016M,C23002D_017E,C23002D_017M,C23002D_018E,C23002D_018M,C23002D_019E,C23002D_019M,C23002D_020E,C23002D_020M,C23002D_021E,C23002D_021M,C23002D_022E,C23002D_022M,C23002D_023E,C23002D_023M,C23002D_024E,C23002D_024M,C23002D_025E,C23002D_025M,C23002D_026E,C23002D_026M,C23002D_027E,C23002D_027M,NAME,C23002D_001EA,C23002D_001MA,C23002D_002MA,C23002D_002EA,C23002D_003MA,C23002D_003EA,C23002D_004EA,C23002D_004MA,C23002D_005EA,C23002D_005MA,C23002D_006MA,C23002D_006EA,C23002D_007MA,C23002D_007EA,C23002D_008MA,C23002D_008EA,C23002D_009MA,C23002D_009EA,C23002D_010MA,C23002D_010EA,C23002D_011EA,C23002D_011MA,C23002D_012EA,C23002D_012MA,C23002D_013EA,C23002D_013MA,C23002D_014MA,C23002D_014EA,C23002D_015MA,C23002D_015EA,C23002D_016EA,C23002D_016MA,C23002D_017EA,C23002D_017MA,C23002D_018EA,C23002D_018MA,C23002D_019MA,C23002D_019EA,C23002D_020MA,C23002D_020EA,C23002D_021EA,C23002D_021MA,C23002D_022EA,C23002D_022MA,C23002D_023EA,C23002D_023MA,C23002D_024MA,C23002D_024EA,C23002D_025MA,C23002D_025EA,C23002D_026EA,C23002D_026MA,C23002D_027EA,C23002D_027MA,state
0400000US08,147816,3641,65022,2201,57468,2231,49541,2182,691,491,48850,2183,48023,2158,827,454,7927,1481,7554,450,1621,615,1621,615,0,204,5933,675,82794,2383,71378,2317,49569,2636,210,181,49359,2635,47612,2624,1747,717,21809,1930,11416,719,1909,604,1909,604,0,204,9507,849,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,124256,3977,60741,2641,56559,2607,41073,2786,0,198,41073,2786,39273,2725,1800,711,15486,2207,4182,811,1762,573,1580,553,182,204,2420,698,63515,2695,56111,2483,35614,2663,0,198,35614,2663,34654,2699,960,603,20497,2283,7404,1173,1292,521,1292,521,0,198,6112,1239,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,51171,2593,23286,1456,21374,1356,17486,1552,43,46,17443,1552,16633,1523,810,644,3888,1192,1912,617,665,390,665,390,0,197,1247,546,27885,1944,24856,2069,17393,1650,88,92,17305,1657,16384,1616,921,639,7463,1536,3029,741,588,449,588,449,0,197,2441,636,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,63564,2508,30791,1789,27474,1807,20862,1596,333,313,20529,1518,18977,1518,1552,741,6612,1645,3317,643,555,325,555,325,0,217,2762,730,32773,1583,28256,1737,19360,1527,113,258,19247,1545,18991,1535,256,224,8896,1344,4517,833,718,363,591,309,127,212,3799,840,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,594083,4882,282002,3092,242292,3081,201249,3921,460,390,200789,3983,193955,3983,6834,1313,41043,3547,39710,1007,10629,1454,10359,1436,270,192,29081,1498,312081,3242,261365,3233,179003,4641,321,475,178682,4686,171186,4633,7496,1381,82362,4097,50716,1313,7794,1133,7654,1134,140,225,42922,1823,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,65262,2548,30574,1904,29435,1948,23235,2032,0,163,23235,2032,22719,2011,516,438,6200,1220,1139,515,190,239,190,239,0,163,949,458,34688,1620,30851,1715,19806,1870,0,163,19806,1870,19375,1910,431,273,11045,1818,3837,888,654,440,654,440,0,163,3183,813,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,28873,1533,12739,980,11961,1098,9274,1121,0,192,9274,1121,8966,1123,308,365,2687,846,778,444,165,252,165,252,0,192,613,438,16134,1141,14713,1166,10546,1320,0,192,10546,1320,9999,1321,547,353,4167,961,1421,362,26,45,26,45,0,192,1395,362,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,38655,2376,18045,2004,16910,1961,14941,1743,0,201,14941,1743,14591,1813,350,440,1969,834,1135,524,268,233,268,233,0,201,867,488,20610,1774,18509,1758,11677,1418,0,201,11677,1418,11256,1345,421,342,6832,1515,2101,798,548,335,548,335,0,201,1553,700,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,31436,1121,14600,889,12777,846,11017,877,0,200,11017,877,10715,882,302,306,1760,644,1823,200,601,338,383,284,218,252,1222,344,16836,532,14240,570,8873,1423,0,200,8873,1423,8516,1303,357,342,5367,1268,2596,317,426,266,426,266,0,200,2170,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,208274,3252,100850,2442,93662,2423,74837,2645,0,147,74837,2645,72358,2826,2479,775,18825,2018,7188,570,1576,571,1576,571,0,147,5612,742,107424,2058,97451,2105,72915,2701,0,147,72915,2701,69739,2830,3176,804,24536,2244,9973,936,832,427,832,427,0,147,9141,824,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
