GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001MA,C14007G_001EA,C14007G_002MA,C14007G_002EA,C14007G_003EA,C14007G_003MA,C14007G_004EA,C14007G_004MA,C14007G_005EA,C14007G_005MA,C14007G_006MA,C14007G_006EA,C14007G_007MA,C14007G_007EA,state
0400000US08,209161,10330,97052,6626,12331,2249,45570,3802,21264,2712,17887,2369,112109,6692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,163551,9179,85091,6027,11316,2157,40973,4032,18033,2633,14769,2094,78460,5503,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,97100,7119,51745,4662,7690,1651,25307,3324,9883,2037,8865,1708,45355,4928,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,94776,7045,48867,5098,6446,1578,26549,3487,8089,1677,7783,1817,45909,4463,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,311284,11978,153302,7267,26069,3036,70870,5231,31318,2681,25045,2902,157982,7802,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,61923,5030,35962,3469,6099,1270,15534,2387,6415,1268,7914,1427,25961,3180,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,28213,3167,13663,2135,1249,608,6430,1245,2980,1033,3004,963,14550,2200,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,81107,5937,38053,4239,5693,1171,18982,2840,8702,1671,4676,1331,43054,3385,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,24262,3478,12761,2557,1014,690,6651,1726,1803,664,3293,1233,11501,1865,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,158094,8324,82748,5067,13550,1611,38564,3483,17512,2124,13122,1841,75346,4989,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,30493,3124,12236,2201,1541,521,5607,1462,2327,656,2761,911,18257,2291,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,27560,2440,9784,1491,1177,490,5533,1151,1055,421,2019,644,17776,1862,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,268592,12296,125648,7974,18085,2368,57982,4724,25798,3239,23783,3536,142944,8030,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,262822,13228,126744,8401,19327,2875,59970,5194,27322,3463,20125,3124,136078,8876,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,57883,4554,26359,2588,4073,990,12464,1691,5509,1119,4313,1226,31524,3257,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,91295,7218,40209,4282,4561,1266,19594,2978,9272,2291,6782,1440,51086,4402,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,12356,1702,5313,1261,521,326,2510,959,1031,727,1251,532,7043,1088,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,142141,9004,60781,6061,9329,1904,30296,3559,11993,2059,9163,1640,81360,5377,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,31304,2737,16797,2312,1434,653,8048,1592,3658,1127,3657,945,14507,2232,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,281820,8693,120930,5496,16104,1489,56638,3155,26540,2346,21648,2703,160890,5381,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,134657,8023,67071,4884,8119,1247,33050,3211,16787,2215,9115,1735,67586,5070,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,149923,9641,37691,4313,4022,1280,16482,2263,8381,1897,8806,1885,112232,6637,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,318870,13887,155876,8337,24813,3115,70157,5421,29608,3577,31298,2902,162994,9342,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,15736,2224,6041,1450,945,504,2857,854,1012,393,1227,561,9695,1518,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,109685,8770,56164,6028,8556,2142,29331,4202,8368,1626,9909,1750,53521,5042,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,183340,8147,76676,5706,10951,1785,30773,3429,16729,2387,18223,2290,106664,5784,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,12705,2154,4340,1211,379,236,2089,830,1225,620,647,376,8365,1627,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US06,1848228,32495,842952,18898,123862,5562,360841,13259,168141,7378,190108,7632,1005276,20485,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
