GEO_ID,C17022_001E,C17022_001M,C17022_002E,C17022_002M,C17022_003E,C17022_003M,C17022_004E,C17022_004M,C17022_005E,C17022_005M,C17022_006E,C17022_006M,C17022_007E,C17022_007M,C17022_008E,C17022_008M,C17022_009E,C17022_009M,C17022_010E,C17022_010M,C17022_011E,C17022_011M,C17022_012E,C17022_012M,C17022_013E,C17022_013M,C17022_014E,C17022_014M,C17022_015E,C17022_015M,C17022_016E,C17022_016M,C17022_017E,C17022_017M,C17022_018E,C17022_018M,C17022_019E,C17022_019M,C17022_020E,C17022_020M,C17022_021E,C17022_021M,NAME,C17022_001MA,C17022_001EA,C17022_002MA,C17022_002EA,C17022_003MA,C17022_003EA,C17022_004EA,C17022_004MA,C17022_005EA,C17022_005MA,C17022_006EA,C17022_006MA,C17022_007MA,C17022_007EA,C17022_008MA,C17022_008EA,C17022_009MA,C17022_009EA,C17022_010MA,C17022_010EA,C17022_011EA,C17022_011MA,C17022_012MA,C17022_012EA,C17022_013MA,C17022_013EA,C17022_014EA,C17022_014MA,C17022_015EA,C17022_015MA,C17022_016EA,C17022_016MA,C17022_017MA,C17022_017EA,C17022_018MA,C17022_018EA,C17022_019MA,C17022_019EA,C17022_020MA,C17022_020EA,C17022_021MA,C17022_021EA,state
0400000US08,1372705,11369,127576,6147,57363,4140,70213,4586,13177,1773,57036,4308,31482,3653,19133,2905,12349,2129,2784,933,9565,1753,63708,4375,38609,2895,25099,3176,7907,1954,17192,2384,1149939,12033,953080,11284,196859,6191,74867,3582,121992,4700,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,226311,7075,85828,4525,140483,6649,27492,2978,112991,6059,49986,3591,24609,2429,25377,2797,6713,1453,18664,2313,95895,4934,53451,3822,42444,3633,12529,2167,29915,3179,1310984,12614,1084389,13972,226595,7831,83293,5305,143302,5633,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,198966,6163,85871,4432,113095,5356,19902,2177,93193,4714,41246,3222,25145,2599,16101,2042,4552,1154,11549,1534,74290,4325,45445,3293,28845,2509,6632,1403,22213,2307,824425,11201,681518,10790,142907,5689,52598,4082,90309,4428,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,217974,7531,68605,4852,149369,6405,26032,2914,123337,5651,42768,3851,19853,2984,22915,2954,4534,1315,18381,2581,70900,5121,39222,3694,31678,3561,7205,1634,24473,2841,773205,12076,620924,11175,152281,7258,50518,4082,101763,5597,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,391648,9437,143925,6220,247723,8729,42780,3323,204943,8648,84183,4272,44446,3008,39737,3846,8904,1626,30833,3337,151242,6100,85748,4833,65494,4796,16569,2317,48925,4222,2492028,18522,2018972,16282,473056,11346,158947,6209,314109,8331,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,87582,4307,33028,2538,54554,3650,9472,1606,45082,2993,19788,1752,9228,1163,10560,1575,2248,736,8312,1434,39161,3025,21841,2266,17320,2201,6444,1473,10876,1589,653798,7914,558045,8267,95753,4310,38979,2644,56774,3536,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,23749,2249,9063,1321,14686,2127,2203,826,12483,1945,5795,1130,2703,726,3092,880,887,460,2205,818,12972,1793,7930,1492,5042,1174,1786,830,3256,859,299236,6012,254613,6027,44623,3096,17313,2033,27310,2258,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,138844,7134,53252,4249,85592,5653,16948,2365,68644,4846,33723,2924,20381,2253,13342,2052,3757,1056,9585,1812,54017,4501,31748,2872,22269,2995,6900,1720,15369,2108,542550,9647,448080,9023,94470,5451,30041,3406,64429,3994,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,28103,2827,10235,1779,17868,2010,3307,974,14561,1871,4880,1183,2540,746,2340,873,802,474,1538,748,12514,2221,6682,1533,5832,1567,1676,823,4156,1156,192902,5038,154377,4690,38525,3151,12438,1861,26087,2710,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,119057,5485,50427,3251,68630,4308,12248,1560,56382,3504,32902,2190,16880,1811,16022,1847,3646,1220,12376,1575,55613,3472,32834,2860,22779,2132,6759,1228,16020,1709,1189255,9272,1002970,9585,186285,4945,73647,3963,112638,3867,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
