GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002EA,B15002I_002MA,B15002I_003EA,B15002I_003MA,B15002I_004EA,B15002I_004MA,B15002I_005EA,B15002I_005MA,B15002I_006EA,B15002I_006MA,B15002I_007MA,B15002I_007EA,B15002I_008EA,B15002I_008MA,B15002I_009EA,B15002I_009MA,B15002I_010EA,B15002I_010MA,B15002I_011EA,B15002I_011MA,B15002I_012EA,B15002I_012MA,B15002I_013EA,B15002I_013MA,B15002I_014EA,B15002I_014MA,B15002I_015EA,B15002I_015MA,B15002I_016EA,B15002I_016MA,B15002I_017EA,B15002I_017MA,B15002I_018MA,B15002I_018EA,B15002I_019EA,B15002I_019MA,state
0400000US08,694356,2961,351929,3062,46077,4340,49443,4224,87251,5681,25593,3082,68420,5224,21292,2625,35574,3667,18279,2462,342427,1820,42724,4308,46875,3742,75001,4624,20428,2319,68715,4491,25763,3081,43568,3328,19353,2263,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,240030,2572,125006,2078,22828,2664,20013,2393,34704,3288,6322,1401,20098,2422,5540,1448,9201,1681,6300,1224,115024,1998,18277,2227,13829,2087,31190,2519,5523,1413,21101,2478,5385,1246,13689,2033,6030,1328,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,81491,2479,43029,2178,8172,1838,6188,1216,9408,1667,2570,871,6584,1166,1793,710,4543,1387,3771,1197,38462,1564,6372,1516,5120,1021,8512,1507,2113,667,5892,1068,2415,643,5094,1134,2944,1003,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,138684,3148,74963,3054,11721,2148,8640,1769,19282,2671,3995,1105,15850,2504,3278,975,7489,1475,4708,1352,63721,2013,10330,1720,6899,1530,14615,2158,2600,1048,10831,1800,4613,1107,9618,1655,4215,941,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1242292,2159,638927,1779,121623,5306,82184,5471,183022,6401,32542,2682,104363,5235,31768,3263,56988,4030,26437,2774,603365,1934,115257,5032,59037,3841,153626,6871,24548,2035,105914,4603,42910,3454,68258,4954,33815,2861,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,91011,2264,45828,2136,10055,1576,7006,1229,10223,1665,2379,1000,7128,1524,2631,759,3713,1020,2693,791,45183,1918,10163,1513,5316,886,10214,1481,1787,607,7604,1478,3222,830,5068,1120,1809,763,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,28896,753,14439,678,1124,530,2161,932,2766,860,1490,708,2566,897,1034,416,1528,581,1770,636,14457,631,2281,925,909,505,3633,1031,895,596,2922,878,863,594,1789,623,1165,569,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,111297,3187,57671,2252,15817,1868,8230,1856,14288,1793,2812,929,7518,1694,2265,819,3860,1146,2881,1048,53626,1937,12592,1748,7760,1488,12660,1828,1806,648,8110,1475,4107,1121,4786,1188,1805,784,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,48602,472,25090,575,6096,1340,3963,931,5766,1146,1041,514,2843,1017,1542,809,2289,798,1550,459,23512,679,6417,1157,1854,631,5867,985,1208,571,2792,833,1167,637,2742,834,1465,531,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,154720,2161,79851,1705,13858,1677,13436,2038,18905,2241,3565,1014,11463,1608,4832,1207,8474,1588,5318,1127,74869,1568,11718,1309,9131,1806,15991,1609,2625,831,14736,2046,6177,1096,8913,1274,5578,944,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,21798,1562,10043,1558,119,158,1327,656,3002,1167,349,315,2288,675,970,464,1177,576,811,463,11755,1405,648,425,318,227,2409,756,124,160,3875,1165,945,518,2786,1100,650,335,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,12489,1079,6157,1029,166,126,178,166,1646,719,575,413,1389,611,745,445,906,432,552,398,6332,622,270,209,502,386,968,440,175,180,1061,480,312,280,2235,759,809,423,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,495232,4794,254609,4138,70920,4935,34736,3523,54453,4051,9385,1719,36126,3549,12412,2101,25453,3230,11124,1648,240623,3218,51334,4401,28767,2832,50604,3665,8495,1936,40049,2909,20010,2540,27904,3157,13460,2014,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,527401,4636,275766,3902,69471,5019,36904,3867,66592,4976,10887,1889,37801,4203,11441,2411,29164,2910,13506,2384,251635,3892,58971,4591,30216,3511,53738,4878,5799,1396,37038,3841,13945,2203,35170,3679,16758,1971,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,28378,878,14471,850,907,577,558,280,3524,964,1291,642,3421,907,1511,558,2196,713,1063,525,13907,854,708,427,968,634,3130,859,224,152,3768,1039,1181,636,3081,818,847,445,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,105067,2991,53726,2710,11497,2107,7068,1584,13005,2595,1438,622,7981,2033,2605,985,7469,1683,2663,831,51341,1934,9705,2034,5249,1354,10401,1756,1897,746,8247,1559,4815,1179,7243,1627,3784,894,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
