B27018_046E,B27018_046M,B27018_047E,B27018_047M,B27018_048E,B27018_048M,B27018_049E,B27018_049M,B27018_050E,B27018_050M,B27018_051E,B27018_051M,B27018_052E,B27018_052M,B27018_053E,B27018_053M,B27018_054E,B27018_054M,B27018_055E,B27018_055M,B27018_056E,B27018_056M,B27018_057E,B27018_057M,B27018_058E,B27018_058M,B27018_059E,B27018_059M,B27018_060E,B27018_060M,B27018_061E,B27018_061M,B27018_062E,B27018_062M,B27018_063E,B27018_063M,B27018_064E,B27018_064M,B27018_065E,B27018_065M,B27018_066E,B27018_066M,B27018_067E,B27018_067M,B27018_068E,B27018_068M,B27018_069E,B27018_069M,B27018_070E,B27018_070M,B27018_071E,B27018_071M,B27018_072E,B27018_072M,B27018_073E,B27018_073M,B27018_074E,B27018_074M,B27018_075E,B27018_075M,B27018_076E,B27018_076M,B27018_077E,B27018_077M,B27018_078E,B27018_078M,B27018_079E,B27018_079M,B27018_080E,B27018_080M,B27018_081E,B27018_081M,B27018_082E,B27018_082M,B27018_083E,B27018_083M,B27018_084E,B27018_084M,B27018_085E,B27018_085M,B27018_086E,B27018_086M,B27018_087E,B27018_087M,B27018_088E,B27018_088M,B27018_089E,B27018_089M,B27018_090E,B27018_090M,B27018_091E,B27018_091M,GEO_ID,B27018_001E,B27018_001M,B27018_002E,B27018_002M,B27018_003E,B27018_003M,B27018_004E,B27018_004M,B27018_005E,B27018_005M,B27018_006E,B27018_006M,B27018_007E,B27018_007M,B27018_008E,B27018_008M,B27018_009E,B27018_009M,B27018_010E,B27018_010M,B27018_011E,B27018_011M,B27018_012E,B27018_012M,B27018_013E,B27018_013M,B27018_014E,B27018_014M,B27018_015E,B27018_015M,B27018_016E,B27018_016M,B27018_017E,B27018_017M,B27018_018E,B27018_018M,B27018_019E,B27018_019M,B27018_020E,B27018_020M,B27018_021E,B27018_021M,B27018_022E,B27018_022M,B27018_023E,B27018_023M,B27018_024E,B27018_024M,B27018_025E,B27018_025M,B27018_026E,B27018_026M,B27018_027E,B27018_027M,B27018_028E,B27018_028M,B27018_029E,B27018_029M,B27018_030E,B27018_030M,B27018_031E,B27018_031M,B27018_032E,B27018_032M,B27018_033E,B27018_033M,B27018_034E,B27018_034M,B27018_035E,B27018_035M,B27018_036E,B27018_036M,B27018_037E,B27018_037M,B27018_038E,B27018_038M,B27018_039E,B27018_039M,B27018_040E,B27018_040M,B27018_041E,B27018_041M,B27018_042E,B27018_042M,B27018_043E,B27018_043M,B27018_044E,B27018_044M,B27018_045E,B27018_045M,B27018_046MA,B27018_046EA,B27018_047MA,B27018_047EA,B27018_048MA,B27018_048EA,B27018_049MA,B27018_049EA,B27018_050MA,B27018_050EA,B27018_051MA,B27018_051EA,B27018_052MA,B27018_052EA,B27018_053MA,B27018_053EA,B27018_054MA,B27018_054EA,B27018_055MA,B27018_055EA,B27018_056EA,B27018_056MA,B27018_057EA,B27018_057MA,B27018_058MA,B27018_058EA,B27018_059MA,B27018_059EA,B27018_060MA,B27018_060EA,B27018_061MA,B27018_061EA,B27018_062MA,B27018_062EA,B27018_063MA,B27018_063EA,B27018_064MA,B27018_064EA,B27018_065MA,B27018_065EA,B27018_066MA,B27018_066EA,B27018_067EA,B27018_067MA,B27018_068MA,B27018_068EA,B27018_069MA,B27018_069EA,B27018_070MA,B27018_070EA,B27018_071MA,B27018_071EA,B27018_072MA,B27018_072EA,B27018_073MA,B27018_073EA,B27018_074MA,B27018_074EA,B27018_075MA,B27018_075EA,B27018_076MA,B27018_076EA,B27018_077MA,B27018_077EA,B27018_078EA,B27018_078MA,B27018_079EA,B27018_079MA,B27018_080EA,B27018_080MA,B27018_081MA,B27018_081EA,B27018_082MA,B27018_082EA,B27018_083MA,B27018_083EA,B27018_084MA,B27018_084EA,B27018_085MA,B27018_085EA,B27018_086MA,B27018_086EA,B27018_087MA,B27018_087EA,B27018_088MA,B27018_088EA,B27018_089EA,B27018_089MA,B27018_090EA,B27018_090MA,B27018_091MA,B27018_091EA,NAME,B27018_001EA,B27018_001MA,B27018_002EA,B27018_002MA,B27018_003MA,B27018_003EA,B27018_004MA,B27018_004EA,B27018_005MA,B27018_005EA,B27018_006MA,B27018_006EA,B27018_007MA,B27018_007EA,B27018_008MA,B27018_008EA,B27018_009MA,B27018_009EA,B27018_010MA,B27018_010EA,B27018_011MA,B27018_011EA,B27018_012EA,B27018_012MA,B27018_013MA,B27018_013EA,B27018_014MA,B27018_014EA,B27018_015MA,B27018_015EA,B27018_016MA,B27018_016EA,B27018_017MA,B27018_017EA,B27018_018MA,B27018_018EA,B27018_019MA,B27018_019EA,B27018_020MA,B27018_020EA,B27018_021EA,B27018_021MA,B27018_022MA,B27018_022EA,B27018_023MA,B27018_023EA,B27018_024MA,B27018_024EA,B27018_025MA,B27018_025EA,B27018_026MA,B27018_026EA,B27018_027MA,B27018_027EA,B27018_028MA,B27018_028EA,B27018_029MA,B27018_029EA,B27018_030MA,B27018_030EA,B27018_031MA,B27018_031EA,B27018_032MA,B27018_032EA,B27018_033MA,B27018_033EA,B27018_034EA,B27018_034MA,B27018_035EA,B27018_035MA,B27018_036MA,B27018_036EA,B27018_037MA,B27018_037EA,B27018_038MA,B27018_038EA,B27018_039MA,B27018_039EA,B27018_040MA,B27018_040EA,B27018_041MA,B27018_041EA,B27018_042MA,B27018_042EA,B27018_043EA,B27018_043MA,B27018_044MA,B27018_044EA,B27018_045EA,B27018_045MA,state
266677,13251,75768,5037,190909,11624,64335,4356,62432,4256,1903,1004,426613,16882,113893,7914,46993,5550,66900,6015,249417,10416,51406,4357,198011,8740,63303,4421,60381,4196,2922,1136,424705,19766,112109,8816,36359,4699,75750,6906,247464,11441,44921,4398,202543,10349,65132,4393,63250,4439,1882,743,780613,25065,181585,11012,37228,5177,144357,10224,491106,15775,63163,4473,427943,14601,107922,5130,105281,5018,2641,693,2548039,27271,499695,10901,39600,4979,460095,10659,1676616,19461,116186,6919,1560430,18305,371728,8050,352043,8386,19685,1921,0400000US08,5555265,3104,255879,12214,69491,6942,53142,6123,16349,3006,165478,7916,80084,5386,85394,6091,20910,2485,18911,2433,1999,831,281613,15737,88304,9400,73867,9277,14437,2772,155341,7412,86094,5846,69247,5315,37968,2913,37404,2788,564,527,281013,19124,89982,9378,70149,8259,19833,4028,143765,9596,72084,6351,71681,5810,47266,3666,46274,3730,992,553,88348,8980,27168,4407,18538,3841,8630,2352,46114,5035,17698,3054,28416,3589,15066,2167,14795,2130,271,244,468442,21009,137430,10068,78759,6635,58671,6072,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
319290,12917,71536,6094,247754,10672,108130,5071,106877,5025,1253,542,592729,21667,160348,9707,44236,5751,116112,9180,329303,12499,47633,4942,281670,11167,103078,5382,101639,5337,1439,617,575257,21925,150482,10219,25382,3488,125100,9346,324806,14060,40123,3311,284683,12752,99969,5670,98544,5722,1425,479,1017971,25089,238655,12321,27606,4648,211049,11650,606412,15103,56332,3754,550080,14965,172904,7912,169002,8089,3902,1073,2281259,35603,414253,14046,28133,4340,386120,13571,1508908,22799,81731,5478,1427177,22975,358098,9811,341928,9249,16170,2176,0400000US18,6485781,4621,396763,18031,128607,9313,104715,8873,23892,3028,237486,10946,109873,6787,127613,7405,30670,2985,28228,2836,2442,760,455875,17639,159818,9827,127793,9269,32025,5566,246551,10017,136443,8012,110108,6751,49506,3380,48729,3417,777,444,422758,19416,141325,11512,96860,8289,44465,6876,211209,8917,90820,5097,120389,6845,70224,4416,69108,4316,1116,572,145817,13091,46539,6747,26230,4725,20309,4299,75969,7296,25767,3809,50202,5432,23309,2597,23021,2534,288,327,597352,21955,169932,10469,72132,7212,97800,7608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
236833,9882,92785,5813,144048,7551,78944,5110,77658,5132,1286,701,395124,17358,95188,7587,36376,4316,58812,5902,221359,10925,56436,5738,164923,8490,78577,4562,76596,4483,1981,786,343777,15488,78963,6615,20328,3338,58635,5274,202605,9807,39980,4220,162625,8274,62209,3861,60979,3874,1230,539,632064,21768,137857,7652,23923,3563,113934,7291,384665,13870,56333,4390,328332,12604,109542,5916,107791,5952,1751,650,1367354,27187,255328,10227,19352,2473,235976,9820,889451,18211,68135,4718,821316,17316,222575,7610,213829,7345,8746,1378,0400000US21,4320783,3937,325902,16763,112334,9088,100186,8721,12148,2541,193200,9796,130237,8148,62963,5333,20368,2260,18507,1991,1861,767,404455,16209,122416,9052,105472,8708,16944,3461,229919,9068,166677,8371,63242,4592,52120,3963,51361,3935,759,544,318520,16148,86384,7488,67339,7359,19045,2599,163621,7953,95790,6562,67831,5300,68515,4671,67883,4707,632,338,107533,8458,31382,3765,21899,3474,9483,1695,59485,5099,29799,3294,29686,3423,16666,2452,16536,2476,130,159,426054,17973,110277,7528,65730,6467,44547,5215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
269078,12555,97369,8121,171709,9098,76322,5666,74377,5604,1945,795,384707,16494,92970,7727,46271,5613,46699,5978,218564,10482,55279,5468,163285,8533,73173,4973,71648,4897,1525,656,323142,18787,82979,7192,30785,4839,52194,5688,184731,11307,37587,4903,147144,10034,55432,5053,54046,5034,1386,631,561780,18511,128009,7566,33616,5263,94393,6071,340331,12672,49589,4656,290742,10702,93440,6617,89409,6547,4031,1174,1438806,28815,263802,10639,28265,4115,235537,9638,952271,20537,80505,6452,871766,20408,222733,8394,208675,8187,14058,1977,0400000US22,4518116,3547,365932,15658,132578,8984,122840,9097,9738,2600,209240,9389,124037,5980,85203,6669,24114,2811,21824,2615,2290,942,477529,22068,165919,12978,144547,12163,21372,4466,249005,11943,156871,8145,92134,7254,62605,3631,61394,3687,1211,587,379717,19819,118624,11105,92288,9563,26336,5060,191413,10624,101944,8990,89469,7534,69680,3788,67739,3710,1941,924,118794,10396,34157,5243,25264,4838,8893,2272,63251,6176,28646,3538,34605,4723,21386,2588,21176,2613,210,225,467709,21560,122309,9873,82521,8161,39788,5125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
554022,16638,154331,8865,399691,14050,189500,8142,185722,8029,3778,1133,1007290,32875,263466,14729,106983,9479,156483,10655,562765,18382,110137,6889,452628,16227,181059,7841,175974,7529,5085,1264,920869,28227,228758,11452,68023,7461,160735,8957,530360,16935,82516,5222,447844,15493,161751,6753,155406,6663,6345,1371,1682987,34682,384541,15220,64320,5888,320221,13678,1040164,21889,101579,5944,938585,20598,258282,8038,249694,7904,8588,1620,5330566,40281,1014776,14957,55228,4960,959548,14630,3513095,29717,165308,8369,3347787,28415,802695,13041,752041,12608,50654,3678,0400000US17,12439217,4084,695247,22723,207643,13208,172377,13142,35266,5727,426535,12559,209106,8790,217429,8561,61069,4012,54608,3663,6461,1413,813507,24092,272534,15740,235798,14348,36736,5228,431680,12178,257552,9408,174128,7862,109293,5536,105994,5348,3299,1387,724402,24813,239931,11955,183022,10659,56909,7129,360189,14673,168219,9666,191970,9966,124282,5935,120210,5658,4072,1576,237409,16330,75165,8119,54376,6948,20789,4332,124639,8387,50027,4856,74612,6095,37605,3719,36780,3697,825,464,1026940,30373,283418,13813,151340,10401,132078,9689,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
139013,7799,36996,3796,102017,5949,51586,3097,51289,3121,297,266,268933,12634,75979,5646,32411,4031,43568,4199,143577,7940,26237,2895,117340,6917,49377,3428,48616,3382,761,373,262837,13520,73026,6837,18123,2610,54903,6128,141863,7602,19626,2647,122237,7290,47948,3472,47015,3484,933,529,501657,14937,125762,6858,21590,3226,104172,5964,284285,9392,26886,3055,257399,8918,91610,3802,90245,3733,1365,530,1170768,21846,227178,8557,14684,2168,212494,8325,753219,13962,36405,3467,716814,13516,190371,6042,181870,6116,8501,1398,0400000US19,3054586,1660,154683,8495,41647,4609,35691,4669,5956,1177,100240,5134,50919,3733,49321,3699,12796,1703,11597,1616,1199,529,188821,9582,61590,5314,50679,5091,10911,2871,103424,5683,58989,4809,44435,3961,23807,1730,23644,1718,163,144,186573,8436,58176,4684,46215,4379,11961,2516,89333,4756,48418,3883,40915,3409,39064,3371,38973,3370,91,80,57070,6054,19253,3363,13534,2938,5719,1412,28671,3304,11973,1848,16698,2467,9146,1327,9108,1331,38,45,263244,13557,72645,6432,40088,5222,32557,3556,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
48397,4969,15209,2518,33188,3918,19206,2725,18974,2737,232,237,92737,8266,20184,3520,8645,2347,11539,2543,50880,4537,10852,2315,40028,3998,21673,2333,20977,2327,696,386,92668,8486,20834,3336,5400,1720,15434,3019,53928,5464,7717,1787,46211,5018,17906,1962,17524,1990,382,245,190848,11184,39961,4463,7340,2639,32621,3465,113858,7639,13260,2096,100598,6604,37029,3404,36235,3380,794,549,676083,14723,122027,5576,8121,1679,113906,5100,444865,10329,22519,2470,422346,10344,109191,3716,102557,3788,6634,1431,0400000US33,1310916,1744,49395,5798,14845,3259,12181,2943,2664,1133,28960,3212,15091,2479,13869,2070,5590,1247,5241,1193,349,278,50825,4721,13574,2724,10895,2371,2679,1296,29752,2760,18833,2315,10919,1432,7499,1471,7404,1442,95,127,52482,5183,11705,3027,10594,2861,1111,766,26352,2991,14931,1976,11421,2015,14425,1810,14011,1697,414,404,19383,3100,5203,1653,2842,1499,2361,1006,9764,1513,3572,981,6192,1294,4416,1209,4416,1209,0,192,86495,7529,18892,3302,12132,2798,6760,2013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
177352,9640,54673,5665,122679,7300,59531,4210,58968,4226,563,348,297334,15536,73846,5714,34440,3532,39406,4722,167079,9533,34410,3928,132669,8564,56409,4310,55814,4268,595,403,234083,11929,53055,4999,18352,2893,34703,3885,139293,8343,26359,3389,112934,7683,41735,3300,41089,3256,646,409,400816,13951,87020,5379,17663,2557,69357,4851,243291,9542,32292,3339,210999,9162,70505,3866,68812,3768,1693,749,829504,20007,149687,7043,14242,2369,135445,6561,526791,14162,39793,3647,486998,13521,153026,5955,148744,5707,4282,1349,0400000US05,2922262,2564,196541,11349,71599,6571,62093,6055,9506,2816,111199,7411,59295,5140,51904,5191,13743,2414,13219,2386,524,351,307902,16310,108631,8694,100041,8663,8590,1773,162732,9723,101031,6428,61701,6985,36539,2973,35606,2899,933,601,251203,11286,75743,5290,63581,5095,12162,2439,131203,6655,67570,5206,63633,5391,44257,3143,43712,3111,545,416,80382,7952,21810,3647,16159,3033,5651,1711,43425,4932,18852,2738,24573,4064,15147,2241,15109,2243,38,64,324497,17196,87614,7679,55964,6009,31650,4382,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
40768,5282,15467,2953,25301,3682,15205,2046,14759,1988,446,399,76581,8214,18019,3915,5640,1714,12379,3242,41676,5044,8418,1925,33258,4445,16886,2156,16454,2086,432,316,72153,6652,18725,3135,5012,1569,13713,2919,39185,4238,8939,2258,30246,3931,14243,2038,13965,1955,278,239,126422,10289,24738,4361,4717,2042,20021,3319,76953,6708,8855,1967,68098,6161,24731,2125,24382,2114,349,241,406676,11314,66599,4706,5810,1773,60789,4639,255028,7759,21148,2912,233880,7494,85049,3666,82484,3791,2565,741,0400000US10,937739,1670,50635,5990,15865,3861,11629,3070,4236,1973,31139,3393,17618,2719,13521,2383,3631,844,3194,786,437,421,66517,6944,22946,3455,18873,3240,4073,1647,36330,4383,25426,3791,10904,1924,7241,1240,6918,1158,323,250,49251,6558,17583,3870,14276,3867,3307,1684,23990,3499,15589,3061,8401,1760,7678,1500,7500,1417,178,258,13360,2970,3139,1476,1407,911,1732,1110,7998,2043,2814,1153,5184,1685,2223,806,2223,806,0,200,76144,8757,20171,4050,11655,3237,8516,2591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
203668,9340,72078,4980,131590,6506,77327,4343,76359,4253,968,495,406863,15283,108049,7694,48650,4799,59399,5477,222996,8653,56319,5083,166677,6826,75818,3748,74181,3783,1637,585,386748,14260,103835,7570,28912,3587,74923,6824,210949,7703,36722,3810,174227,7477,71964,3717,70540,3645,1424,543,800907,18229,192411,7837,28292,3339,164119,6995,472927,12658,56839,4480,416088,11507,135569,4453,132957,4378,2612,586,2597822,24410,549669,10685,28397,3288,521272,10308,1684232,16170,85185,4836,1599047,15472,363921,6476,346814,6868,17107,1843,0400000US27,5486021,2678,231327,11764,63606,6810,50424,6222,13182,2080,145679,7104,75083,4360,70596,5163,22042,1998,20640,1930,1402,600,297701,13587,93759,8402,79187,8050,14572,2796,160930,6848,94925,5499,66005,4598,43012,3267,42577,3266,435,241,275136,13698,84688,7595,64488,7077,20200,2828,137527,7079,74214,4524,63313,5056,52921,3298,52581,3316,340,231,95732,7449,32657,3539,23952,3045,8705,1890,47297,4042,26387,2774,20910,2697,15778,2036,15484,1936,294,339,393785,15710,112790,6901,67265,5401,45525,4681,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
