GEO_ID,B25045_001E,B25045_001M,B25045_002E,B25045_002M,B25045_003E,B25045_003M,B25045_004E,B25045_004M,B25045_005E,B25045_005M,B25045_006E,B25045_006M,B25045_007E,B25045_007M,B25045_008E,B25045_008M,B25045_009E,B25045_009M,B25045_010E,B25045_010M,B25045_011E,B25045_011M,B25045_012E,B25045_012M,B25045_013E,B25045_013M,B25045_014E,B25045_014M,B25045_015E,B25045_015M,B25045_016E,B25045_016M,B25045_017E,B25045_017M,B25045_018E,B25045_018M,B25045_019E,B25045_019M,NAME,B25045_001MA,B25045_001EA,B25045_002EA,B25045_002MA,B25045_003MA,B25045_003EA,B25045_004MA,B25045_004EA,B25045_005MA,B25045_005EA,B25045_006MA,B25045_006EA,B25045_007MA,B25045_007EA,B25045_008MA,B25045_008EA,B25045_009MA,B25045_009EA,B25045_010MA,B25045_010EA,B25045_011MA,B25045_011EA,B25045_012MA,B25045_012EA,B25045_013MA,B25045_013EA,B25045_014MA,B25045_014EA,B25045_015MA,B25045_015EA,B25045_016MA,B25045_016EA,B25045_017MA,B25045_017EA,B25045_018MA,B25045_018EA,B25045_019MA,B25045_019EA,state
0400000US08,2176757,7548,1417981,9500,21486,1872,1418,540,9232,1363,10836,1559,1396495,9357,164788,5458,841594,8711,390113,5810,758776,10471,87640,5160,19869,2884,36414,3267,31357,3215,671136,11035,291110,7160,312530,8325,67496,3463,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,2599169,10447,1791749,12877,48310,3136,5217,1180,21198,2067,21895,2381,1743439,12870,218387,6540,1012475,10747,512577,5499,807420,11150,111991,5601,25761,3206,50530,3351,35700,2827,695429,11598,281374,7960,324418,9058,89637,4179,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1732713,8718,1167729,12565,35191,2737,2581,776,13203,1813,19407,1887,1132538,12435,126736,4568,650246,8585,355556,5322,564984,10983,83669,4699,17129,2607,43595,3480,22945,2614,481315,9979,186678,6423,234525,7779,60112,3665,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1737220,10627,1137524,12385,37423,3351,1347,486,16172,2279,19904,2098,1100101,12084,128529,5653,626815,10095,344757,5421,599696,11233,106146,5625,20675,2755,57147,4313,28324,2372,493550,10434,190347,6767,249209,8104,53994,3452,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,4864864,12677,3210113,17405,120228,5018,12133,1593,42575,2789,65520,3698,3089885,17371,320952,8841,1857062,11073,911871,8118,1654751,16516,403001,10247,120407,6355,167929,6596,114665,5578,1251750,14807,475922,11312,625844,10835,149984,5487,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1267873,7772,903751,8439,18675,1787,1729,643,7372,1227,9574,1221,885076,8766,120788,4458,501370,7111,262918,3683,364122,7753,53300,3599,12134,1716,21323,2516,19843,1889,310822,7487,131751,4718,133247,5167,45824,3045,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,531212,5670,378742,6605,6782,1394,223,191,2769,742,3790,1059,371960,6603,31957,2758,227545,4321,112458,3249,152470,5181,21936,2402,4961,1256,9094,1792,7881,1373,130534,5136,44166,3079,64709,3881,21659,2215,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1156347,7393,760401,8395,16565,2027,444,310,8425,1661,7696,1274,743836,8626,82250,4193,411302,6727,250284,3770,395946,7521,59036,3693,15709,1949,26875,3093,16452,2297,336910,7494,137643,5970,158861,5138,40406,2739,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,367671,3933,261145,4466,5588,940,295,299,2566,753,2727,693,255557,4650,22802,2224,144149,3920,88606,2462,106526,4571,17844,2430,3290,1029,9379,1749,5175,1245,88682,4697,31887,2865,45545,3557,11250,1707,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,2194452,6925,1567939,9341,30609,2028,3475,854,13191,1507,13943,1298,1537330,9174,194923,4952,924052,7462,418355,4577,626513,8243,117993,5198,26750,2771,43522,3727,47721,3244,508520,8024,215404,5737,220702,6752,72414,3164,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,431421,4444,291018,4709,5422,1180,726,449,2153,807,2543,782,285596,4626,30400,2693,158031,4071,97165,2421,140403,5561,16410,2185,2811,1114,6931,1538,6668,1251,123993,5057,50468,3150,56595,4101,16930,1795,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,570307,5261,406226,6154,9734,1534,974,398,3881,909,4879,1130,396492,6383,38267,2470,226139,4740,132086,2621,164081,5651,32698,3281,4225,1059,16283,2490,12190,1612,131383,4989,44687,2743,59928,3720,26768,2388,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,4011462,16617,2612904,19709,62227,4179,3407,1000,24634,2583,34186,2913,2550677,20049,247971,8869,1486837,13855,815869,9523,1398558,16379,166450,7617,34001,3771,80654,4794,51795,3980,1232108,16787,472000,11702,616962,11500,143146,5258,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3803012,14400,2426435,18052,52704,3846,3496,1448,21732,2566,27476,2718,2373731,18398,233960,8453,1453370,16127,686401,8381,1376577,15458,184592,7161,43502,4455,91639,5292,49451,4023,1191985,14335,446301,10260,622093,12773,123591,5818,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,254551,3266,167108,3496,9561,706,849,250,5136,547,3576,464,157547,3526,19397,2118,97064,3074,41086,2081,87443,3493,12652,1291,3778,894,6442,891,2432,589,74791,3619,33714,2718,34998,2798,6079,1122,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1855184,11821,1262257,12735,35960,3107,1256,512,13973,1861,20731,2550,1226297,12470,127033,6008,686568,9817,412696,6162,592927,12136,81324,4561,15685,2324,40129,3216,25510,2407,511603,11696,193997,7145,252570,8967,65036,4023,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,261373,3502,188798,4006,3928,637,308,278,1449,385,2171,547,184870,3881,18039,1643,105477,3148,61354,1812,72575,3626,12581,1671,1617,661,5830,1337,5134,998,59994,3453,24688,2354,25933,2619,9373,1269,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
