GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001EA,B12002D_001MA,B12002D_002EA,B12002D_002MA,B12002D_003EA,B12002D_003MA,B12002D_004MA,B12002D_004EA,B12002D_005MA,B12002D_005EA,B12002D_006MA,B12002D_006EA,B12002D_007EA,B12002D_007MA,B12002D_008MA,B12002D_008EA,B12002D_009MA,B12002D_009EA,B12002D_010MA,B12002D_010EA,B12002D_011EA,B12002D_011MA,B12002D_012EA,B12002D_012MA,B12002D_013EA,B12002D_013MA,state
0400000US08,149913,3697,65694,2236,23479,2215,37901,2071,383,255,601,391,3330,861,84219,2418,22190,2119,49449,2166,623,352,4215,843,7742,1099,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126713,3987,61908,2732,26747,2758,31907,2652,296,278,555,367,2403,971,64805,2782,19747,2023,37627,3069,464,432,3562,1010,3405,1024,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,52749,2831,23747,1452,8079,1179,14318,1467,292,338,149,178,909,457,29002,2177,7475,1567,18915,1823,535,465,1134,532,943,463,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,64214,2562,30966,1819,13381,1579,15561,1761,117,131,400,313,1507,516,33248,1651,11086,1383,18644,1555,173,208,1524,620,1821,762,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,602414,4877,285876,3115,99427,3336,171884,3661,1507,586,3680,1110,9378,1488,316538,3088,91019,4034,183375,4338,3417,1061,21296,2057,17431,2173,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,66380,2576,31067,1947,14385,1694,15636,1458,91,153,161,169,794,412,35313,1680,11007,1657,19945,1774,364,286,2298,838,1699,705,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,29375,1599,13036,1038,4889,1056,7246,1012,94,152,318,332,489,350,16339,1152,3939,1136,9955,1001,230,266,1128,318,1087,677,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,39313,2420,18365,2026,7262,1645,10135,1369,33,45,138,192,797,524,20948,1795,6180,1510,12397,1493,150,167,1124,621,1097,515,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,31955,1177,14628,884,4433,1051,9767,1029,39,67,104,166,285,190,17327,557,4784,663,11421,874,0,200,624,345,498,274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,212016,3195,102592,2391,48633,2660,46209,2752,1567,562,1135,516,5048,1267,109424,2040,39954,2393,55717,2381,1181,508,4774,970,7798,1253,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
