GEO_ID,C16009_001E,C16009_001M,C16009_002E,C16009_002M,C16009_003E,C16009_003M,C16009_004E,C16009_004M,C16009_005E,C16009_005M,C16009_006E,C16009_006M,C16009_007E,C16009_007M,C16009_008E,C16009_008M,C16009_009E,C16009_009M,C16009_010E,C16009_010M,C16009_011E,C16009_011M,C16009_012E,C16009_012M,C16009_013E,C16009_013M,NAME,C16009_001MA,C16009_001EA,C16009_002EA,C16009_002MA,C16009_003EA,C16009_003MA,C16009_004EA,C16009_004MA,C16009_005MA,C16009_005EA,C16009_006EA,C16009_006MA,C16009_007EA,C16009_007MA,C16009_008EA,C16009_008MA,C16009_009MA,C16009_009EA,C16009_010MA,C16009_010EA,C16009_011MA,C16009_011EA,C16009_012EA,C16009_012MA,C16009_013EA,C16009_013MA,state
0400000US08,5245210,3357,498184,16752,382749,13204,82862,10005,14721,3113,7562,2086,10290,3079,4747026,17073,3984462,23227,527107,17197,110345,8245,89672,5294,35440,5180,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6081471,4396,771133,22098,679717,20530,53257,7117,14134,3675,16416,4747,7609,2789,5310338,22625,4856652,26124,238983,9874,122601,9311,69421,6267,22681,4682,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4060569,4091,665081,19749,619372,19074,23798,3604,8589,3185,7296,3048,6026,2594,3395488,18939,3213302,20196,88226,5930,48106,4680,31713,3464,14141,3788,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4231642,3633,757085,21175,693808,20939,35049,5674,14070,2679,6533,1870,7625,3944,3474557,21026,3218812,23476,111903,6105,85150,6447,46284,4233,12408,3618,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11698211,3921,1376472,28174,1010951,21747,228713,15615,63662,6925,45392,5270,27754,5476,10321739,29061,7913823,33545,1388917,21587,602598,17506,312243,8938,104158,9151,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2860409,2706,315258,12393,266858,10059,22924,3650,7963,2821,10512,2394,7001,3014,2545151,13086,2337259,14616,99028,5749,49718,6061,40826,4325,18320,3389,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1250677,1547,92225,5794,80611,5329,4714,1907,3605,1241,1943,1093,1352,781,1158452,5814,1073906,7034,24577,3153,38753,4233,16734,2498,4482,1466,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2739903,3074,450874,17598,407536,16489,33298,4537,3908,1647,5313,1998,819,514,2289029,17621,2120266,17667,118576,7108,14918,3075,32569,4023,2700,1036,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,888156,971,107168,8388,88625,7857,12996,3420,2815,2201,2648,1139,84,101,780988,8506,681775,9102,51470,4270,24456,4228,17680,3044,5607,1724,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5138596,2645,486244,15185,369956,11886,33542,5721,11321,2622,25959,4647,45466,6850,4652352,15268,4140623,17333,173633,7314,94332,7139,146912,6959,96852,8083,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
