GEO_ID,B10052_001E,B10052_001M,B10052_002E,B10052_002M,B10052_003E,B10052_003M,B10052_004E,B10052_004M,B10052_005E,B10052_005M,B10052_006E,B10052_006M,B10052_007E,B10052_007M,B10052_008E,B10052_008M,B10052_009E,B10052_009M,B10052_010E,B10052_010M,B10052_011E,B10052_011M,NAME,B10052_001EA,B10052_001MA,B10052_002EA,B10052_002MA,B10052_003EA,B10052_003MA,B10052_004MA,B10052_004EA,B10052_005EA,B10052_005MA,B10052_006MA,B10052_006EA,B10052_007MA,B10052_007EA,B10052_008MA,B10052_008EA,B10052_009MA,B10052_009EA,B10052_010MA,B10052_010EA,B10052_011MA,B10052_011EA,state
0400000US08,98651,6801,23395,2352,6187,1134,2722,730,3465,952,17208,2166,75256,6117,25865,3590,15784,2887,10081,1692,49391,4788,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126941,5932,34165,3235,16203,2152,9095,1438,7108,1489,17962,2505,92776,5161,44166,3768,27264,3374,16902,2359,48610,4326,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106559,5979,36436,3255,20373,2240,10129,1599,10244,1600,16063,2256,70123,5415,37486,3860,21803,2633,15683,2709,32637,3583,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,30246,3143,16172,2558,6889,1681,9283,1807,14074,2071,76157,6843,34499,3828,20012,2743,14487,2458,41658,4849,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,245041,11088,56786,4510,17552,2444,8961,1565,8591,1569,39234,3614,188255,9653,59560,5195,35343,4191,24217,3007,128695,7257,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,11104,1792,3757,906,1841,610,1916,702,7347,1499,27677,2968,9913,1667,6386,1345,3527,949,17764,2526,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,5263,1341,1380,646,573,406,807,435,3883,1236,16045,2153,5443,1435,3469,1170,1974,692,10602,1732,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,19834,2583,9794,1897,4839,1203,4955,1382,10040,1690,48255,4447,24450,3171,14539,2350,9911,1880,23805,2928,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,5426,1264,2087,789,987,547,1100,499,3339,982,14808,2460,6831,1716,3365,1189,3466,1246,7977,1686,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,18135,1836,6076,1130,2437,837,3639,871,12059,1565,49888,3981,18110,2391,10695,1711,7415,1346,31778,3082,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,17323,2005,4280,931,2084,648,521,310,1563,594,2196,725,13043,1792,7503,1446,3621,1034,3882,911,5540,1157,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
