GEO_ID,B10051H_001E,B10051H_001M,B10051H_002E,B10051H_002M,B10051H_003E,B10051H_003M,B10051H_004E,B10051H_004M,B10051H_005E,B10051H_005M,B10051H_006E,B10051H_006M,B10051H_007E,B10051H_007M,NAME,B10051H_001MA,B10051H_001EA,B10051H_002MA,B10051H_002EA,B10051H_003MA,B10051H_003EA,B10051H_004MA,B10051H_004EA,B10051H_005EA,B10051H_005MA,B10051H_006EA,B10051H_006MA,B10051H_007MA,B10051H_007EA,state
0400000US08,54428,4816,16386,2506,9465,1935,6921,1376,38042,3954,14463,2483,23579,2902,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,94211,5379,47091,3762,27915,2946,19176,2336,47120,4346,21436,3238,25684,3015,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,92562,5265,52511,3993,29163,2966,23348,2836,40051,3610,19104,2776,20947,2242,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,53667,5089,27233,3449,14167,2469,13066,2527,26434,3534,11720,2089,14714,2411,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,103608,5711,37753,3595,19523,2499,18230,2440,65855,4509,24912,2747,40943,3543,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,29621,2978,10965,1554,6284,1266,4681,1097,18656,2276,9067,1744,9589,1587,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,18867,2434,6266,1564,3552,1187,2714,813,12601,2040,4591,1232,8010,1607,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,47055,4353,25325,3088,13643,2148,11682,1970,21730,3271,11386,2547,10344,2163,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,10525,1784,4581,1112,1914,724,2667,941,5944,1426,2026,902,3918,1166,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,43588,3560,17432,2172,8503,1482,8929,1574,26156,2639,10162,1952,15994,1740,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,12085,1833,6422,1550,2389,885,4033,1206,5663,1215,2155,815,3508,1058,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,18294,2348,5583,1416,2694,840,2889,926,12711,1947,5759,1487,6952,1358,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,119484,6632,51839,4317,28331,3372,23508,2649,67645,5152,28782,3022,38863,3856,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,114985,6360,45954,4336,24776,3024,21178,2844,69031,5309,28001,3257,41030,3981,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,7580,1895,3168,1074,1517,634,1651,687,4412,1253,2417,1100,1995,607,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,73006,6520,34797,4202,20358,3228,14439,2094,38209,4162,15512,2741,22697,2815,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
