GEO_ID,B11001G_001E,B11001G_001M,B11001G_002E,B11001G_002M,B11001G_003E,B11001G_003M,B11001G_004E,B11001G_004M,B11001G_005E,B11001G_005M,B11001G_006E,B11001G_006M,B11001G_007E,B11001G_007M,B11001G_008E,B11001G_008M,B11001G_009E,B11001G_009M,NAME,B11001G_001EA,B11001G_001MA,B11001G_002EA,B11001G_002MA,B11001G_003EA,B11001G_003MA,B11001G_004MA,B11001G_004EA,B11001G_005MA,B11001G_005EA,B11001G_006EA,B11001G_006MA,B11001G_007EA,B11001G_007MA,B11001G_008EA,B11001G_008MA,B11001G_009EA,B11001G_009MA,state
0400000US08,56303,3635,34329,2798,22682,2194,11647,1912,3868,1100,7779,1470,21974,2725,15265,2182,6709,1716,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,40570,3739,22954,2816,13661,2129,9293,1927,2277,853,7016,1665,17616,2373,12895,1926,4721,1471,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,23010,2834,13102,2011,7159,1244,5943,1788,1162,851,4781,1570,9908,2178,7539,2085,2369,927,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23518,2654,13993,2060,8584,1461,5409,1291,1206,742,4203,1088,9525,1830,7596,1613,1929,797,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,78888,4372,46765,3280,29679,2811,17086,2098,5090,1358,11996,1695,32123,2705,23179,2287,8944,1468,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,12718,1903,7327,1420,3910,1045,3417,882,662,352,2755,855,5391,1166,4196,1018,1195,501,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,7465,1501,3767,996,2893,787,874,661,396,415,478,516,3698,1228,2703,895,995,687,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,22292,2471,13576,2017,8015,1501,5561,1299,1589,641,3972,1142,8716,1647,7462,1549,1254,533,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,6074,1419,3320,1076,1434,559,1886,864,711,427,1175,764,2754,990,2297,807,457,426,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,37458,3190,21802,2427,12811,1897,8991,1406,2019,734,6972,1217,15656,1873,11016,1585,4640,1107,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
