GEO_ID,B19123_001E,B19123_001M,B19123_002E,B19123_002M,B19123_003E,B19123_003M,B19123_004E,B19123_004M,B19123_005E,B19123_005M,B19123_006E,B19123_006M,B19123_007E,B19123_007M,B19123_008E,B19123_008M,B19123_009E,B19123_009M,B19123_010E,B19123_010M,B19123_011E,B19123_011M,B19123_012E,B19123_012M,B19123_013E,B19123_013M,B19123_014E,B19123_014M,B19123_015E,B19123_015M,B19123_016E,B19123_016M,B19123_017E,B19123_017M,B19123_018E,B19123_018M,B19123_019E,B19123_019M,B19123_020E,B19123_020M,B19123_021E,B19123_021M,NAME,B19123_001MA,B19123_001EA,B19123_002MA,B19123_002EA,B19123_003EA,B19123_003MA,B19123_004EA,B19123_004MA,B19123_005MA,B19123_005EA,B19123_006MA,B19123_006EA,B19123_007MA,B19123_007EA,B19123_008MA,B19123_008EA,B19123_009MA,B19123_009EA,B19123_010MA,B19123_010EA,B19123_011MA,B19123_011EA,B19123_012MA,B19123_012EA,B19123_013EA,B19123_013MA,B19123_014EA,B19123_014MA,B19123_015EA,B19123_015MA,B19123_016MA,B19123_016EA,B19123_017MA,B19123_017EA,B19123_018MA,B19123_018EA,B19123_019MA,B19123_019EA,B19123_020MA,B19123_020EA,B19123_021MA,B19123_021EA,state
0400000US08,1372705,11369,108252,5150,1264453,11437,663194,10847,33589,3171,629605,10229,280667,7771,26512,3020,254155,7395,250094,7195,23202,2193,226892,6712,115685,5277,13649,2073,102036,4918,43346,3472,6466,1414,36880,3300,19719,2428,4834,1263,14885,2110,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,158163,6823,1525013,11811,831447,12579,48002,4058,783445,11763,358136,10294,42370,3526,315766,9824,287645,7165,31677,2835,255968,6676,130868,5231,18662,2165,112206,4702,47051,3860,9507,1737,37544,3304,28029,2578,7945,1496,20084,2215,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,155949,6450,982978,12260,566781,10215,49571,3752,517210,10697,256948,7464,40742,3089,216206,7303,192707,7125,33011,3228,159696,5690,82784,4942,19070,2746,63714,4277,25571,2734,7539,1532,18032,2149,14136,1702,6016,1307,8120,1121,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,179503,7668,925344,11559,529719,9535,57484,4408,472235,8856,258941,8115,51698,4594,207243,7311,191021,8295,35429,3453,155592,7501,80794,5807,19317,2356,61477,5294,27551,3168,8584,1814,18967,2304,16821,2438,6991,1690,9830,1936,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,415762,10866,2703339,16364,1436007,15041,135326,5907,1300681,13352,688570,11626,103688,5549,584882,9863,584802,11040,82781,4998,502021,9854,257821,7980,49278,4021,208543,7290,98675,5779,25248,2762,73427,5219,53226,3865,19441,2401,33785,2878,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,80375,3584,719954,8502,415470,7396,22923,1945,392547,7010,156065,5368,21024,2242,135041,4827,134798,5263,17360,2011,117438,5040,63106,3678,11168,1442,51938,3376,21055,2082,4588,1035,16467,1747,9835,1542,3312,883,6523,1231,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,23440,2327,318312,6134,177516,5300,6956,1234,170560,5007,72824,3785,6065,1351,66759,3823,57708,3770,5041,1249,52667,3547,22177,2531,3086,1001,19091,2251,8975,1835,1207,660,7768,1657,2552,682,1085,420,1467,497,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,89580,5275,679554,10237,387469,8970,28936,2845,358533,8346,169083,7790,24279,2898,144804,6925,121239,5245,16323,2311,104916,5067,60276,4230,11402,1860,48874,3581,18682,2119,4014,1023,14668,1941,12385,1977,4626,1092,7759,1613,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,28718,2839,209681,5279,119235,4441,10335,1943,108900,3841,54673,4134,7768,1847,46905,3545,40176,2737,4848,1192,35328,2640,15739,1777,3088,1066,12651,1723,5692,1326,1751,759,3941,1031,2884,727,928,418,1956,601,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,103530,3977,1293297,10049,696458,8318,30127,2510,666331,7850,281498,6520,24974,2017,256524,5860,246535,6800,19822,1982,226713,6682,106865,4403,12760,1704,94105,4197,39721,2719,6278,1039,33443,2629,25750,2402,9569,1643,16181,1733,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
