GEO_ID,B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,NAME,B20004_001EA,B20004_001MA,B20004_002EA,B20004_002MA,B20004_003EA,B20004_003MA,B20004_004EA,B20004_004MA,B20004_005EA,B20004_005MA,B20004_006EA,B20004_006MA,B20004_007EA,B20004_007MA,B20004_008MA,B20004_008EA,B20004_009EA,B20004_009MA,B20004_010EA,B20004_010MA,B20004_011EA,B20004_011MA,B20004_012EA,B20004_012MA,B20004_013EA,B20004_013MA,B20004_014EA,B20004_014MA,B20004_015EA,B20004_015MA,B20004_016EA,B20004_016MA,B20004_017EA,B20004_017MA,B20004_018MA,B20004_018EA,state
0400000US08,44885,690,29312,1760,35013,788,39129,901,54937,1341,68181,2341,51372,368,34702,1514,40431,777,46730,957,67257,1587,85602,2987,37233,387,21364,986,27981,1317,32353,520,45945,847,56506,1286,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,38825,550,25560,662,32171,293,36435,438,49851,1354,62726,1912,46545,446,30960,828,40583,378,46125,761,62140,1072,76013,2626,31417,277,19025,1370,24692,838,30036,564,41206,544,55069,2024,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,36310,363,21639,836,30213,435,34070,821,50146,975,56623,1003,42034,427,24649,1573,35802,733,41778,609,59617,3165,67529,4086,30877,360,16812,1655,22370,628,28699,830,41160,967,52320,962,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,36602,512,21282,678,29383,832,35199,1137,50273,913,57058,1123,46394,810,26897,1730,40430,880,46590,1541,61403,1304,75237,4902,29238,806,16272,746,21952,580,27884,1216,42567,1479,51066,829,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,42583,495,26046,526,31625,237,37827,766,57357,743,75802,680,51113,205,30902,458,38753,902,47692,1103,70862,672,95265,2380,35785,320,20363,449,25023,487,30839,355,48688,966,64137,1365,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,40709,295,29980,1368,32367,713,36699,520,51620,497,67140,1771,48384,1121,33443,2624,40815,693,46129,826,62472,1741,78500,4483,32639,594,21531,1132,24291,1062,30082,682,44010,1992,61221,1121,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,45069,927,27551,2840,35200,1262,41801,877,57015,1962,70885,1511,54151,1946,31625,3649,42336,1787,51721,1363,75536,2943,91763,6413,36779,860,22692,2797,26328,981,35021,1549,43932,2386,62784,2389,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,35209,478,23899,1066,29805,1239,32401,865,46919,1030,61185,1590,40411,519,27626,1717,34049,1169,39147,1806,58297,3681,80255,7508,30300,548,19183,1659,22496,650,29153,1255,41124,960,53029,2340,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,40661,726,24961,2298,32173,1203,36893,1811,52267,2882,70036,3404,45538,1552,30002,2588,37352,2874,44599,3860,64713,6147,90061,7277,34867,1266,20300,3545,26765,2305,31464,1154,48418,3345,63545,3843,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,45120,325,27244,1139,33173,860,40837,317,57806,1493,73062,1554,51411,266,32182,1009,40203,506,48779,1402,70299,1102,85371,2162,38585,590,21491,831,26658,673,34369,558,50122,810,65586,1417,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
