GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001MA,B17020H_001EA,B17020H_002EA,B17020H_002MA,B17020H_003EA,B17020H_003MA,B17020H_004EA,B17020H_004MA,B17020H_005MA,B17020H_005EA,B17020H_006MA,B17020H_006EA,B17020H_007EA,B17020H_007MA,B17020H_008EA,B17020H_008MA,B17020H_009EA,B17020H_009MA,B17020H_010MA,B17020H_010EA,B17020H_011EA,B17020H_011MA,B17020H_012EA,B17020H_012MA,B17020H_013EA,B17020H_013MA,B17020H_014EA,B17020H_014MA,B17020H_015MA,B17020H_015EA,B17020H_016MA,B17020H_016EA,B17020H_017EA,B17020H_017MA,state
0400000US08,3788167,3856,282973,11265,17101,2940,18747,3336,15760,2305,167009,7002,44427,3970,12031,1468,7898,1391,3505194,12060,206913,3964,215379,4537,226880,4520,1980571,8888,645585,6102,166570,3800,63296,3758,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5120341,5899,531604,18693,47229,4158,42978,3928,45699,4675,297661,10134,68006,4131,21294,2526,8737,1747,4588737,19687,294659,5977,313638,6356,336734,6501,2456943,12290,842028,7826,252157,5177,92578,4512,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3669966,4130,566242,18633,54189,5183,55881,5096,45990,3909,308432,9952,73154,5017,20062,2177,8534,1572,3103724,18690,194316,5314,201990,5940,221223,5797,1670853,11924,584877,7865,175056,3578,55409,3565,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2664376,3941,324313,16640,29090,3560,26920,3803,21246,3164,182743,9605,44958,3934,13865,2206,5491,1305,2340063,17361,154019,5125,153557,5889,162136,5760,1249318,12063,441095,6555,133901,4046,46037,3587,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7594356,4823,641473,17986,44460,4016,42795,3723,43748,4026,361710,10426,97713,5489,32240,2341,18807,2352,6952883,18708,408528,4553,430859,7814,469179,7724,3744788,13382,1323547,8032,406019,5975,169963,5951,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2614232,2747,244599,10680,19395,2537,16792,2497,16201,2035,142950,6238,29515,2562,12285,1515,7461,1024,2369633,10211,160071,2937,168725,4569,176344,4020,1224785,7842,446086,4814,138846,3098,54776,2825,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1182110,1972,79156,5477,6056,1436,6335,1751,6380,1546,43033,2904,12458,1793,3277,802,1617,564,1102954,5660,57366,2363,63522,3389,72583,3197,602501,5021,222524,4057,60284,2448,24174,2251,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2113842,2445,286196,15317,27881,3254,24709,3305,21449,3109,156744,9215,40262,2994,10181,1841,4970,1113,1827646,14980,109375,4285,120851,4258,129028,4962,949952,10063,355811,5122,125253,2945,37376,2739,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,584406,1252,48371,5738,1958,1067,2515,1073,3000,1032,28397,3719,9599,1848,2164,708,738,359,536035,5718,27262,1655,29076,1970,33489,1883,268071,4133,124174,2582,39708,1703,14255,1668,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4368644,3362,304246,9812,17301,2679,18097,2321,18793,2104,171156,6423,51855,3274,17406,1650,9638,1465,4064398,10554,267816,3964,267966,4602,291107,4543,2193550,8658,736193,6503,222786,3748,84980,3816,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,893673,1254,101613,6431,8754,1702,6939,1427,7038,1327,55698,3900,15974,2022,4908,1056,2302,767,792060,6875,48300,2182,51392,2360,53443,2959,406096,5074,168184,2861,49157,1729,15488,1634,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1214331,1927,133986,7036,9703,1852,9117,1527,10683,1961,69527,3932,23423,2201,7766,1222,3767,1025,1080345,7179,58123,2540,56573,2254,68967,2319,567589,5473,237777,3967,65607,2106,25709,1725,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6352932,6910,621514,20287,41397,4141,43814,4218,48155,4668,356766,12113,88233,4756,29629,2579,13520,1968,5731418,21453,315474,5891,339481,7117,378767,7386,3062372,14763,1156838,10424,357112,4188,121374,4261,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
