GEO_ID,B19001A_001E,B19001A_001M,B19001A_002E,B19001A_002M,B19001A_003E,B19001A_003M,B19001A_004E,B19001A_004M,B19001A_005E,B19001A_005M,B19001A_006E,B19001A_006M,B19001A_007E,B19001A_007M,B19001A_008E,B19001A_008M,B19001A_009E,B19001A_009M,B19001A_010E,B19001A_010M,B19001A_011E,B19001A_011M,B19001A_012E,B19001A_012M,B19001A_013E,B19001A_013M,B19001A_014E,B19001A_014M,B19001A_015E,B19001A_015M,B19001A_016E,B19001A_016M,B19001A_017E,B19001A_017M,NAME,B19001A_001EA,B19001A_001MA,B19001A_002EA,B19001A_002MA,B19001A_003EA,B19001A_003MA,B19001A_004EA,B19001A_004MA,B19001A_005MA,B19001A_005EA,B19001A_006EA,B19001A_006MA,B19001A_007EA,B19001A_007MA,B19001A_008EA,B19001A_008MA,B19001A_009EA,B19001A_009MA,B19001A_010EA,B19001A_010MA,B19001A_011EA,B19001A_011MA,B19001A_012EA,B19001A_012MA,B19001A_013EA,B19001A_013MA,B19001A_014EA,B19001A_014MA,B19001A_015EA,B19001A_015MA,B19001A_016MA,B19001A_016EA,B19001A_017EA,B19001A_017MA,state
0400000US08,1891210,7909,82403,5347,57690,4185,60936,3775,70818,3615,62920,4206,73154,4430,72057,4148,75035,4604,71403,4463,136071,5153,189928,6924,258220,8045,205013,5849,137964,5585,164005,5749,173593,5886,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,2216065,11405,113303,4981,89199,4281,99006,5049,108983,5384,96969,4968,114512,4676,102549,4418,107714,4801,96724,5206,192143,6223,245922,7786,316794,8471,204458,7403,121904,5069,112817,4551,93068,4693,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1530685,8928,121365,6147,81205,3626,82469,4713,82568,4724,77419,4674,80774,4348,73988,3806,71286,4134,62799,3788,122534,5221,156968,5817,184782,6451,125695,4576,76578,4342,65514,3516,64741,3722,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1130618,8671,70922,4650,51163,3498,56376,3410,61174,3837,52009,3632,53159,3976,50495,3636,46384,3277,45905,4044,82553,4223,105806,5427,143748,6124,106293,6047,65550,3781,70212,4076,68869,3860,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3664221,13727,177940,7191,120127,5399,138174,6569,156048,5977,143545,5222,155473,6071,138749,6367,144070,5963,127213,4928,261719,6540,368279,9166,480882,10242,373058,9509,245764,7349,291675,7791,341505,7293,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,1179050,7943,58989,3460,49866,3136,49841,3294,53472,2934,51958,3388,55656,3642,52802,3007,55299,3360,50132,2953,97219,4584,132268,4548,173609,5374,112804,4260,67991,3552,60029,3649,57115,3032,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,503097,4897,20402,2474,16166,2128,19521,2072,18625,2202,19643,2333,19954,2220,16446,1665,20692,2426,15731,1473,34363,2908,47369,3316,70222,4052,55443,3753,40163,2783,42956,2594,45401,3394,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,916121,6731,62858,4258,49486,3063,47952,3517,56294,3697,47396,3582,49235,3489,45756,2946,45941,3030,45463,3548,76069,4786,94342,4648,104656,5044,72672,3895,40759,2576,39737,3493,37505,3150,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,261689,4128,11261,1866,9058,1167,7666,1237,11748,1521,11056,1711,11336,1413,10269,1561,9581,1463,10276,1652,19980,2219,27357,2739,38443,2762,27451,2432,17446,2109,19600,1952,19161,2082,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1917487,6520,69824,3392,66273,3566,64713,3217,72460,3740,69957,3149,72903,3538,77203,3707,76810,3557,71540,2981,140755,4878,197371,5768,273263,6083,212358,4961,146775,4532,150288,4531,154994,4201,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,396231,4741,22508,2545,18994,2013,16324,1999,22246,2294,20481,2081,19749,2267,16917,1728,18162,1940,18818,2205,34555,2715,45489,2548,53530,3253,34399,3003,18206,1735,19494,1842,16359,1550,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,548426,4827,33653,3056,30335,2818,28761,2165,25876,2574,24287,1999,27428,2322,28044,2528,21545,2254,24872,2584,44243,3453,55684,3205,74412,4000,47709,3235,30628,3025,27190,2216,23759,1988,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2862129,13476,140538,5562,120114,6049,124557,5721,137615,5297,128613,5675,134910,6117,138812,6310,132784,5136,119068,5342,235272,8145,295898,8165,381092,8475,264367,7562,157364,7093,157476,5443,193649,6260,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2333249,13079,122950,6522,79854,4352,91865,5429,102118,5321,100027,5568,103661,5221,91588,5263,99528,5107,90567,4962,175714,5630,235222,7640,307190,8180,225637,7665,142764,5948,160812,6582,203752,6608,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
