GEO_ID,B21004_001E,B21004_001M,B21004_002E,B21004_002M,B21004_003E,B21004_003M,B21004_004E,B21004_004M,B21004_005E,B21004_005M,B21004_006E,B21004_006M,B21004_007E,B21004_007M,NAME,B21004_001MA,B21004_001EA,B21004_002MA,B21004_002EA,B21004_003MA,B21004_003EA,B21004_004EA,B21004_004MA,B21004_005MA,B21004_005EA,B21004_006MA,B21004_006EA,B21004_007MA,B21004_007EA,state
0400000US08,36574,245,47652,1797,48930,1872,37666,4424,35789,267,42738,860,30184,284,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,30610,189,37005,720,37320,833,31873,2414,30173,206,38797,705,23547,340,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,27019,271,36782,1086,37155,1125,30302,5499,26274,275,32072,408,21803,261,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26102,316,37381,1706,38656,2124,30559,4401,25380,323,32722,1428,21130,297,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,33408,379,41797,701,42216,768,35339,4412,32598,384,41555,258,26612,204,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,32263,301,39283,1326,39752,1337,32265,5630,31835,312,41024,433,25683,343,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,35661,575,46612,2073,47892,1758,34671,7974,34745,983,44521,1607,27492,757,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,25991,359,33584,1629,34262,1608,27132,3154,25339,354,31050,415,21284,348,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,32898,735,44415,2306,45586,2041,34238,6994,31820,681,38155,2529,27129,918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,36562,201,40943,826,41319,857,35297,2626,36268,218,44465,630,30228,264,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,28998,667,37036,1903,37643,2643,30684,4837,27931,722,34218,1463,23424,1009,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,30487,390,36891,2346,36861,2352,37558,7275,29850,619,35868,843,24932,635,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,29379,309,40807,819,41049,921,38267,3334,27912,311,34184,627,23877,292,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,30482,160,42766,1048,44369,1148,34368,2296,29489,317,35553,381,24671,287,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,35160,992,49775,3495,50576,2667,40516,7683,32844,1438,40431,1527,27812,1712,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,26224,265,40147,1138,41394,1181,31056,2308,25108,287,32066,434,20693,254,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,31603,591,39150,3282,39824,4655,35097,6688,31227,593,35837,1028,27827,1103,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,31527,275,41860,1077,42591,1657,35313,5232,30860,294,35366,567,26508,497,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,25042,400,35908,1601,36390,1802,30659,5397,23967,419,30833,596,20133,350,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,27607,380,39463,1269,40345,1019,31244,2666,26647,266,33543,814,22112,273,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,32773,312,37871,787,38374,821,32752,2704,32315,181,41059,281,26408,235,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,13263,199,23040,1623,23066,1651,22439,7301,12963,195,14480,233,11724,204,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,35504,300,55034,1308,56599,1610,47908,2600,32738,500,40930,368,27594,472,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,36354,708,41923,2975,42188,3122,37382,9330,35964,719,46649,1117,28099,1229,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,27286,301,38698,1194,39612,1159,28398,5419,26375,294,31829,355,22439,324,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,31575,276,40012,1302,40485,1237,35832,1848,30979,286,37214,588,25780,367,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US56,31865,721,43256,2681,43396,2784,38500,21824,30812,769,41947,1932,22803,1196,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
