GEO_ID,B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,NAME,B05003B_001EA,B05003B_001MA,B05003B_002MA,B05003B_002EA,B05003B_003MA,B05003B_003EA,B05003B_004EA,B05003B_004MA,B05003B_005EA,B05003B_005MA,B05003B_006MA,B05003B_006EA,B05003B_007MA,B05003B_007EA,B05003B_008MA,B05003B_008EA,B05003B_009MA,B05003B_009EA,B05003B_010MA,B05003B_010EA,B05003B_011EA,B05003B_011MA,B05003B_012EA,B05003B_012MA,B05003B_013EA,B05003B_013MA,B05003B_014MA,B05003B_014EA,B05003B_015MA,B05003B_015EA,B05003B_016EA,B05003B_016MA,B05003B_017EA,B05003B_017MA,B05003B_018EA,B05003B_018MA,B05003B_019MA,B05003B_019EA,B05003B_020MA,B05003B_020EA,B05003B_021EA,B05003B_021MA,B05003B_022EA,B05003B_022MA,B05003B_023EA,B05003B_023MA,state
0400000US08,237578,6469,123774,3323,27467,2082,24813,2259,2654,1375,873,672,1781,1171,96307,2706,79207,3312,17100,2379,9136,1735,7964,1716,113804,5030,28969,2797,26261,2752,2708,1087,1111,694,1597,849,84835,3239,68974,3723,15861,2630,8042,1902,7819,1813,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,637277,7405,304984,4117,90755,3150,88483,3432,2272,1129,671,537,1601,999,214229,2771,201002,3616,13227,2546,4981,1489,8246,2135,332293,5229,88611,3222,85896,3254,2715,1386,1145,779,1570,1149,243682,3630,230472,4014,13210,2545,5654,1459,7556,1883,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,354761,6583,175286,4076,43481,2759,42266,2699,1215,634,529,348,686,534,131805,3014,123075,3370,8730,1975,3576,1321,5154,1550,179475,4235,42455,2334,41572,2291,883,635,607,608,276,247,137020,3172,130202,3156,6818,1732,2762,1076,4056,1294,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1509407,8957,717034,5800,205171,4394,204563,4493,608,453,350,391,258,252,511863,3413,505574,3535,6289,1706,2425,976,3864,1344,792373,6721,194277,4506,193492,4553,785,515,483,441,302,282,598096,3994,592646,3935,5450,1404,2433,1028,3017,926,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1793079,10015,841562,6075,218134,4288,215322,4263,2812,1296,842,597,1970,1037,623428,4001,587172,4838,36256,3173,20684,2316,15572,2938,951517,6847,213541,4775,210253,4766,3288,1228,1292,718,1996,1020,737976,4434,705395,5120,32581,3217,19261,2590,13320,2159,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,115137,4782,59722,2904,20013,2511,17012,2079,3001,1266,1029,644,1972,1133,39709,1908,29374,2377,10335,1864,3491,986,6844,1806,55415,3066,18765,1922,17328,1959,1437,671,386,383,1051,610,36650,2173,26012,1903,10638,2124,2012,880,8626,2055,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,23432,2654,12958,1857,2649,716,2039,796,610,348,305,201,305,298,10309,1677,6255,1525,4054,1288,2592,1135,1462,707,10474,1655,2990,835,1761,728,1229,698,738,572,491,525,7484,1328,4614,1092,2870,905,1447,562,1423,759,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,456714,6073,216567,4409,62288,3056,62171,3062,117,206,117,206,0,201,154279,2841,152186,2963,2093,1082,683,503,1410,832,240147,3951,59281,2633,59181,2638,100,149,0,201,100,149,180866,2287,178524,2904,2342,1524,758,645,1584,1381,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,217594,3408,102490,2187,27962,1600,27087,1609,875,645,540,475,335,410,74528,1491,68704,2226,5824,1730,4257,1548,1567,810,115104,2271,27122,1823,26470,1923,652,460,143,180,509,440,87982,1346,80504,2211,7478,1900,5436,1470,2042,931,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,367653,5713,185806,3921,65460,2644,55838,2875,9622,1346,3615,1016,6007,1300,120346,2453,66963,3571,53383,3481,30068,3282,23315,3179,181847,3560,60940,2195,51459,2377,9481,1848,3856,1367,5625,1572,120907,2447,60784,3980,60123,3916,36481,3448,23642,3099,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
