GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001EA,B17020I_001MA,B17020I_002EA,B17020I_002MA,B17020I_003MA,B17020I_003EA,B17020I_004MA,B17020I_004EA,B17020I_005EA,B17020I_005MA,B17020I_006EA,B17020I_006MA,B17020I_007EA,B17020I_007MA,B17020I_008MA,B17020I_008EA,B17020I_009MA,B17020I_009EA,B17020I_010EA,B17020I_010MA,B17020I_011EA,B17020I_011MA,B17020I_012EA,B17020I_012MA,B17020I_013EA,B17020I_013MA,B17020I_014EA,B17020I_014MA,B17020I_015MA,B17020I_015EA,B17020I_016EA,B17020I_016MA,B17020I_017MA,B17020I_017EA,state
0400000US08,1205551,2449,175140,13397,21536,3218,29073,3456,22323,3508,85379,6650,12924,2116,2677,810,1228,538,1030411,13484,101427,4548,109550,6471,108966,4686,604297,6593,79077,3136,21369,1777,5725,1030,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,461239,2378,97226,9639,16733,2838,15484,2670,14587,2485,45859,5068,3128,897,597,418,838,624,364013,9530,38042,3511,44703,4018,42566,3087,211434,4783,20834,2084,4626,1041,1808,622,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,155266,2728,38568,4254,6584,1029,7925,1535,4675,1302,18078,2554,1010,544,260,292,36,61,116698,5010,13248,1545,15134,2340,10464,1701,68475,3111,6712,1204,1938,998,727,591,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,229848,2738,50836,7289,8862,2523,7912,1944,5020,1341,26629,3620,1801,803,389,241,223,203,179012,6891,18770,2284,17610,2573,15691,2609,103128,3934,17746,2337,4853,1316,1214,614,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2175270,3484,317257,19656,46628,4830,50058,5544,46614,4992,149495,8921,18982,2391,4048,997,1432,572,1858013,20163,171413,5106,187468,7437,199149,7996,1112827,9984,144678,5022,31894,2100,10584,1644,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,186209,1416,37417,4797,5963,1425,5429,1229,7093,1413,17809,2678,891,500,232,272,0,163,148792,5070,17969,1852,17957,1869,18575,1931,85649,2703,6904,1257,989,569,749,361,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,50156,702,10563,3046,1814,924,1590,938,1528,864,5132,1675,340,295,159,161,0,192,39593,3215,3406,980,3147,774,4570,1066,24120,2043,3465,841,458,174,427,353,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,225030,2501,53598,6343,9014,2088,10067,2017,9118,1974,23215,3314,2017,886,167,201,0,201,171432,6235,17075,2037,21276,2357,20051,2347,101963,3301,8513,1444,1523,578,1031,554,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,89340,797,17744,4090,3111,1230,3729,1225,3220,1378,6842,1649,650,364,192,163,0,200,71596,4244,6611,1298,8060,1493,6784,1327,43940,1958,4624,843,1388,590,189,199,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,300637,1317,56128,6880,8974,1447,10510,2269,7024,1558,27135,3596,2165,1076,301,223,19,25,244509,6660,26633,1969,31988,2729,28276,2423,141615,3650,12738,1481,2722,715,537,288,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
