GEO_ID,B24042_001E,B24042_001M,B24042_002E,B24042_002M,B24042_003E,B24042_003M,B24042_004E,B24042_004M,B24042_005E,B24042_005M,B24042_006E,B24042_006M,B24042_007E,B24042_007M,B24042_008E,B24042_008M,B24042_009E,B24042_009M,B24042_010E,B24042_010M,B24042_011E,B24042_011M,B24042_012E,B24042_012M,B24042_013E,B24042_013M,B24042_014E,B24042_014M,B24042_015E,B24042_015M,B24042_016E,B24042_016M,B24042_017E,B24042_017M,B24042_018E,B24042_018M,B24042_019E,B24042_019M,B24042_020E,B24042_020M,B24042_021E,B24042_021M,B24042_022E,B24042_022M,B24042_023E,B24042_023M,B24042_024E,B24042_024M,B24042_025E,B24042_025M,B24042_026E,B24042_026M,B24042_027E,B24042_027M,B24042_028E,B24042_028M,B24042_029E,B24042_029M,B24042_030E,B24042_030M,B24042_031E,B24042_031M,B24042_032E,B24042_032M,B24042_033E,B24042_033M,B24042_034E,B24042_034M,B24042_035E,B24042_035M,B24042_036E,B24042_036M,B24042_037E,B24042_037M,B24042_038E,B24042_038M,B24042_039E,B24042_039M,B24042_040E,B24042_040M,B24042_041E,B24042_041M,B24042_042E,B24042_042M,B24042_043E,B24042_043M,B24042_044E,B24042_044M,B24042_045E,B24042_045M,B24042_046E,B24042_046M,B24042_047E,B24042_047M,B24042_048E,B24042_048M,B24042_049E,B24042_049M,B24042_050E,B24042_050M,B24042_051E,B24042_051M,B24042_052E,B24042_052M,B24042_053E,B24042_053M,B24042_054E,B24042_054M,NAME,B24042_001EA,B24042_001MA,B24042_002EA,B24042_002MA,B24042_003EA,B24042_003MA,B24042_004EA,B24042_004MA,B24042_005EA,B24042_005MA,B24042_006EA,B24042_006MA,B24042_007MA,B24042_007EA,B24042_008EA,B24042_008MA,B24042_009EA,B24042_009MA,B24042_010EA,B24042_010MA,B24042_011EA,B24042_011MA,B24042_012EA,B24042_012MA,B24042_013EA,B24042_013MA,B24042_014EA,B24042_014MA,B24042_015EA,B24042_015MA,B24042_016EA,B24042_016MA,B24042_017EA,B24042_017MA,B24042_018MA,B24042_018EA,B24042_019EA,B24042_019MA,B24042_020EA,B24042_020MA,B24042_021EA,B24042_021MA,B24042_022EA,B24042_022MA,B24042_023EA,B24042_023MA,B24042_024EA,B24042_024MA,B24042_025EA,B24042_025MA,B24042_026EA,B24042_026MA,B24042_027EA,B24042_027MA,B24042_028EA,B24042_028MA,B24042_029MA,B24042_029EA,B24042_030EA,B24042_030MA,B24042_031EA,B24042_031MA,B24042_032EA,B24042_032MA,B24042_033EA,B24042_033MA,B24042_034EA,B24042_034MA,B24042_035EA,B24042_035MA,B24042_036EA,B24042_036MA,B24042_037EA,B24042_037MA,B24042_038EA,B24042_038MA,B24042_039EA,B24042_039MA,B24042_040MA,B24042_040EA,B24042_041EA,B24042_041MA,B24042_042EA,B24042_042MA,B24042_043EA,B24042_043MA,B24042_044EA,B24042_044MA,B24042_045EA,B24042_045MA,B24042_046EA,B24042_046MA,B24042_047EA,B24042_047MA,B24042_048EA,B24042_048MA,B24042_049EA,B24042_049MA,B24042_050EA,B24042_050MA,B24042_051MA,B24042_051EA,B24042_052EA,B24042_052MA,B24042_053EA,B24042_053MA,B24042_054EA,B24042_054MA,state
0400000US08,56688,647,58763,5167,35741,2400,75234,6269,50237,1534,66025,2705,57027,3340,39835,1563,54575,2417,50954,1377,80772,4462,74943,6316,74601,3541,78980,5243,65477,7926,80290,2469,92118,1860,94874,23671,41334,1610,60053,3002,55309,3088,65143,4986,35350,1396,38909,3276,32837,2780,46082,2465,69206,3718,46574,493,56166,8774,30772,5524,91459,15222,42303,5192,54357,4861,55792,7137,34038,2108,49295,2579,46847,1784,71839,14461,58150,7820,53078,2241,53218,2886,52818,3308,54665,2711,63319,2868,57804,9949,35928,1350,46927,815,47657,1443,46385,1145,30028,1756,36795,2532,27411,1706,37092,1886,56156,1278,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,50832,284,46782,5518,42052,1641,66875,9319,50219,1332,52282,682,50643,1359,40236,1428,52318,1105,50982,762,76806,8293,56533,9435,67496,5542,77299,4735,46189,6631,57206,3313,70958,2117,87464,21961,38965,3609,51956,965,51151,1475,53796,4399,31040,768,39496,5100,27281,2604,42617,2241,52533,1905,38102,690,34615,7820,34081,6535,65836,44935,43270,6124,37476,1142,38089,2730,30322,636,41076,1521,39397,3863,50606,11640,37047,5187,45677,1596,46100,1481,43309,4517,42741,1581,46238,2523,46615,8914,37081,2362,41222,502,42662,1104,40341,841,22302,1229,36489,2686,21237,759,31998,1954,39693,1572,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,47835,988,51251,4886,32456,4955,66964,6211,42257,1272,50897,796,51912,2746,36850,1435,52331,2511,50441,2163,64072,9417,48951,4659,62750,5897,72208,6159,47317,5462,52294,4244,70771,1830,69647,61020,32439,1731,51192,883,50553,1117,51947,2731,30084,1937,40041,7103,27284,2270,40483,2459,49018,2796,37449,563,32551,5856,32058,8832,46960,29986,45460,7225,37826,1837,39606,5368,29911,1913,38279,2303,37082,2025,41039,3999,32602,2496,43068,2113,44048,2412,37256,7046,39147,2495,48258,4795,65277,14165,30321,1779,41121,718,43332,1733,39511,2198,24519,1764,30342,5990,23523,2199,31466,1512,40487,1428,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,51682,469,58185,5496,36036,5663,67052,10523,46233,1906,66007,3218,52274,3602,33887,4101,55676,3897,54925,4857,60895,10503,61204,2062,70697,8451,84638,10024,42491,15268,61962,2383,81188,3853,60185,20697,41607,2053,55426,2243,51491,1023,61140,2266,26250,1616,31199,4381,25401,1791,41019,1506,54709,2577,35740,669,51175,6014,30025,22689,57264,10283,47389,7510,41202,3325,33495,5529,27097,1222,41700,4326,39977,4955,60095,7931,37942,6955,41396,2372,42605,3703,38358,4957,45517,2217,50505,2896,45139,52523,30023,5237,38465,1832,43212,1397,34187,1793,22986,1502,28987,2743,21598,729,26599,1353,37337,3270,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,57022,477,51567,1049,48254,4295,68809,6975,54150,2875,54455,1907,58354,4914,41325,981,56018,1256,52130,651,87176,4920,74001,5548,87274,4184,97269,5107,64586,6025,73707,2892,91766,1198,82198,17333,40229,1417,59868,2505,60021,3738,59686,3135,33387,1874,45578,2631,31358,783,45000,2600,77413,2436,46013,455,44067,7959,44294,8118,41528,50354,50533,1917,41748,657,49195,4155,32467,1590,49164,2717,46566,3308,69820,6956,53741,3665,56382,1628,58724,3172,49533,4256,57154,2958,67316,2772,62487,8282,35243,2306,46789,570,51944,619,42361,793,29735,1931,40633,3304,26345,954,35318,1649,57420,2525,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,51545,306,45908,1876,45544,2341,55718,9000,47547,2303,51051,506,56108,4010,44357,2199,56336,1600,52419,2219,76270,1785,51987,3655,64153,4047,70228,6665,51189,1178,61809,1725,76450,4401,78750,95300,41824,3844,55723,2282,55536,3189,56082,3714,29945,1957,41969,8361,27286,1595,42350,3009,66939,2575,40407,444,40707,4209,40637,4582,47891,23309,46225,3005,40496,1037,39450,2817,30031,1410,47124,7176,41756,1710,63774,2671,42029,9030,47568,2385,48872,2880,41058,1590,44973,3120,50942,1524,51426,4141,31812,4629,40775,707,47437,2058,37657,1268,25337,1397,35458,3169,22150,1020,31861,2956,53146,2819,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,61158,1106,31941,6982,31298,2473,72830,44191,55187,4373,65148,5107,60996,9519,47025,4487,65471,2687,61309,3593,90944,13917,80990,9347,90075,5960,95349,9500,75425,53519,76888,6251,110810,7712,61934,90450,43529,5234,61638,3703,60779,8056,62404,6803,34800,4184,44057,11289,32009,2048,45359,8064,74827,5790,45343,1070,30905,10651,30221,17439,-666666666,-222222222,39660,11459,44238,3343,50301,2068,32686,2613,60167,4789,60015,6119,72917,36411,54667,8085,61324,5075,64507,3773,50199,9166,60038,6453,65677,6156,101173,124891,42227,6383,45376,1442,51337,2698,42426,1511,31290,1407,41986,11368,30467,2846,31835,7540,47626,3866,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,42454,1134,41182,1424,36134,4328,63228,6888,40359,2111,42363,2527,44981,3478,37931,3235,50792,1495,50299,2269,60281,7711,43174,6829,61915,7499,71371,15575,50597,5279,47543,3830,79090,8145,91136,52672,31667,1591,49335,2892,47236,3884,50568,4321,23818,1851,34080,2301,21669,1350,40516,2878,42272,3063,36104,557,27809,9669,27846,13965,24934,32008,37639,6314,34054,2899,41582,6756,30253,1426,41679,2163,41813,3089,41204,4184,45729,8794,40243,2429,40584,1786,36813,6212,39696,3266,45130,3907,46994,20460,30351,3667,39435,1706,42558,1431,37068,1500,21848,850,32360,7783,20981,994,29062,4198,40026,3019,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,52063,1503,41996,9151,41405,7149,60833,82490,45287,4850,60155,7855,50602,20411,36916,5385,61743,4662,60374,8006,79521,28351,61643,6695,78718,8449,90010,9416,51719,9085,70976,12290,90377,7878,85678,13053,35191,13032,61029,6758,55011,9201,65951,7251,28808,2188,31606,8226,27385,2672,45039,5521,55530,3564,43844,2906,24126,20993,23778,18413,-666666666,-222222222,50588,19032,50017,7887,36635,22068,25960,2077,32130,6392,30794,2766,53330,17003,35750,22872,50932,6078,50599,7700,51438,4364,57129,12397,65604,7770,43563,15458,35069,17220,47125,3015,56071,3229,40135,2919,24109,2116,45134,30731,22762,2297,30545,6417,54535,8742,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,56908,574,41945,929,40346,925,88680,5259,57440,2482,55656,1615,61071,1353,45086,1710,57870,2564,52160,974,84241,6827,61688,4049,82188,3417,89019,5022,55447,7021,72672,2138,87176,2703,80231,12488,41991,2403,58913,2382,59088,2816,58690,3554,35782,1282,42918,5729,31796,1322,46254,1739,67400,2705,46915,460,32239,5932,31490,3813,81793,7213,46189,3127,44764,1707,50729,2471,36044,898,49140,3047,45291,3997,67739,5137,60421,6782,57324,2679,59309,3220,51454,1628,57895,3125,64640,3418,74177,13037,40126,4639,46387,782,51132,783,44040,1401,31776,1136,39554,4962,29840,2530,40474,1689,57215,2204,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
