GEO_ID,C16008_001E,C16008_001M,C16008_002E,C16008_002M,C16008_003E,C16008_003M,C16008_004E,C16008_004M,C16008_005E,C16008_005M,C16008_006E,C16008_006M,C16008_007E,C16008_007M,C16008_008E,C16008_008M,C16008_009E,C16008_009M,C16008_010E,C16008_010M,C16008_011E,C16008_011M,C16008_012E,C16008_012M,C16008_013E,C16008_013M,C16008_014E,C16008_014M,C16008_015E,C16008_015M,C16008_016E,C16008_016M,C16008_017E,C16008_017M,C16008_018E,C16008_018M,C16008_019E,C16008_019M,C16008_020E,C16008_020M,C16008_021E,C16008_021M,C16008_022E,C16008_022M,C16008_023E,C16008_023M,NAME,C16008_001MA,C16008_001EA,C16008_002EA,C16008_002MA,C16008_003EA,C16008_003MA,C16008_004EA,C16008_004MA,C16008_005EA,C16008_005MA,C16008_006MA,C16008_006EA,C16008_007EA,C16008_007MA,C16008_008EA,C16008_008MA,C16008_009EA,C16008_009MA,C16008_010MA,C16008_010EA,C16008_011MA,C16008_011EA,C16008_012EA,C16008_012MA,C16008_013EA,C16008_013MA,C16008_014EA,C16008_014MA,C16008_015EA,C16008_015MA,C16008_016EA,C16008_016MA,C16008_017EA,C16008_017MA,C16008_018EA,C16008_018MA,C16008_019EA,C16008_019MA,C16008_020EA,C16008_020MA,C16008_021EA,C16008_021MA,C16008_022MA,C16008_022EA,C16008_023MA,C16008_023EA,state
0400000US08,5359922,2467,5061521,13377,910481,5139,744308,8944,166173,8762,144476,9119,21697,3225,4151040,11752,3682609,17942,468431,16256,346939,12310,121492,7779,298401,12455,20615,3433,1729,761,18886,3359,10977,2370,7909,2074,277786,11209,34092,3181,243694,10912,88806,6469,154888,10480,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6274104,2647,6066371,11253,1131191,4772,1024720,6997,106471,6475,88104,7069,18367,3006,4935180,9655,4660133,12636,275047,11055,197266,9413,77781,6061,207733,10618,18092,3317,4732,1920,13360,2587,8254,2354,5106,1732,189641,9022,26224,3420,163417,8521,68904,5987,94513,6593,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4194913,2663,4095292,6568,726373,3714,683627,4567,42746,3990,33108,3728,9638,1865,3368919,5708,3262867,7938,106052,5369,72679,4813,33373,2992,99621,5929,7919,1759,1102,999,6817,1480,4331,1125,2486,1097,91702,5270,10860,1972,80842,5017,28651,3363,52191,4293,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4358121,2840,4243226,7747,784147,3718,743113,4714,41034,4151,33700,3698,7334,2151,3459079,6807,3266362,9711,192717,8353,144793,7701,47924,3929,114895,7531,11581,2107,1474,848,10107,2092,5117,1459,4990,1553,103314,6715,14283,3088,89031,6075,28071,3558,60960,4641,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11981624,2046,11126476,20152,2051710,5432,1569372,10114,482338,9828,416875,10346,65463,5353,9074766,18777,7524889,18513,1549877,20332,1086062,17835,463815,12438,855148,19732,44636,4639,5235,1223,39401,4523,27176,3377,12225,2455,810512,18491,68091,4286,742421,18575,276605,10163,465816,15872,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2958262,2271,2852647,7519,525428,3156,476400,4248,49028,3918,41865,3534,7163,1624,2327219,6259,2209814,7250,117405,5807,84169,4813,33236,3370,105615,6979,10078,2444,711,476,9367,2390,7027,2261,2340,985,95537,5658,10039,1728,85498,5389,28565,3624,56933,4717,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1293601,978,1262181,3406,192369,2109,181278,2666,11091,1836,9248,1469,1843,796,1069812,2991,1003287,4762,66525,4322,47153,3796,19372,2697,31420,3407,2902,1361,696,636,2206,1022,804,481,1402,825,28518,2813,8051,1692,20467,2259,10365,1558,10102,1839,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2825733,2697,2732783,7342,508671,3715,466742,4006,41929,3606,35510,3443,6419,1540,2224112,7109,2127696,7269,96416,6154,67009,5085,29407,4073,92950,6643,7197,2150,775,509,6422,2148,4461,1830,1961,956,85753,6087,13802,2616,71951,5355,18489,2454,53462,5054,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,912836,334,865413,4639,144546,1456,122086,2616,22460,2638,17983,2258,4477,1797,720867,3971,664955,4217,55912,4009,41649,3869,14263,2195,47423,4614,4269,1426,1028,580,3241,1198,1720,868,1521,879,43154,3974,5431,1243,37723,3789,15661,2547,22062,3110,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5256247,1722,5029158,9982,922244,3839,797002,5913,125242,6551,101449,6126,23793,2813,4106914,8745,3783773,10254,323141,8852,215361,7367,107780,5646,227089,10054,24871,3309,4596,1352,20275,3271,10379,2210,9896,2373,202218,8495,28996,3779,173222,7710,72809,4638,100413,6958,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
