GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001EA,C15010A_001MA,C15010A_002MA,C15010A_002EA,C15010A_003EA,C15010A_003MA,C15010A_004EA,C15010A_004MA,C15010A_005EA,C15010A_005MA,C15010A_006EA,C15010A_006MA,state
0400000US08,1448839,14878,553856,10361,120389,4367,282439,7951,139437,5996,352718,7881,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1054070,18675,291163,8878,134207,5460,218039,7369,176061,5938,234600,8031,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,680194,12458,193506,7547,78371,3897,132312,5992,119919,5995,156086,5819,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,574764,12306,159103,5670,74090,4959,114527,5841,89961,5137,137083,6552,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2366081,19485,746111,14375,209744,7139,511407,11104,325806,9709,573013,11085,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,567298,10047,164377,5907,55782,2841,119297,4749,109981,4942,117861,4665,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,334484,6889,123643,4786,29049,2825,64857,3336,39250,2924,77685,4133,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,402377,9354,117564,5578,47830,3658,81967,3893,74407,4484,80609,5341,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,161980,5814,55269,3997,14936,2238,34128,2938,25427,2786,32220,2240,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1243467,11405,403879,8575,122113,4273,251719,7246,176083,4596,289673,6794,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,218732,5879,74174,3381,26056,2686,33825,2819,37381,2409,47296,3580,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,298234,6894,99778,4559,31529,2658,42256,3675,43277,2725,81394,4109,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,1754400,17976,573681,11708,161140,6096,355089,10695,232885,7736,431605,10096,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,1474955,16318,453067,10719,137309,6881,351477,9143,201557,7545,331545,8984,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,121662,5395,48877,3982,11962,1595,17164,1934,16326,1940,27333,2419,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,663038,12690,191756,6605,73607,4738,156461,5952,109900,5345,131314,5764,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,161585,4651,60975,2831,13915,1430,16177,1621,20907,1604,49611,3027,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,374516,10032,120125,4759,33804,2921,87448,5069,51900,3492,81239,5339,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,256360,9164,72119,4579,36580,3453,47015,3467,51659,3509,48987,3810,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,536633,9836,152618,5797,53143,2830,119397,5371,100775,4345,110700,4411,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1094838,11915,339734,6760,123144,4617,218735,6672,173287,5360,239938,5942,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,427933,11447,117113,6079,46889,3829,130535,6456,74262,5111,59134,4633,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,1708002,17689,665623,12468,125561,5040,304819,8424,175804,6847,436195,9145,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,134877,5241,32166,2641,21692,2620,25835,2371,28476,2264,26708,2186,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,806478,15043,256606,7384,77143,5086,182025,7400,120924,6053,169780,6376,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
