C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,GEO_ID,C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022MA,C08513_023EA,C08513_023MA,C08513_024EA,C08513_024MA,C08513_025EA,C08513_025MA,C08513_026EA,C08513_026MA,C08513_027EA,C08513_027MA,C08513_028EA,C08513_028MA,C08513_029EA,C08513_029MA,C08513_030EA,C08513_030MA,NAME,C08513_001EA,C08513_001MA,C08513_002EA,C08513_002MA,C08513_003EA,C08513_003MA,C08513_004EA,C08513_004MA,C08513_005EA,C08513_005MA,C08513_006EA,C08513_006MA,C08513_007EA,C08513_007MA,C08513_008EA,C08513_008MA,C08513_009EA,C08513_009MA,C08513_010MA,C08513_010EA,C08513_011EA,C08513_011MA,C08513_012EA,C08513_012MA,C08513_013EA,C08513_013MA,C08513_014EA,C08513_014MA,C08513_015EA,C08513_015MA,C08513_016EA,C08513_016MA,C08513_017EA,C08513_017MA,C08513_018EA,C08513_018MA,C08513_019EA,C08513_019MA,C08513_020EA,C08513_020MA,C08513_021EA,C08513_021MA,C08513_022EA,state
5654,21257,2763,14431,2090,6826,1730,253520,8712,229377,8036,24143,3028,18537,2515,5606,1487,0400000US08,2957533,19044,2477951,20581,479582,14593,305289,10417,174293,9970,2217788,20053,1873663,18718,344125,12664,223143,9279,120982,7914,251916,10548,178855,7658,73061,6883,37662,4588,35399,4572,81493,5074,64497,4240,16996,2255,11516,1932,5480,1272,152816,6397,131559,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4914,17012,2312,12703,1911,4309,1246,122285,5492,112787,5434,9498,2069,7449,1890,2049,902,0400000US18,3110716,18136,2822508,18291,288208,8418,185872,8306,102336,6045,2575963,19050,2370088,18531,205875,6422,133864,7014,72011,4851,279617,9259,227659,7518,51958,4817,30311,3691,21647,3281,23092,2619,19227,2373,3865,1053,1545,638,2320,914,109759,5575,92747,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3635,6723,1171,4549,884,2174,899,79764,4166,75226,4229,4538,1315,3290,1205,1248,506,0400000US21,1980353,16709,1851421,16646,128932,5264,77686,4759,51246,3816,1633433,18870,1539380,18592,94053,4715,58098,3982,35955,3013,187344,8488,165604,7948,21740,3058,10449,1785,11291,2374,18696,2570,16818,2352,1878,909,1300,619,578,604,61116,3904,54393,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
4974,9256,2139,6158,1839,3098,1052,66932,4870,60818,4559,6114,1546,4396,1192,1718,983,0400000US22,2002142,18569,1838461,19738,163681,7098,98764,6405,64917,4330,1656149,17739,1538166,17862,117983,6125,75623,5401,42360,3189,181399,8891,152870,8262,28529,3756,11796,2191,16733,3080,23661,2959,21862,2857,1799,854,791,426,1008,713,74001,5691,64745,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
6652,73325,5134,49519,4166,23806,2919,318593,9126,260555,6998,58038,4928,39228,4050,18810,2717,0400000US17,6175357,24033,4666967,25159,1508390,16503,971106,17248,537284,13182,4480777,24809,3445696,21561,1035081,16008,673114,14632,361967,9852,507467,14824,311232,11406,196235,8515,105507,6008,90728,6340,587614,14545,441903,11725,145711,6695,103738,5884,41973,3829,280906,8796,207581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
3560,6859,1312,4127,957,2732,944,81306,3953,77112,3895,4194,1049,3497,983,697,355,0400000US19,1584558,11154,1442568,11451,141990,5885,83639,4702,58351,4869,1292215,12295,1189814,11975,102401,5601,62119,3784,40282,4391,129495,5754,105776,4980,23719,3124,10563,2060,13156,2782,16120,2446,11303,1897,4817,1498,3333,1297,1484,1042,65422,3803,58563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
2899,2148,862,1338,638,810,513,48986,3627,46183,3399,2803,862,2281,777,522,361,0400000US33,678998,8606,623536,8533,55462,3804,36808,3286,18654,2707,544813,8403,503617,8099,41196,3415,28994,2760,12202,2292,53999,4733,45462,4116,8537,1789,4036,1104,4501,1390,3702,1320,2924,1149,778,605,159,151,619,591,27498,2904,25350,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
3872,4630,1244,2544,969,2086,762,48766,4552,44271,4286,4495,1467,2869,978,1626,793,0400000US05,1296811,13164,1178514,13812,118297,5379,61928,4417,56369,4125,1072570,13291,988199,13437,84371,4824,45744,3924,38627,3474,134607,6887,111047,5941,23560,3516,10337,1952,13223,2629,4620,1307,3379,1032,1241,910,434,411,807,806,36248,3928,31618,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2084,2272,814,1421,540,851,548,25739,2523,23024,2492,2715,897,2070,832,645,387,0400000US10,445816,9167,381078,8495,64738,4053,40956,3618,23782,2972,358429,8760,310349,8412,48080,3764,30394,3367,17686,2463,39415,4133,28622,3631,10793,2247,6285,1407,4508,1562,7636,1401,6758,1237,878,450,786,461,92,87,14597,2233,12325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
4266,19697,2667,12886,2307,6811,1598,177705,5568,163028,5564,14677,2082,11116,1827,3561,915,0400000US27,2939577,12818,2594357,15198,345220,7691,212748,6165,132472,6461,2287243,14490,2047092,15364,240151,7144,151037,5749,89114,5116,245736,7117,194170,6160,51566,3906,26721,2768,24845,2519,103468,5425,84339,4734,19129,2489,10988,1637,8141,1742,125425,4812,105728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
