GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001MA,B19101H_001EA,B19101H_002MA,B19101H_002EA,B19101H_003MA,B19101H_003EA,B19101H_004MA,B19101H_004EA,B19101H_005MA,B19101H_005EA,B19101H_006MA,B19101H_006EA,B19101H_007MA,B19101H_007EA,B19101H_008MA,B19101H_008EA,B19101H_009EA,B19101H_009MA,B19101H_010EA,B19101H_010MA,B19101H_011MA,B19101H_011EA,B19101H_012MA,B19101H_012EA,B19101H_013MA,B19101H_013EA,B19101H_014MA,B19101H_014EA,B19101H_015MA,B19101H_015EA,B19101H_016MA,B19101H_016EA,B19101H_017MA,B19101H_017EA,state
0400000US08,997741,9959,16593,2269,11733,1609,14877,2043,18629,2105,19322,2199,26281,2346,26198,2644,29350,2810,29176,2857,60467,3533,97317,3936,152147,5166,134881,4287,96051,4626,123590,4850,141129,5059,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1395416,10488,39372,3447,27870,2699,32572,3212,41041,3346,44600,3052,52665,3125,51736,3422,63004,3598,57860,3377,122321,5611,171342,6511,244476,7705,167079,6192,101966,4846,96273,4061,81239,4295,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,998984,10156,49750,3483,30069,3194,35366,2984,39953,3366,44346,3322,46638,3472,43251,3479,45295,3106,40053,3480,80361,4488,113617,5584,147116,6499,104382,4207,66040,3844,57877,3532,54870,3391,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,705736,8914,24081,2741,15601,2245,20151,2302,26503,3284,26719,2789,27415,2922,28016,2685,26421,2886,26612,3092,50450,3559,71963,4185,103494,5365,85971,5097,53333,3303,61325,4048,57681,3614,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,2063930,12697,42433,2552,33589,3021,37148,2482,47039,3512,50885,3423,60600,3459,61264,4176,66700,3219,60244,3459,138358,5143,206513,6111,305520,7058,259049,7389,184638,6252,229767,7153,280183,6128,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,714393,7296,15748,1552,12156,1748,14132,1756,19665,1671,21124,1986,25802,2402,24669,2284,27383,1835,27904,1941,57728,3200,87517,4072,130636,4956,88813,3611,60011,3353,51458,3242,49647,3112,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,314455,5783,6381,1321,2679,723,4613,1028,5694,1427,8394,1615,8662,1298,7054,1114,11837,1775,9020,1360,20444,2338,30705,2253,49744,3195,42958,3435,31448,2422,36341,2360,38481,2962,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,587954,9191,19133,2602,16249,2086,20047,2531,29311,2660,25149,2538,29054,2522,26877,2596,26728,2329,29931,2831,51069,3129,67478,3598,82084,4513,62506,3315,34507,2419,34949,3412,32882,2924,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,158999,4099,2564,952,2590,672,2129,658,3635,1089,4131,934,4888,1037,6148,1304,4683,919,4698,1331,12329,1679,17613,2168,27288,2497,21093,1996,14777,1843,15077,1741,15356,1774,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1181473,7730,18099,1803,12763,1275,15895,1585,23102,2159,27137,1976,30330,2403,35945,2401,38489,2302,36880,2014,78709,3363,121754,3914,195833,4719,163130,4231,120792,4299,126966,4103,135649,4424,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
