GEO_ID,C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,NAME,C15002F_001EA,C15002F_001MA,C15002F_002EA,C15002F_002MA,C15002F_003EA,C15002F_003MA,C15002F_004MA,C15002F_004EA,C15002F_005EA,C15002F_005MA,C15002F_006EA,C15002F_006MA,C15002F_007EA,C15002F_007MA,C15002F_008MA,C15002F_008EA,C15002F_009MA,C15002F_009EA,C15002F_010EA,C15002F_010MA,C15002F_011EA,C15002F_011MA,state
0400000US08,120625,8095,63659,4590,18963,2575,20038,2450,16741,2721,7917,1803,56966,4632,18867,2394,13562,2268,16571,2726,7966,1408,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,87021,6014,45144,3803,17562,2998,15267,2431,9247,1947,3068,1186,41877,2970,13863,2495,14558,1885,8274,1613,5182,1350,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,24484,3164,15314,2087,7818,1763,3830,1136,2046,746,1620,620,9170,1584,3840,1187,2427,758,1731,765,1172,440,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37317,4517,20164,2705,8188,1912,6257,1516,4482,1352,1237,560,17153,2621,6112,1703,4933,1509,3427,1030,2681,1015,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,420839,14443,218989,8570,82433,5579,75086,4949,43648,3786,17822,2579,201850,8204,69879,4535,61840,4800,44535,3683,25596,3500,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,16976,2960,9161,1695,3851,953,2356,973,1762,741,1192,469,7815,1649,2819,870,2461,773,1266,545,1269,751,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,5458,1653,3368,1169,569,387,1631,836,714,525,454,317,2090,803,753,418,303,216,602,461,432,301,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,42456,3478,22136,2049,9289,1655,7127,1341,3544,1075,2176,1009,20320,2114,9161,1631,4639,1309,5208,1211,1312,574,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,10955,2347,5719,1359,2690,917,1402,574,1102,789,525,300,5236,1266,1841,621,1830,684,965,556,600,429,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,55886,3925,30952,2699,12384,2005,8934,1812,6069,1243,3565,912,24934,2314,9745,1806,6041,1059,5543,1170,3605,889,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
