GEO_ID,C01001B_001E,C01001B_001M,C01001B_002E,C01001B_002M,C01001B_003E,C01001B_003M,C01001B_004E,C01001B_004M,C01001B_005E,C01001B_005M,C01001B_006E,C01001B_006M,C01001B_007E,C01001B_007M,C01001B_008E,C01001B_008M,C01001B_009E,C01001B_009M,NAME,C01001B_001EA,C01001B_001MA,C01001B_002EA,C01001B_002MA,C01001B_003EA,C01001B_003MA,C01001B_004EA,C01001B_004MA,C01001B_005EA,C01001B_005MA,C01001B_006MA,C01001B_006EA,C01001B_007MA,C01001B_007EA,C01001B_008EA,C01001B_008MA,C01001B_009EA,C01001B_009MA,state
0400000US08,237578,6469,123774,3323,27467,2082,87214,2772,9093,511,113804,5030,28969,2797,72796,3187,12039,738,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,637277,7405,304984,4117,90755,3150,187279,2866,26950,1445,332293,5229,88611,3222,204558,3466,39124,1275,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,354761,6583,175286,4076,43481,2759,115639,3030,16166,1312,179475,4235,42455,2334,112860,3120,24160,1365,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1509407,8957,717034,5800,205171,4394,437742,3531,74121,1899,792373,6721,194277,4506,490651,3971,107445,1343,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1793079,10015,841562,6075,218134,4288,533696,3979,89732,926,951517,6847,213541,4775,597299,4098,140677,1367,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,115137,4782,59722,2904,20013,2511,37169,1913,2540,626,55415,3066,18765,1922,33471,2205,3179,495,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,23432,2654,12958,1857,2649,716,9479,1668,830,357,10474,1655,2990,835,7202,1320,282,234,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,456714,6073,216567,4409,62288,3056,132851,2872,21428,1147,240147,3951,59281,2633,150662,2372,30204,1020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,217594,3408,102490,2187,27962,1600,63475,1446,11053,202,115104,2271,27122,1823,72569,1305,15413,355,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,367653,5713,185806,3921,65460,2644,111769,2337,8577,794,181847,3560,60940,2195,109928,2371,10979,958,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,5056,999,3273,769,503,314,2678,776,92,120,1783,716,244,244,1473,659,66,111,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,18954,1759,11386,1528,3658,948,7024,1122,704,343,7568,1079,2215,611,5134,801,219,181,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2222533,13581,1038795,8481,263866,6509,661773,4981,113156,1982,1183738,8612,254005,5516,757123,5490,172610,1858,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,3319691,14563,1558686,9347,429245,6955,993380,7106,136061,2556,1761005,9017,406381,6337,1148325,5155,206299,2230,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,25197,1976,13308,1211,3177,853,8947,973,1184,494,11889,1335,3312,687,7348,980,1229,484,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
