GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001MA,B18101D_001EA,B18101D_002MA,B18101D_002EA,B18101D_003MA,B18101D_003EA,B18101D_004MA,B18101D_004EA,B18101D_005EA,B18101D_005MA,B18101D_006MA,B18101D_006EA,B18101D_007MA,B18101D_007EA,B18101D_008MA,B18101D_008EA,B18101D_009MA,B18101D_009EA,B18101D_010MA,B18101D_010EA,state
0400000US08,178500,5252,36349,3001,822,460,35527,2916,123661,3355,4689,1058,118972,3221,18490,962,4049,844,14441,1137,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,153492,5529,32559,2731,766,452,31793,2762,109645,3709,4084,1404,105561,3717,11288,1415,2880,996,8408,1255,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,65156,3482,15373,1611,414,334,14959,1591,44842,2711,2860,906,41982,2800,4941,1108,1255,699,3686,917,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,75636,3088,14881,1668,588,356,14293,1640,53065,2437,3977,1323,49088,2135,7690,1163,1744,685,5946,1290,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,715235,6707,139127,3739,2838,727,136289,3608,486080,4593,14964,1943,471116,5010,90028,1759,23230,2571,66798,2619,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,79489,3079,16972,1524,583,463,16389,1608,57595,2615,3388,1205,54207,2664,4922,1118,1431,681,3491,989,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,35998,2297,7924,1385,129,213,7795,1421,25907,1622,474,275,25433,1605,2167,604,544,282,1623,620,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,47277,2611,9857,1404,122,119,9735,1378,34244,2463,2129,848,32115,2177,3176,1056,1259,689,1917,666,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,38909,1597,8323,821,314,262,8009,791,26249,994,976,427,25273,1076,4337,451,1023,433,3314,501,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,272042,4394,72630,2613,2243,781,70387,2756,182442,2973,12407,1972,170035,3425,16970,1217,5942,947,11028,1258,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,8501,1307,1741,871,172,247,1569,812,5477,902,457,287,5020,810,1283,584,238,281,1045,539,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,15675,1316,3090,659,526,351,2564,517,10763,1195,637,368,10126,1217,1822,659,806,578,1016,530,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,303482,5022,71078,3262,944,405,70134,3212,206877,3535,8489,1700,198388,3585,25527,1614,4934,1150,20593,1733,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
