GEO_ID,C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,NAME,C01001H_001EA,C01001H_001MA,C01001H_002EA,C01001H_002MA,C01001H_003EA,C01001H_003MA,C01001H_004EA,C01001H_004MA,C01001H_005EA,C01001H_005MA,C01001H_006EA,C01001H_006MA,C01001H_007MA,C01001H_007EA,C01001H_008MA,C01001H_008EA,C01001H_009EA,C01001H_009MA,state
0400000US08,3859171,2530,1937659,1860,362410,1644,1265548,892,309701,377,1921512,2452,344856,1646,1214238,1739,362418,366,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,5266285,4452,2591500,3300,569050,2165,1603661,1829,418789,821,2674785,2938,537375,2210,1609137,1417,528273,202,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3776055,2079,1852491,2794,406022,2284,1147449,1370,299020,353,1923564,2201,384303,1976,1165385,1106,373876,432,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2720774,2746,1338727,2429,284477,2431,828305,653,225945,309,1382047,2856,269656,2578,834227,807,278164,408,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,7760732,3669,3816589,2360,750539,1449,2395924,2022,670126,304,3944143,2792,708846,1546,2386900,1770,848397,377,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2695583,2165,1333402,1413,291728,1416,809719,905,231955,154,1362181,2202,275368,1642,800860,966,285953,263,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1217767,1255,600980,1457,111484,839,381327,1055,108169,198,616787,986,106085,888,382620,343,128082,184,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2174167,1149,1066597,1629,226078,1587,644156,480,196363,13,1107570,1681,215871,1554,649907,538,241792,74,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,598105,652,289321,336,50392,274,173727,185,65202,200,308784,390,48710,105,181305,376,78769,59,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,4455388,2053,2211442,1485,457477,593,1375736,911,378229,256,2243946,1059,435709,566,1354702,827,453535,193,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,912200,764,459226,700,91436,586,277435,440,90355,140,452974,789,87087,636,268978,372,96909,215,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1245001,1050,608983,630,113538,537,373214,275,122231,80,636018,730,106557,580,382939,239,146522,170,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,6505973,4099,3179458,3192,607853,2701,1985895,1210,585710,216,3326515,3283,577401,2469,2018920,1904,730194,644,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,5493804,4489,2705337,3493,561216,2965,1687995,1840,456126,526,2788467,3973,525343,3166,1700148,1389,562976,420,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,443304,640,235134,560,45888,456,155982,710,33264,451,208170,548,43572,392,133384,297,31214,218,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,3192169,2083,1564372,2088,325585,1999,955214,806,283573,311,1627797,2361,301210,2236,971062,811,355525,319,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
