GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002MA,B27001G_002EA,B27001G_003MA,B27001G_003EA,B27001G_004MA,B27001G_004EA,B27001G_005MA,B27001G_005EA,B27001G_006MA,B27001G_006EA,B27001G_007EA,B27001G_007MA,B27001G_008EA,B27001G_008MA,B27001G_009EA,B27001G_009MA,B27001G_010MA,B27001G_010EA,B27001G_011MA,B27001G_011EA,B27001G_012EA,B27001G_012MA,B27001G_013EA,B27001G_013MA,B27001G_014EA,B27001G_014MA,B27001G_015MA,B27001G_015EA,B27001G_016MA,B27001G_016EA,B27001G_017MA,B27001G_017EA,B27001G_018EA,B27001G_018MA,B27001G_019EA,B27001G_019MA,B27001G_020MA,B27001G_020EA,B27001G_021MA,B27001G_021EA,B27001G_022EA,B27001G_022MA,B27001G_023EA,B27001G_023MA,B27001G_024EA,B27001G_024MA,B27001G_025MA,B27001G_025EA,B27001G_026MA,B27001G_026EA,B27001G_027EA,B27001G_027MA,B27001G_028MA,B27001G_028EA,state
0400000US08,224384,10897,34893,3325,33877,3347,1016,635,71118,5607,67391,5653,3727,1334,25728,2972,23391,2768,2337,921,28418,2760,25384,2623,3034,951,25064,2808,23524,2814,1540,648,17821,2230,16308,2113,1513,738,12320,2414,11429,2336,891,477,6621,1145,6561,1139,60,105,2401,803,2043,653,358,449,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,179042,10238,33519,3781,31780,3835,1739,837,63823,4815,60413,4778,3410,922,22458,2567,18871,2482,3587,1183,18841,2877,16372,2701,2469,963,15343,2688,12659,2309,2684,1308,10011,1527,8969,1546,1042,514,9474,1712,8745,1697,729,419,4013,1018,3850,955,163,250,1560,632,1560,632,0,198,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106049,7126,20883,2621,20299,2510,584,568,39525,4009,38609,4025,916,476,11695,1708,10670,1676,1025,623,10856,2295,9734,2133,1122,901,6835,1514,5733,1416,1102,685,5765,1634,4969,1547,796,699,6052,1414,6052,1414,0,197,3129,914,3084,920,45,82,1309,651,1309,651,0,197,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,104029,7729,18489,3436,18456,3425,33,57,37648,4265,36737,4183,911,718,11183,2134,10099,2045,1084,679,10363,1747,8723,1547,1640,732,9058,1685,7854,1686,1204,613,6382,1382,5364,1158,1018,556,5402,1283,4853,1185,549,357,3597,1063,3566,1062,31,75,1907,737,1635,602,272,374,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,337696,12625,60839,4279,59173,4326,1666,902,110119,6638,108359,6559,1760,687,37529,3393,32627,3147,4902,1306,44323,4060,39304,3629,5019,1357,32156,3112,29480,2844,2676,893,21993,2374,20245,2277,1748,797,15539,2167,14850,2180,689,332,11066,1546,10994,1540,72,119,4132,882,4132,882,0,190,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,68482,5596,15810,2768,15438,2780,372,289,24428,2833,24272,2796,156,193,9849,1769,9285,1717,564,389,6205,1249,5290,1338,915,529,5292,1319,4887,1330,405,248,2653,773,2531,742,122,146,2326,778,2266,766,60,78,1226,476,1226,476,0,163,693,357,693,357,0,163,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,29204,3289,3258,1030,3258,1030,0,192,10606,1813,9957,1909,649,528,3516,991,3163,1018,353,313,3072,982,2758,930,314,298,2467,1017,2213,925,254,309,2200,760,1960,751,240,290,2434,941,2307,949,127,171,1023,543,1023,543,0,192,628,459,552,433,76,129,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,87717,5903,13263,2447,12298,2214,965,821,31405,3945,29963,3675,1442,1027,8905,1572,7394,1558,1511,670,8152,1715,6334,1621,1818,689,6744,1311,5118,1289,1626,547,7769,1518,6371,1402,1398,607,6270,1301,6148,1323,122,199,3894,955,3777,941,117,163,1315,493,1315,493,0,201,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,25633,3652,3503,1174,3339,1151,164,242,9166,2114,9030,2102,136,225,3934,1306,3805,1262,129,171,3224,1169,2769,1125,455,398,1852,567,1706,597,146,171,1907,844,1771,800,136,219,1160,583,1093,575,67,107,735,381,735,381,0,200,152,140,152,140,0,200,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,173465,8704,33353,2803,32569,2803,784,397,61430,4526,59269,4398,2161,851,21595,2574,19670,2640,1925,785,20118,2192,18623,2087,1495,495,15045,2096,13886,1986,1159,497,9905,1668,9179,1620,726,322,6661,1410,6282,1422,379,212,3850,861,3850,861,0,147,1508,467,1476,467,32,42,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,32155,3341,4227,1070,4227,1070,0,172,8929,1915,8576,1944,353,251,3786,1020,3333,1037,453,362,2874,906,2591,851,283,282,3534,1153,3235,1107,299,269,2694,933,2315,908,379,304,3359,834,3034,823,325,213,2021,647,2021,647,0,172,731,379,731,379,0,172,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,29167,2686,4492,1029,4218,1002,274,237,7378,1280,6552,1295,826,511,2372,697,1822,649,550,378,3757,776,2683,765,1074,568,3797,1052,3272,1046,525,336,2371,706,1874,682,497,279,3072,1051,2501,1028,571,362,1421,502,1421,502,0,170,507,282,507,282,0,170,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,290041,12935,57394,4802,55979,4733,1415,680,93262,6314,88469,6183,4793,1551,35950,4298,30602,4293,5348,1206,32710,3317,26465,3013,6245,1673,24798,2942,19343,2600,5455,1405,20664,3121,17822,3105,2842,896,12407,1909,11206,1898,1201,539,8018,1371,7957,1368,61,96,4838,1265,4838,1265,0,210,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,281635,13813,48765,5383,45579,5378,3186,1255,95291,6541,90080,6310,5211,1927,33011,4329,25601,3660,7410,1721,35389,4141,26089,3396,9300,2015,25717,3119,21834,3021,3883,1023,17913,2371,15943,2353,1970,701,13138,2282,11126,1975,2012,1011,8675,1778,8453,1727,222,234,3736,1257,3736,1257,0,226,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,60432,4646,10389,1441,8895,1642,1494,895,19300,2257,17230,2353,2070,828,7037,1529,5301,1358,1736,683,7064,1312,5418,1187,1646,535,6139,1326,4912,1230,1227,511,4404,889,3349,886,1055,516,3787,927,2870,773,917,438,1646,795,1633,799,13,25,666,444,666,444,0,157,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
