GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001EA,C15002G_001MA,C15002G_002EA,C15002G_002MA,C15002G_003EA,C15002G_003MA,C15002G_004EA,C15002G_004MA,C15002G_005EA,C15002G_005MA,C15002G_006EA,C15002G_006MA,C15002G_007EA,C15002G_007MA,C15002G_008EA,C15002G_008MA,C15002G_009MA,C15002G_009EA,C15002G_010MA,C15002G_010EA,C15002G_011MA,C15002G_011EA,state
0400000US08,98915,6425,47916,4199,5350,1890,9932,1680,16483,2332,16151,2190,50999,3605,5074,1591,9410,1505,17085,1659,19430,1920,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,62514,4801,28618,3369,4229,1047,7936,1912,8224,1534,8229,1771,33896,3046,4636,1295,6114,1399,13839,1894,9307,1876,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,36712,4293,16730,2793,2538,1143,3996,893,5806,1672,4390,1187,19982,2748,2962,948,4133,1117,8278,1905,4609,1241,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,38505,3621,18597,2285,1910,707,5568,1235,6525,1580,4594,1085,19908,2551,2101,885,4814,1088,6108,1444,6885,1292,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,136617,7239,66309,4746,7720,1142,14505,1971,19366,2357,24718,3028,70308,4186,6307,1188,14235,2408,22513,2266,27253,2497,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,19935,2480,9111,1638,1096,459,2431,768,2615,862,2969,1149,10824,1675,951,567,1478,616,5058,1376,3337,1015,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,12913,1976,7262,1437,729,537,2770,1066,1501,580,2262,785,5651,1350,912,696,1483,600,1343,645,1913,802,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,35377,3092,17680,2212,2870,940,6097,1118,5430,1306,3283,1079,17697,1980,1739,645,4364,971,8340,1299,3254,884,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,9575,1558,5621,1243,609,468,1570,584,1945,837,1497,659,3954,886,857,547,1000,527,919,391,1178,565,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,60967,4107,30338,3006,2815,799,7141,1275,10033,1842,10349,1829,30629,2655,2268,891,6478,1180,10888,1730,10995,1479,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,15630,1747,7837,1396,654,503,2732,802,2968,821,1483,570,7793,1142,440,271,2082,737,3388,874,1883,676,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,15793,1794,7135,1262,538,288,2286,673,2532,888,1779,678,8658,1432,579,319,1952,653,3823,1072,2304,881,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,113394,7498,55401,4856,7568,1762,15571,2716,15840,2181,16422,2578,57993,4395,5236,1396,11031,1926,22124,2592,19602,2439,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,110655,7187,53884,4599,6182,1509,12082,2232,16079,2485,19541,2763,56771,4573,5083,1445,9396,1852,19696,2576,22596,2973,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,25355,2680,13232,1671,680,331,4790,952,5082,1033,2680,876,12123,1646,808,407,2996,1009,4997,1012,3322,854,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,43892,3954,19443,2209,3326,1073,4352,932,6810,1485,4955,1074,24449,2955,3977,1168,6478,1468,7831,1685,6163,1605,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,6630,1019,3153,1003,341,416,582,273,925,464,1305,689,3477,735,325,227,867,423,341,277,1944,670,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,67795,4780,31871,3149,2926,785,7593,1277,13468,2139,7884,1799,35924,3087,3633,1206,9652,1419,12812,1746,9827,1680,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,12276,2001,6227,1326,738,462,1714,718,2041,936,1734,701,6049,1514,901,569,2257,1056,1672,742,1219,559,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,136633,4542,66063,2868,7488,1117,21624,1754,21925,1876,15026,1570,70570,3442,6589,1027,19577,1944,24847,2346,19557,1972,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
