GEO_ID,C27001_001E,C27001_001M,C27001_002E,C27001_002M,C27001_003E,C27001_003M,C27001_004E,C27001_004M,C27001_005E,C27001_005M,C27001_006E,C27001_006M,C27001_007E,C27001_007M,C27001_008E,C27001_008M,C27001_009E,C27001_009M,C27001_010E,C27001_010M,C27001_011E,C27001_011M,C27001_012E,C27001_012M,C27001_013E,C27001_013M,C27001_014E,C27001_014M,C27001_015E,C27001_015M,C27001_016E,C27001_016M,C27001_017E,C27001_017M,C27001_018E,C27001_018M,C27001_019E,C27001_019M,C27001_020E,C27001_020M,C27001_021E,C27001_021M,NAME,C27001_001EA,C27001_001MA,C27001_002EA,C27001_002MA,C27001_003EA,C27001_003MA,C27001_004MA,C27001_004EA,C27001_005EA,C27001_005MA,C27001_006EA,C27001_006MA,C27001_007EA,C27001_007MA,C27001_008EA,C27001_008MA,C27001_009EA,C27001_009MA,C27001_010EA,C27001_010MA,C27001_011EA,C27001_011MA,C27001_012EA,C27001_012MA,C27001_013EA,C27001_013MA,C27001_014EA,C27001_014MA,C27001_015MA,C27001_015EA,C27001_016EA,C27001_016MA,C27001_017EA,C27001_017MA,C27001_018EA,C27001_018MA,C27001_019EA,C27001_019MA,C27001_020EA,C27001_020MA,C27001_021EA,C27001_021MA,state
0400000US08,5604105,2082,2794853,5393,689479,4825,658173,6265,31306,3861,1740818,4923,1534413,10374,206405,9107,364556,1466,362453,1703,2103,829,2809252,4984,655579,5202,624653,7238,30926,4028,1724599,4440,1578162,7635,146437,7307,429074,1808,424607,2087,4467,1250,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6592504,1089,3231118,5706,850327,5407,795940,6344,54387,3993,1931120,5133,1699088,9665,232032,9545,449671,2582,446819,2642,2852,853,3361386,5708,810049,5289,755442,7045,54607,4944,1985120,4474,1787448,9705,197672,8756,566217,2122,562644,2507,3573,1132,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4388204,1183,2142570,5021,547439,4809,527179,5978,20260,3239,1279495,3802,1162028,7229,117467,5769,315636,1680,314796,1692,840,478,2245634,5101,518655,4640,498891,5256,19764,2701,1333099,4411,1245317,6891,87782,5566,393880,2043,392352,2133,1528,677,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4556078,1982,2194791,6928,596489,6078,576547,6680,19942,2723,1291675,5183,1105350,8563,186325,7921,306627,2448,304823,2722,1804,969,2361287,6963,564005,6317,544743,6126,19262,2859,1405024,4938,1271615,8282,133409,7428,392258,2581,389638,2749,2620,945,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,12563908,1621,6148424,5170,1548178,5049,1494768,6906,53410,4499,3754521,4868,3330351,11949,424170,11934,845725,2427,838633,2439,7092,1599,6415484,5220,1479566,5816,1430510,6766,49056,4406,3856107,5191,3525523,12388,330584,11282,1079811,3233,1069515,3755,10296,1743,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,3113029,531,1540690,3831,400465,4034,388273,4656,12192,2273,907758,3810,835973,5350,71785,4581,232467,1499,231894,1545,573,295,1572339,3755,380297,3470,371467,3633,8830,1716,908804,2992,855777,4773,53027,3764,283238,1719,282606,1736,632,417,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1339549,562,659292,2375,140627,1960,138186,2007,2441,768,409590,2410,368533,3662,41057,3012,109075,974,108749,1003,326,295,680257,2304,139280,2217,134465,2176,4815,1404,413117,2064,385247,2717,27870,2403,127860,1097,127358,1109,502,308,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2960503,988,1441597,4491,379021,4173,361640,4620,17381,3137,840718,4243,720450,7334,120268,6291,221858,1991,220089,2055,1769,689,1518906,4340,367733,3729,351399,4060,16334,2477,882139,3631,795172,5946,86967,4583,269034,1977,268168,2041,866,416,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,952211,1135,456419,2074,108013,1518,104438,1830,3575,1147,268647,1688,242694,3363,25953,2844,79759,817,79232,782,527,429,495792,1400,107117,1727,102854,2484,4263,1484,291547,1196,272243,3444,19304,3100,97128,703,96788,754,340,285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5553564,740,2761536,3436,704382,3619,680972,4325,23410,2555,1663527,3713,1545198,6782,118329,5336,393627,1810,392465,1775,1162,514,2792028,3590,671732,3241,649948,3261,21784,2173,1655571,3428,1577525,5290,78046,4346,464725,2044,463077,1977,1648,866,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
