GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001MA,B15002G_001EA,B15002G_002EA,B15002G_002MA,B15002G_003EA,B15002G_003MA,B15002G_004EA,B15002G_004MA,B15002G_005EA,B15002G_005MA,B15002G_006EA,B15002G_006MA,B15002G_007EA,B15002G_007MA,B15002G_008EA,B15002G_008MA,B15002G_009EA,B15002G_009MA,B15002G_010EA,B15002G_010MA,B15002G_011EA,B15002G_011MA,B15002G_012MA,B15002G_012EA,B15002G_013EA,B15002G_013MA,B15002G_014EA,B15002G_014MA,B15002G_015EA,B15002G_015MA,B15002G_016EA,B15002G_016MA,B15002G_017EA,B15002G_017MA,B15002G_018EA,B15002G_018MA,B15002G_019EA,B15002G_019MA,state
0400000US08,98915,6425,47916,4199,2587,1007,2763,1160,6143,1331,3789,1045,11546,1939,4937,1252,10551,1948,5600,1215,50999,3605,2409,1103,2665,882,7209,1189,2201,982,12543,1558,4542,892,12253,1702,7177,1314,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,62514,4801,28618,3369,1924,902,2305,744,5878,1724,2058,805,6655,1324,1569,693,5818,1328,2411,1039,33896,3046,1874,886,2762,979,4920,1357,1194,467,9160,1704,4679,1225,6590,1650,2717,841,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,36712,4293,16730,2793,510,347,2028,1078,2875,787,1121,518,5232,1676,574,379,2813,937,1577,713,19982,2748,1165,710,1797,783,3537,1054,596,285,5607,1624,2671,912,3121,916,1488,722,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,38505,3621,18597,2285,775,388,1135,565,4298,1101,1270,612,4793,1365,1732,786,3351,876,1243,592,19908,2551,688,512,1413,696,4204,1117,610,412,4364,1298,1744,645,4494,1071,2391,671,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,136617,7239,66309,4746,2968,834,4752,1042,11454,1844,3051,824,14336,2173,5030,1050,16090,2396,8628,1937,70308,4186,3402,1101,2905,728,12065,2173,2170,695,14849,1815,7664,1747,16539,2114,10714,1670,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,19935,2480,9111,1638,345,220,751,413,1628,599,803,451,1737,675,878,437,1974,959,995,490,10824,1675,115,119,836,560,1258,550,220,248,3389,900,1669,950,2563,900,774,441,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,12913,1976,7262,1437,159,219,570,495,2025,931,745,548,999,495,502,408,1193,585,1069,472,5651,1350,770,613,142,212,1197,621,286,265,1068,572,275,259,1037,525,876,497,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,35377,3092,17680,2212,1357,541,1513,697,4763,1093,1334,476,3578,1019,1852,964,1821,760,1462,779,17697,1980,603,301,1136,557,3478,878,886,491,6471,1085,1869,795,1873,720,1381,674,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,9575,1558,5621,1243,61,77,548,454,1438,582,132,135,1598,771,347,348,1133,630,364,259,3954,886,754,544,103,128,933,512,67,107,637,343,282,206,539,335,639,435,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,60967,4107,30338,3006,831,436,1984,749,5786,1088,1355,536,7016,1417,3017,865,7092,1557,3257,861,30629,2655,835,423,1433,760,5672,1098,806,347,7050,1146,3838,1273,6568,1165,4427,935,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
