GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001MA,B12002H_001EA,B12002H_002MA,B12002H_002EA,B12002H_003MA,B12002H_003EA,B12002H_004EA,B12002H_004MA,B12002H_005EA,B12002H_005MA,B12002H_006EA,B12002H_006MA,B12002H_007MA,B12002H_007EA,B12002H_008MA,B12002H_008EA,B12002H_009MA,B12002H_009EA,B12002H_010EA,B12002H_010MA,B12002H_011MA,B12002H_011EA,B12002H_012MA,B12002H_012EA,B12002H_013MA,B12002H_013EA,state
0400000US08,3273566,2022,1637406,1373,540567,7844,868432,10182,14434,2209,39341,2991,174632,6296,1636160,2068,425894,6384,845653,9391,18956,2468,119223,4269,226434,6989,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,4355901,3200,2123459,2637,661316,7766,1126274,12671,17154,2046,66046,3499,252669,7589,2232442,2098,546885,8310,1139592,13710,29197,3102,213014,6022,303754,8572,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,3121320,1922,1517130,2315,449768,8234,808944,8870,25720,2691,49322,3418,183376,7380,1604190,1732,373590,7272,804411,12137,37740,3264,167456,4671,220993,7532,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2261496,1828,1102724,1463,343046,8294,586699,10332,15290,2441,35310,2861,122379,5839,1158772,1870,284663,7209,580668,10826,22871,3201,118895,4725,151675,7117,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,6564149,3199,3202023,2203,1035505,8761,1738431,12484,29821,2705,96024,4560,302242,7166,3362126,2337,869919,9210,1723712,12623,36030,2975,336403,6423,396062,9269,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2226653,1588,1092531,1237,343716,5999,588351,8596,9331,1196,34450,2888,116683,4559,1134122,1386,279410,4867,592515,7430,10282,1467,113876,3908,138039,4669,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1042026,1124,510655,1301,167561,4299,268626,6077,4260,993,13783,1607,56425,3998,531371,649,138519,4032,268285,6175,6360,1444,48334,2871,69873,4012,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,1809107,1293,879159,1269,234969,6235,486253,8018,15415,2452,30602,2783,111920,5617,929948,1338,190993,5208,475369,8551,18152,2320,104272,3914,141162,6184,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,516730,462,248002,220,79196,3442,134221,4265,2321,704,8639,1269,23625,2305,268728,373,66671,3564,135320,4236,4454,1344,26782,2109,35501,2723,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,3716561,1458,1833027,1059,589584,6328,1004842,8258,11949,1493,47755,2917,178897,6051,1883534,845,486930,6423,1009741,9312,15502,2007,154941,3787,216420,6254,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,764032,710,382864,655,112860,3438,208629,4508,3834,827,12249,1541,45292,3090,381168,686,87280,2935,202192,5021,5208,1143,36766,2282,49722,3803,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,1065429,473,516731,458,160310,4438,265575,6282,5262,1419,17458,1977,68126,3821,548698,410,133790,3789,271196,5986,4363,1199,53519,3191,85830,4053,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
