GEO_ID,B10051A_001E,B10051A_001M,B10051A_002E,B10051A_002M,B10051A_003E,B10051A_003M,B10051A_004E,B10051A_004M,B10051A_005E,B10051A_005M,B10051A_006E,B10051A_006M,B10051A_007E,B10051A_007M,NAME,B10051A_001MA,B10051A_001EA,B10051A_002MA,B10051A_002EA,B10051A_003MA,B10051A_003EA,B10051A_004MA,B10051A_004EA,B10051A_005MA,B10051A_005EA,B10051A_006MA,B10051A_006EA,B10051A_007MA,B10051A_007EA,state
0400000US08,77363,6188,23753,3329,13398,2458,10355,1876,53610,5097,22117,3212,31493,3757,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,100497,5507,49488,3819,29566,3152,19922,2391,51009,4500,24136,3419,26873,3101,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,93774,5363,52590,3993,29242,2980,23348,2836,41184,3714,19587,2839,21597,2257,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57377,5437,28471,3571,15075,2593,13396,2537,28906,3863,12370,2138,16536,2788,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,141862,7445,47654,4297,27065,3290,20589,2785,94208,5871,39329,3692,54879,4332,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,34002,3436,12098,1744,6963,1379,5135,1235,21904,2705,10896,1939,11008,1754,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,19262,2440,6322,1572,3608,1198,2714,813,12940,2024,4629,1238,8311,1582,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,51222,4752,26494,3333,14359,2358,12135,2000,24728,3514,13481,2665,11247,2381,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,12347,1934,5080,1233,2327,846,2753,936,7267,1491,2605,991,4662,1215,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,47037,3780,18351,2244,9042,1498,9309,1623,28686,2816,11412,2194,17274,1792,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
