GEO_ID,C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,NAME,C25074_001MA,C25074_001EA,C25074_002MA,C25074_002EA,C25074_003MA,C25074_003EA,C25074_004MA,C25074_004EA,C25074_005MA,C25074_005EA,C25074_006MA,C25074_006EA,C25074_007MA,C25074_007EA,C25074_008MA,C25074_008EA,C25074_009MA,C25074_009EA,C25074_010MA,C25074_010EA,C25074_011EA,C25074_011MA,C25074_012MA,C25074_012EA,C25074_013MA,C25074_013EA,C25074_014MA,C25074_014EA,C25074_015MA,C25074_015EA,C25074_016EA,C25074_016MA,C25074_017EA,C25074_017MA,C25074_018EA,C25074_018MA,C25074_019EA,C25074_019MA,C25074_020EA,C25074_020MA,C25074_021EA,C25074_021MA,C25074_022MA,C25074_022EA,C25074_023EA,C25074_023MA,C25074_024EA,C25074_024MA,C25074_025EA,C25074_025MA,state
0400000US08,758776,10471,66691,5001,5618,1228,45872,4305,15201,2161,83485,4684,10132,1901,69773,4325,3580,931,128483,5887,16031,2110,107946,5501,4506,946,119659,5160,37162,3063,78528,5125,3969,960,150610,6133,90293,4815,56096,4166,4221,1064,209848,7000,193136,6977,13028,1914,3684,959,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,807420,11150,102062,5798,6368,1315,68860,3982,26834,3242,135385,5180,15486,2276,110977,5031,8922,1476,181519,6939,49350,3617,122651,6318,9518,1526,133363,6219,93289,4688,34040,3834,6034,1244,134999,5381,119834,4713,9055,1850,6110,1180,120092,5862,113240,5756,1382,651,5470,1187,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,564984,10983,88085,5113,6468,1394,55149,4209,26468,2492,95383,4205,14612,1828,71688,3925,9083,1421,119770,4706,37528,2840,71471,4075,10771,1868,89844,4853,65108,4442,17870,2199,6866,1493,91486,4125,79594,3790,5091,1268,6801,1202,80416,4532,74483,4379,591,302,5342,1075,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,599696,11233,101375,5665,4478,1009,62469,4782,34428,3440,114171,6304,11284,1899,89734,5992,13153,1804,142219,7435,31643,3728,98562,6378,12014,1683,82835,5355,46386,4482,29491,2955,6958,1553,79641,5052,62714,4301,9086,1515,7841,1241,79455,5706,73254,5515,1349,574,4852,1236,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,1654751,16516,210637,8804,12945,1793,134257,6676,63435,4620,227929,8276,33329,3199,185658,7579,8942,1332,322417,10610,66998,4422,242219,9457,13200,1824,230920,7825,123315,5523,100077,5681,7528,1181,286239,8291,223481,7976,52551,3569,10207,1455,376609,9964,348367,9969,15560,2346,12682,1698,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,364122,7753,45227,2882,3256,953,32371,2905,9600,1517,60211,3544,7893,1196,49120,3273,3198,843,76258,4019,27147,2441,44879,3584,4232,815,57814,3565,41957,3044,11812,1801,4045,1026,66127,4045,59172,3827,3071,867,3884,783,58485,3258,52957,3049,618,456,4910,971,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,152470,5181,14168,2109,687,453,9954,1793,3527,1023,23615,2508,5341,1145,17467,2407,807,387,28817,2846,6216,1442,21991,2411,610,307,21917,2423,9216,1749,12163,2043,538,229,26467,2702,19123,1990,6518,1571,826,433,37486,2760,35355,2637,1099,533,1032,444,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,395946,7521,59107,4536,5129,1469,39647,3303,14331,2490,75032,5307,9904,1376,58567,4788,6561,1226,88645,4242,30956,2596,49335,3397,8354,1361,66753,4733,49471,4107,12727,2257,4555,1109,59564,4562,52973,4495,2016,735,4575,1012,46845,3755,43488,3668,94,156,3263,733,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,106526,4571,13111,2254,694,531,9271,1917,3146,980,13481,1901,1228,507,11204,1939,1049,597,22974,2360,3183,978,18810,2483,981,483,14665,2288,5989,1350,8130,1581,546,284,17569,2642,12489,2156,4350,1220,730,333,24726,2557,23717,2585,769,527,240,244,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,626513,8243,61740,3972,4095,979,44713,3524,12932,1697,94083,4092,20579,2002,69751,3555,3753,759,126753,5146,29198,2596,93167,4826,4388,843,101032,5567,55277,3918,41624,3732,4131,868,110977,4855,85911,3879,20028,2539,5038,739,131928,5558,123048,5517,3611,918,5269,856,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
