GEO_ID,C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,NAME,C17016_001EA,C17016_001MA,C17016_002EA,C17016_002MA,C17016_003MA,C17016_003EA,C17016_004MA,C17016_004EA,C17016_005EA,C17016_005MA,C17016_006EA,C17016_006MA,C17016_007EA,C17016_007MA,C17016_008EA,C17016_008MA,C17016_009EA,C17016_009MA,state
0400000US08,1372705,11369,85547,4645,16407,2506,32094,2710,37046,3150,1287158,12066,743144,10399,251577,8033,292437,6652,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,156585,6413,31372,2944,56653,3794,68560,4624,1526591,12372,890500,12525,262287,8415,373804,7526,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,143499,6052,20519,2464,44436,4008,78544,4192,995428,11461,546609,9925,156326,5714,292493,7079,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,150690,6789,30258,3610,39373,3985,81059,4254,954157,12371,533024,12680,146853,5644,274280,7903,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,264678,8286,49638,4411,93284,5007,121756,6245,2854423,16905,1650886,14576,516705,10399,686832,9762,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,57311,3654,12298,1921,22898,2022,22115,2057,743018,8166,443269,7343,134960,4979,164789,4428,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,16178,1948,1316,483,6164,1426,8698,1482,325574,5975,185062,5259,64123,3448,76389,3056,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,97453,5721,19732,2805,29314,2954,48407,3933,671681,9873,372778,9945,99464,4532,199439,6741,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,20026,2424,3840,1073,7605,1655,8581,1667,218373,5852,115603,4877,36006,3075,66764,3251,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,79752,4368,15332,1946,33189,2850,31231,2692,1317075,9514,771702,9398,263066,6698,282307,6189,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,5250,20411,2093,3757,904,6690,1316,9964,1788,245232,5528,125303,4386,55312,3199,64617,2911,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,6065,25166,2433,3419,1038,9343,1628,12404,1953,317376,5824,166516,5065,66673,3687,84187,3039,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,20703,266430,10873,54080,4502,85840,6056,126510,6123,2355865,20602,1327144,15975,394509,10561,634212,11519,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2537406,21205,275202,8546,61018,5051,87941,4698,126243,5654,2262204,21079,1368447,18380,341142,10241,552615,11298,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,167527,4191,12621,1743,1412,653,5106,1021,6103,1135,154906,4331,84561,3869,35484,2824,34861,2626,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1214794,12486,148603,5524,27150,3465,40500,3367,80953,4455,1066191,13354,578777,12623,150699,6608,336715,7933,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,155804,3606,9658,1519,885,393,3708,1069,5065,1020,146146,3549,77657,3110,34594,2374,33895,2086,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,706638,8667,64271,3303,12840,1759,20854,2163,30577,2406,642367,8611,357740,7535,116333,5925,168294,5052,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,461911,6789,60272,4189,7995,1593,15055,2284,37222,3176,401639,6907,190862,6041,60191,4077,150586,4823,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,983307,7405,112542,4172,23182,1977,37262,2805,52098,2575,870765,7305,500192,7707,132085,4938,238488,5191,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1487370,10614,103509,4884,20748,2046,39938,2837,42823,2823,1383861,10404,793551,9977,256873,6377,333437,5789,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,791354,11339,314362,8322,33459,3016,64452,4067,216451,6946,476992,9063,204395,6715,48575,3691,224022,6213,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,2094307,16182,148530,6199,27013,3344,47730,3527,73787,4535,1945777,15975,1164595,16074,317000,7687,464182,8581,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,187919,5457,10750,1615,1946,663,4370,1200,4434,1042,177169,5279,111052,4600,32019,2365,34098,1926,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1258273,13739,136160,5539,27204,3253,39625,3635,69331,4467,1122113,13870,609616,11811,179955,7198,332542,8490,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
