GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001MA,B10059_001EA,B10059_002MA,B10059_002EA,B10059_003MA,B10059_003EA,B10059_004MA,B10059_004EA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007EA,B10059_007MA,B10059_008MA,B10059_008EA,B10059_009EA,B10059_009MA,B10059_010EA,B10059_010MA,B10059_011EA,B10059_011MA,state
0400000US08,98651,6801,11272,2314,5343,1587,3992,1454,1351,550,5929,1480,87379,6652,26709,3615,14514,2746,12195,1844,60670,5500,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,126941,5932,19364,2582,12654,1775,8910,1575,3744,903,6710,1503,107577,5744,47715,3899,27449,3267,20266,2539,59862,5106,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,106559,5979,22373,2679,14348,1963,7696,1544,6652,1507,8025,1822,84186,5399,43511,3637,24236,2553,19275,2398,40675,3739,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,106403,8195,21876,2967,13785,2454,7168,1735,6617,1832,8091,1590,84527,7335,36886,3933,19733,3004,17153,2480,47641,5052,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,245054,11087,29727,4000,13012,2319,8009,1915,5003,1403,16715,2612,215327,10889,64100,5196,36295,4159,27805,3168,151227,8185,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,38781,3299,3161,896,1534,589,1025,531,509,346,1627,648,35620,3341,12136,1801,7202,1490,4934,1213,23484,2697,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,21308,2626,1221,814,413,416,288,340,125,149,808,671,20087,2437,6410,1601,3754,1226,2656,820,13677,1990,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,68089,5521,14824,2788,8818,2209,5450,1665,3368,1178,6006,1763,53265,4732,25426,3073,13928,2294,11498,1996,27839,3295,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,20234,2794,2807,1223,2097,1075,1571,1039,526,372,710,433,17427,2556,6821,1678,2781,874,4040,1290,10606,1974,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,68023,4546,5266,1196,3243,935,2193,806,1050,420,2023,694,62757,4371,20943,2497,10939,1695,10004,1561,41814,3425,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,17323,2005,2473,799,1541,709,609,344,932,601,932,428,14850,1982,8046,1611,3533,1123,4513,1131,6804,1318,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,19233,2422,1934,821,1030,610,728,480,302,252,904,513,17299,2191,4638,1239,2051,700,2587,902,12661,1877,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
