GEO_ID,C17026_001E,C17026_001M,C17026_002E,C17026_002M,C17026_003E,C17026_003M,C17026_004E,C17026_004M,C17026_005E,C17026_005M,C17026_006E,C17026_006M,C17026_007E,C17026_007M,C17026_008E,C17026_008M,NAME,C17026_001EA,C17026_001MA,C17026_002MA,C17026_002EA,C17026_003MA,C17026_003EA,C17026_004MA,C17026_004EA,C17026_005MA,C17026_005EA,C17026_006EA,C17026_006MA,C17026_007EA,C17026_007MA,C17026_008EA,C17026_008MA,state
0400000US08,1372705,11369,36007,3445,49540,2973,34046,3565,39465,4146,63708,4375,27037,2606,1122902,12209,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1683176,12254,64919,4546,91666,4557,58945,4194,60767,3717,95895,4934,37615,3139,1273369,12704,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,1138927,12100,62213,4544,81286,4039,45171,3684,51542,3808,74290,4325,29559,2895,794866,11499,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1104847,12302,62104,3813,88586,5915,58000,4059,52052,4280,70900,5121,31049,3012,742156,12240,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3119101,17843,104892,6060,159786,6087,105955,5440,105198,5136,151242,6100,65588,4304,2426440,18475,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,800329,8263,22410,2159,34901,2818,25048,2336,25011,1976,39161,3025,19405,2027,634393,8132,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,341752,6363,7596,1549,8582,1305,6695,1185,6671,1167,12972,1793,4895,1113,294341,5831,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,769134,11117,34904,3227,62549,4766,36191,3187,38923,3109,54017,4501,22187,2190,520363,9563,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,238399,6155,7624,1435,12402,1898,6827,1271,6130,1353,12514,2221,4689,1150,188213,4928,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1396827,9648,31198,2926,48554,3425,32484,2815,39723,2565,55613,3472,24108,1979,1165147,9315,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US30,265643,5250,8021,1400,12390,1740,9265,1323,9576,1627,16581,1830,6765,1434,203045,4866,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US23,342542,6065,9282,1480,15884,1818,9152,1713,10137,1458,20720,2387,7922,1336,269445,5715,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US37,2622295,20703,108844,6234,157586,7955,99965,5488,107009,5813,162917,8296,69529,4984,1916445,19045,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US13,2537406,21205,115250,6163,159952,7229,101886,5654,104098,6032,150982,8197,60283,4978,1844955,19557,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US02,167527,4191,4897,766,7724,1528,3787,1075,4835,978,8268,1585,2532,574,135484,3942,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US01,1214794,12486,62955,4234,85648,4889,48109,3671,52782,3873,80852,5184,26047,2900,858401,12641,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US50,155804,3606,4139,1164,5519,939,3484,787,3963,745,7292,1106,3346,785,128061,3117,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US32,706638,8667,24584,2691,39687,2898,25533,2968,27673,2483,42453,4067,17153,2444,529555,6748,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US54,461911,6789,24243,2750,36029,3308,21664,2700,19536,2821,31654,3346,11357,1610,317428,6882,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US40,983307,7405,47154,2798,65388,2989,38832,2640,42399,2427,64946,3452,27250,1978,697338,7013,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US55,1487370,10614,40324,3287,63185,3956,42528,2752,43858,3003,73330,4173,33047,2532,1191098,10374,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US72,791354,11339,164255,6223,150107,5907,69347,4456,63483,3641,75821,5023,26412,2629,241929,7598,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
0400000US51,2094307,16182,60503,4486,88027,4645,51622,4238,62694,4682,96048,4806,41866,3299,1693547,15643,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US38,187919,5457,4668,1120,6082,1273,4963,1128,5263,1257,7150,1304,4675,1084,155118,5409,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US45,1258273,13739,54907,4060,81253,5128,46575,4438,57010,4213,80215,5229,31622,3195,906691,12360,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US41,1027648,10811,33008,3089,49645,4495,32682,3072,34760,3055,48645,3341,23415,2623,805493,10627,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
