GEO_ID,C16004_001E,C16004_001M,C16004_002E,C16004_002M,C16004_003E,C16004_003M,C16004_004E,C16004_004M,C16004_005E,C16004_005M,C16004_006E,C16004_006M,C16004_007E,C16004_007M,C16004_008E,C16004_008M,C16004_009E,C16004_009M,C16004_010E,C16004_010M,C16004_011E,C16004_011M,C16004_012E,C16004_012M,C16004_013E,C16004_013M,C16004_014E,C16004_014M,C16004_015E,C16004_015M,C16004_016E,C16004_016M,C16004_017E,C16004_017M,C16004_018E,C16004_018M,C16004_019E,C16004_019M,C16004_020E,C16004_020M,C16004_021E,C16004_021M,C16004_022E,C16004_022M,C16004_023E,C16004_023M,C16004_024E,C16004_024M,C16004_025E,C16004_025M,C16004_026E,C16004_026M,C16004_027E,C16004_027M,C16004_028E,C16004_028M,C16004_029E,C16004_029M,C16004_030E,C16004_030M,C16004_031E,C16004_031M,C16004_032E,C16004_032M,C16004_033E,C16004_033M,C16004_034E,C16004_034M,C16004_035E,C16004_035M,C16004_036E,C16004_036M,C16004_037E,C16004_037M,C16004_038E,C16004_038M,C16004_039E,C16004_039M,C16004_040E,C16004_040M,C16004_041E,C16004_041M,C16004_042E,C16004_042M,C16004_043E,C16004_043M,NAME,C16004_001MA,C16004_001EA,C16004_002MA,C16004_002EA,C16004_003EA,C16004_003MA,C16004_004EA,C16004_004MA,C16004_005EA,C16004_005MA,C16004_006EA,C16004_006MA,C16004_007EA,C16004_007MA,C16004_008EA,C16004_008MA,C16004_009EA,C16004_009MA,C16004_010EA,C16004_010MA,C16004_011EA,C16004_011MA,C16004_012EA,C16004_012MA,C16004_013MA,C16004_013EA,C16004_014MA,C16004_014EA,C16004_015MA,C16004_015EA,C16004_016EA,C16004_016MA,C16004_017EA,C16004_017MA,C16004_018EA,C16004_018MA,C16004_019EA,C16004_019MA,C16004_020MA,C16004_020EA,C16004_021EA,C16004_021MA,C16004_022EA,C16004_022MA,C16004_023MA,C16004_023EA,C16004_024MA,C16004_024EA,C16004_025MA,C16004_025EA,C16004_026EA,C16004_026MA,C16004_027EA,C16004_027MA,C16004_028EA,C16004_028MA,C16004_029EA,C16004_029MA,C16004_030EA,C16004_030MA,C16004_031EA,C16004_031MA,C16004_032EA,C16004_032MA,C16004_033MA,C16004_033EA,C16004_034MA,C16004_034EA,C16004_035MA,C16004_035EA,C16004_036MA,C16004_036EA,C16004_037MA,C16004_037EA,C16004_038EA,C16004_038MA,C16004_039EA,C16004_039MA,C16004_040EA,C16004_040MA,C16004_041EA,C16004_041MA,C16004_042MA,C16004_042EA,C16004_043EA,C16004_043MA,state
0400000US08,5359922,2467,931096,3657,746037,8826,143668,7343,120908,7898,22760,3904,19726,3141,16179,2552,3547,1462,13275,1718,10729,1587,2546,832,8390,2294,7637,2202,753,446,3620971,3204,2995976,17297,427124,14061,250967,9998,176157,10349,89276,6013,68407,4932,20869,3308,73104,4169,43348,3383,29756,2577,35491,4282,22334,3328,13157,2386,807855,1906,720725,4657,52223,2706,32752,2585,19471,2530,18301,2790,12371,2306,5930,1471,13465,1402,4070,896,9395,1311,3141,948,1496,671,1645,746,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,6274104,2647,1149283,3228,1029452,6668,74663,3947,62112,4685,12551,2895,25634,4078,20320,3735,5314,1212,14533,2109,9341,2305,5192,1869,5001,1651,4585,1606,416,317,4073675,3841,3679843,11756,207305,6327,118058,6287,89247,5160,93544,7456,73705,6497,19839,3502,68208,5087,34196,3654,34012,3907,24775,4348,16486,3304,8289,2522,1051146,2952,1006514,4252,15220,1683,7760,1427,7460,1433,20428,2780,13028,2116,7400,1654,7317,1347,2282,753,5035,1109,1667,796,655,316,1012,664,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,4194913,2663,734292,3217,684729,4635,27295,2460,21450,2650,5845,1244,10807,2694,7536,2235,3271,1135,6859,1599,5025,1327,1834,872,4602,1905,3428,1786,1174,858,2729229,2851,2559673,7362,83096,3695,39930,3326,43166,2906,41064,3561,27631,2902,13433,2283,29616,3224,15088,2619,14528,2353,15780,3536,8905,2104,6875,1981,731392,2338,714054,2519,6323,1240,3429,890,2894,902,6789,1680,4434,1271,2355,1023,3855,900,1665,672,2190,639,371,233,248,172,123,148,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4358121,2840,795728,3119,744587,4717,32675,3453,23051,3206,9624,2485,6265,1454,5605,1352,660,453,7569,1297,5974,1118,1595,828,4632,2442,4187,2436,445,450,2841783,3394,2623544,8777,109286,4799,51974,3785,57312,4297,54628,5469,45437,4731,9191,2143,39427,3043,19404,2198,20023,2451,14898,3824,10167,2635,4731,1977,720610,2987,657101,3741,13269,1589,7576,1289,5693,1103,42848,2790,35398,2677,7450,1532,6412,1326,2284,934,4128,1197,980,518,624,381,356,344,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,11981624,2046,2096346,2661,1574607,10110,367862,8533,314208,8417,53654,4673,89847,5517,77351,5021,12496,2336,41560,3411,33842,3050,7718,1431,22470,3761,18650,3489,3820,1489,7894730,3660,5918608,17488,1147956,11069,685041,12951,462915,14076,464430,13648,318310,11805,146120,7416,266004,7203,163909,6731,102095,5053,97732,7586,70034,7065,27698,3536,1990548,2970,1674372,6705,124409,3217,39772,3151,84637,3308,121007,5382,55962,4092,65045,4286,57584,3213,23792,2568,33792,3159,13176,2488,5847,1558,7329,1881,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,2958262,2271,535506,2395,477111,4315,34331,2886,28695,2604,5636,1420,11318,2788,9563,2625,1755,612,7522,1676,6591,1552,931,418,5224,1965,4043,1730,1181,773,1884938,2594,1697589,7049,84803,3651,47880,3476,36923,3088,41224,4677,27638,3457,13586,2657,41515,3148,18412,3028,23103,2697,19807,3193,8935,1734,10872,2908,537818,2027,522264,1700,4695,1032,2946,791,1749,648,6659,1037,4916,934,1743,733,3304,991,1237,628,2067,722,896,492,770,483,126,123,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,1293601,978,195271,1568,181974,2484,5892,1483,5031,1287,861,616,3801,1085,2660,828,1141,758,2250,994,1679,674,571,548,1354,773,682,600,672,465,853174,1571,784304,4364,22581,1979,13505,1885,9076,1597,26546,3063,19674,2446,6872,1708,15479,2122,9153,1502,6326,1783,4264,1165,3075,864,1189,588,245156,1267,227034,2027,2619,726,1452,584,1167,450,13387,1716,10204,1352,3183,1116,1627,638,340,318,1287,577,489,338,115,140,374,307,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,2825733,2697,515868,3625,467517,4024,40195,3066,35067,3085,5128,1357,1392,706,1190,655,202,237,6764,1757,3714,1435,3050,1247,0,201,0,201,0,201,1802189,3740,1646987,7432,108758,4778,51731,4431,57027,3952,13930,2871,10990,2314,2940,1397,28921,2984,13275,2400,15646,2690,3593,1344,2835,1113,758,496,507676,2520,494511,2174,5993,1368,2087,678,3906,1031,4296,1077,3257,891,1039,610,2617,962,1124,631,1493,623,259,223,199,207,60,80,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,912836,334,148815,375,123114,2655,18019,1406,14613,1521,3406,1160,5123,1851,3419,1267,1704,1264,2063,787,1453,671,610,579,496,426,218,250,278,342,583265,952,501250,3985,43829,2662,24617,2710,19212,2064,17923,3379,12916,2622,5007,1756,15657,2399,8970,2039,6687,1869,4606,1566,4161,1576,445,370,180756,919,169136,1357,3588,790,1755,660,1833,691,4573,971,3159,829,1414,602,2729,722,1294,509,1435,485,730,466,438,385,292,314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,5256247,1722,947115,2151,801598,6046,60102,3759,48318,3544,11784,2080,16107,2484,13777,2410,2330,690,32613,2920,20916,2628,11697,1864,36695,4870,28817,4272,7878,2288,3420498,2828,2974036,9489,142655,4715,79088,4358,63567,4130,73806,5671,56445,4665,17361,2655,130876,4493,73500,3960,57376,3585,99125,6013,53542,4238,45583,4464,888634,2323,838733,2828,8814,1320,5362,1058,3452,1008,18250,2178,11128,1518,7122,1758,13550,1563,4639,1190,8911,1174,9287,1683,4466,947,4821,1346,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
