GEO_ID,B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,NAME,B15012_001EA,B15012_001MA,B15012_002EA,B15012_002MA,B15012_003MA,B15012_003EA,B15012_004MA,B15012_004EA,B15012_005MA,B15012_005EA,B15012_006EA,B15012_006MA,B15012_007MA,B15012_007EA,B15012_008MA,B15012_008EA,B15012_009MA,B15012_009EA,B15012_010MA,B15012_010EA,B15012_011EA,B15012_011MA,B15012_012EA,B15012_012MA,B15012_013MA,B15012_013EA,B15012_014MA,B15012_014EA,B15012_015MA,B15012_015EA,B15012_016EA,B15012_016MA,state
0400000US08,1780959,18796,89438,4262,128927,5610,64071,3965,93707,4879,149167,6233,149848,5206,16756,1787,150780,4497,336102,8758,160297,6464,83864,5023,87710,4969,80489,4069,80962,4015,108841,4638,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US18,1304326,21825,52336,4035,76220,3742,42644,3808,48570,3420,73544,4447,86976,5255,6758,1189,165424,6117,262336,8951,196226,6668,42619,3251,74384,4687,39322,2830,50397,3649,86570,5135,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US21,812044,14078,31507,2461,52352,4111,24381,2214,37127,3299,47357,3063,44643,3033,6200,1156,95394,5064,152128,6387,131397,6163,32410,2514,40849,3301,24466,2491,35376,2781,56457,3750,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,800007,14741,23775,2952,48045,3434,23904,2542,31863,2810,45257,3971,48759,3832,4997,1092,103092,6313,158418,6740,120490,6602,22802,2512,59249,4778,29219,2992,24827,2734,55310,4245,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US17,3297830,27250,163684,5858,181532,6684,98712,4586,163041,6670,254263,7993,225304,7515,26311,2672,309360,8173,687851,14914,395363,10984,141215,5219,158403,5785,146877,5635,162164,5883,183750,8052,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US19,663579,12609,23048,2696,59315,3541,17503,2359,25984,2420,38457,2847,36130,2911,3491,855,65089,3238,132393,4640,120700,5002,23000,1791,29650,2731,22459,2077,22204,1859,44156,2962,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US33,388188,8462,21764,2225,25558,2408,13431,1725,21699,2509,29467,2611,34222,2931,2852,672,33213,2838,73050,3856,41993,2952,22865,2202,19419,2121,16990,1910,11057,1506,20608,2042,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US05,504026,12191,17587,2190,42338,2996,16755,2181,20087,2464,26555,2666,25097,2736,4013,1218,58063,4405,101969,5086,86626,4797,17435,2305,22343,2281,18374,2953,15820,2376,30964,2929,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US10,225462,7328,9458,1761,15012,2058,9666,1450,10279,1687,16726,2059,14551,1614,2567,819,21148,2556,46988,3505,33018,3503,7298,1156,10724,1610,7279,1347,5702,1193,15046,1518,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US27,1548892,15402,66478,3944,106703,4323,40480,2942,81046,4006,133353,5567,94719,4338,11926,1427,149398,5259,293391,7762,198670,4982,71162,3436,69824,3398,64897,3734,70525,4154,96320,4252,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
